,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
140,Norman Powell,32,MIA,SG,10,10,313,.482,14.6,.555,.195,.268,.055,.037,.445,.484,.563,.455,.444,.333,.479,.477,.857,.018,2,.205,.400,0,0,,powelno01
141,Kel'el Ware,21,MIA,C,13,10,312,.524,10.5,.667,.381,.238,.038,.010,.333,.600,.725,.440,.250,1.000,.371,.786,1.000,.210,20,.429,.400,0,0,,wareke01
142,Jarrett Allen,27,CLE,C,12,12,311,.587,5.4,.967,.339,.537,.083,.008,.033,.607,.780,.508,.500,1.000,.000,.817,,.215,24,.750,.000,0,0,,allenja01
143,Isaac Okoro,25,CHI,SG,12,12,310,.443,12.4,.532,.430,.089,.013,.000,.468,.500,.588,.143,.000,,.378,.667,1.000,.038,3,.703,.385,0,0,,okorois01
144,Ron Holland,20,DET,SF,13,4,309,.386,13.1,.605,.184,.325,.053,.044,.395,.449,.571,.459,.167,.200,.289,.484,1.000,.096,10,.622,.321,0,0,,hollaro01
145,D'Angelo Russell,29,DAL,PG,14,3,308,.382,16.7,.539,.079,.250,.158,.053,.461,.500,.667,.474,.500,.375,.243,.341,.824,.000,0,.143,.200,0,0,,russeda01
146,Mark Williams,24,PHO,C,12,9,305,.614,4.1,1.000,.477,.443,.080,.000,.000,.614,.714,.513,.571,,,.778,,.295,24,,,0,0,,willima07
147,Sam Hauser,28,BOS,PF,14,2,301,.313,24.9,.115,.000,.021,.031,.063,.885,.182,,.000,.333,.167,.329,1.000,.893,.000,0,.129,.273,0,0,,hausesa01
148,Keldon Johnson,26,SAS,SF,13,0,301,.558,8.0,.731,.587,.135,.000,.010,.269,.671,.705,.500,,1.000,.250,.569,.857,.115,11,.821,.217,0,0,,johnske04
149,Moussa Diabaté,24,CHO,C,13,1,300,.667,3.3,1.000,.600,.347,.040,.013,.000,.667,.756,.577,.333,.000,,.700,,.253,16,,,0,0,,diabamo01
150,Zaccharie Risacher,20,ATL,SF,12,12,297,.477,14.7,.547,.305,.141,.039,.063,.453,.586,.667,.556,.600,.250,.345,.756,.900,.102,11,.224,.462,0,0,,risacza01
151,Chet Holmgren,23,OKC,PF,10,10,296,.576,13.3,.653,.254,.212,.127,.059,.347,.675,.800,.600,.533,.714,.390,.692,.875,.119,12,.098,.250,0,0,,holmgch01
152,Tre Mann,24,CHO,PG,13,1,295,.359,16.5,.510,.138,.214,.131,.028,.490,.405,.600,.323,.263,.750,.310,.267,.818,.014,2,.225,.500,0,0,,manntr01
153,Javonte Green,32,DET,SG,13,3,294,.363,15.6,.475,.225,.200,.025,.025,.525,.421,.611,.313,.000,.000,.310,.813,1.000,.088,6,.333,.357,0,0,,greenja02
154,Ausar Thompson,23,DET,SF,10,10,291,.504,7.5,.887,.330,.435,.096,.026,.113,.529,.579,.540,.364,.333,.308,.556,1.000,.165,16,.308,.500,0,0,,thompau01
155,Derik Queen,21,NOP,C,13,1,290,.486,7.2,.905,.400,.343,.114,.048,.095,.526,.738,.389,.417,.000,.100,.420,.000,.076,8,.100,.000,0,0,,queende01
156,Bobby Portis,30,MIL,PF,14,0,286,.470,15.5,.624,.145,.197,.179,.103,.376,.493,.765,.522,.381,.250,.432,.778,1.000,.017,2,.227,.500,0,0,,portibo01
157,Nikola Jović,22,MIA,PF,13,1,284,.411,15.3,.505,.211,.253,.021,.021,.495,.521,.600,.500,.500,.000,.298,.640,1.000,.011,1,.149,.143,0,0,,jovicni01
158,Dean Wade,29,CLE,PF,13,2,284,.369,19.3,.262,.200,.000,.046,.015,.738,.529,.615,,.333,.000,.313,.778,.933,.046,3,.375,.278,0,0,,wadede01
159,Jaylon Tyson,23,CLE,SG,11,7,284,.489,15.9,.422,.233,.167,.011,.011,.578,.526,.762,.267,.000,.000,.462,.650,1.000,.111,6,.365,.421,0,0,,tysonja01
160,Sam Merrill,29,CLE,SG,11,7,283,.443,22.9,.151,.057,.028,.038,.028,.849,.563,1.000,.333,.000,.667,.422,.778,.895,.000,0,.144,.462,0,0,,merrisa01
161,Klay Thompson,35,DAL,SF,13,7,281,.338,21.9,.254,.031,.046,.054,.123,.746,.394,.500,.167,.143,.563,.320,.846,.903,.000,0,.216,.333,0,0,,thompkl01
162,Tim Hardaway Jr.,33,DEN,SG,12,1,280,.480,19.9,.316,.102,.112,.041,.061,.684,.452,.600,.273,.500,.500,.493,.786,.939,.020,1,.209,.571,0,0,,hardati02
163,Pelle Larsson,24,MIA,SG,13,10,279,.548,14.4,.524,.190,.286,.048,.000,.476,.705,.938,.583,.500,,.375,.613,1.000,.048,4,.250,.300,0,0,,larsspe01
164,Tyrese Martin,26,BRK,SG,13,2,275,.371,17.1,.412,.186,.186,.031,.010,.588,.475,.722,.333,.000,.000,.298,.421,.941,.031,3,.228,.308,0,0,,martity01
165,Reed Sheppard,21,HOU,PG,12,0,275,.491,20.1,.395,.035,.149,.132,.079,.605,.511,.750,.529,.400,.556,.478,.348,.758,.009,1,.188,.462,0,0,,sheppre01
166,Luke Kennard,29,ATL,SG,12,0,274,.486,17.5,.417,.167,.111,.069,.069,.583,.567,.583,.375,.600,.800,.429,.647,1.000,.000,0,.333,.500,0,0,,kennalu01
167,Kris Murray,25,POR,SF,12,0,273,.482,10.1,.661,.500,.161,.000,.000,.339,.568,.643,.333,,,.316,.762,1.000,.125,7,.474,.333,0,0,,murrakr01
168,Anthony Edwards,24,MIN,SG,9,9,273,.476,15.9,.571,.176,.171,.124,.100,.429,.526,.767,.414,.381,.471,.411,.373,.533,.047,8,.027,.500,0,0,,edwaran01
169,Josh Hart,30,NYK,SF,11,0,272,.463,13.4,.575,.350,.088,.100,.038,.425,.543,.714,.286,.375,.000,.353,.680,.833,.038,3,.412,.357,0,0,,hartjo01
170,Josh Okogie,27,HOU,SG,12,10,271,.492,14.8,.444,.302,.143,.000,.000,.556,.536,.684,.222,,,.457,.533,1.000,.127,5,.514,.500,0,0,,okogijo01
171,Bruce Brown,29,DEN,SG,12,0,270,.426,11.3,.691,.279,.294,.088,.029,.309,.426,.632,.300,.333,.000,.429,.600,1.000,.000,0,.333,.429,0,0,,brownbr01
172,Cameron Johnson,29,DEN,SF,11,11,269,.372,15.3,.513,.244,.141,.051,.077,.487,.525,.737,.273,.000,.667,.211,.667,.875,.038,2,.263,.200,0,0,,johnsca02
173,Patrick Williams,24,CHI,PF,12,0,267,.446,17.6,.392,.203,.149,.041,.000,.608,.483,.600,.364,.333,,.422,.286,.895,.068,4,.267,.500,0,0,,willipa01
174,Malik Monk,27,SAC,SG,11,0,267,.456,16.4,.561,.105,.219,.175,.061,.439,.469,.667,.360,.500,.429,.440,.500,.818,.026,3,.200,.300,0,0,,monkma01
175,Mike Conley,38,MIN,PG,13,4,266,.421,18.6,.333,.123,.175,.018,.018,.667,.316,.429,.200,1.000,.000,.474,.833,.944,.000,0,.184,.429,0,0,,conlemi01
176,Peyton Watson,23,DEN,SF,12,2,266,.438,9.3,.719,.406,.281,.016,.016,.281,.522,.654,.333,.000,1.000,.222,.833,1.000,.234,13,.389,.429,0,0,,watsope01
177,Keon Ellis,26,SAC,SG,14,2,263,.453,20.5,.280,.093,.080,.067,.040,.720,.476,.714,.667,.200,.000,.444,.600,.958,.067,4,.370,.450,0,0,,elliske01
178,Josh Minott,23,BOS,PF,13,9,263,.461,14.9,.487,.250,.184,.039,.013,.513,.595,.842,.357,.333,.000,.333,.682,.923,.184,12,.385,.333,0,0,,minotjo01
179,Cam Spencer,25,MEM,SG,14,1,262,.419,20.8,.302,.058,.093,.105,.047,.698,.346,.400,.250,.333,.500,.450,.556,.852,.000,0,.117,.571,0,0,,spencca01
180,Ace Bailey,19,UTA,SF,13,4,261,.414,15.3,.596,.192,.162,.071,.172,.404,.475,.684,.500,.286,.294,.325,.714,.846,.131,12,.300,.333,0,0,,baileac01
181,Kyle Filipowski,22,UTA,C,13,5,258,.412,13.1,.588,.118,.400,.071,.000,.412,.480,.600,.471,.333,,.314,.750,1.000,.082,5,.400,.500,0,0,,filipky01
182,Jarred Vanderbilt,26,LAL,PF,14,2,257,.440,8.5,.720,.540,.160,.000,.020,.280,.500,.630,.125,,.000,.286,.556,1.000,.200,8,.929,.308,0,0,,vandeja01
183,Tari Eason,24,HOU,PF,11,1,255,.495,16.8,.442,.242,.084,.053,.063,.558,.476,.739,.250,.200,.000,.509,.300,.963,.063,6,.472,.640,1,1,,easonta01
184,Ayo Dosunmu,26,CHI,SG,10,0,254,.524,12.1,.602,.350,.204,.029,.019,.398,.565,.611,.476,.667,.500,.463,.429,1.000,.029,2,.439,.500,0,0,,dosunay01
185,Cole Anthony,25,MIL,PG,13,0,253,.431,14.2,.681,.112,.284,.241,.043,.319,.494,.615,.455,.429,.800,.297,.205,.636,.000,0,.270,.300,0,0,,anthoco01
186,Lonzo Ball,28,CLE,PG,11,2,253,.354,22.4,.185,.092,.046,.031,.015,.815,.417,.500,.333,.500,.000,.340,.200,.722,.015,1,.075,.500,0,0,,balllo01
187,Buddy Hield,33,GSW,SG,15,0,252,.425,18.9,.356,.149,.138,.046,.023,.644,.613,.692,.583,.750,.000,.321,.632,.889,.000,0,.125,.571,0,0,,hieldbu01
188,Ziaire Williams,24,BRK,SF,11,0,251,.395,19.5,.256,.140,.105,.012,.000,.744,.636,.833,.444,.000,,.313,.500,.950,.047,4,.375,.125,0,0,,willizi02
189,Landry Shamet,28,NYK,SG,12,3,249,.487,19.6,.263,.158,.026,.079,.000,.737,.600,.667,.000,.667,,.446,.583,1.000,.013,1,.500,.500,0,0,,shamela01
190,Khris Middleton,34,WAS,SF,10,10,248,.475,15.3,.650,.163,.150,.213,.125,.350,.558,.692,.333,.529,.700,.321,.552,.778,.000,0,.214,.333,0,0,,middlkh01
191,Aaron Wiggins,27,OKC,SG,9,5,248,.459,15.3,.459,.243,.171,.036,.009,.541,.510,.593,.421,.500,.000,.417,.615,.920,.036,4,.300,.444,0,0,,wiggiaa01
192,Corey Kispert,26,WAS,SF,13,0,247,.500,18.5,.347,.181,.139,.028,.000,.653,.720,.846,.500,1.000,,.383,.722,.944,.028,2,.213,.400,0,0,,kispeco01
193,Jaylin Williams,23,OKC,PF,13,1,247,.338,23.1,.113,.085,.014,.000,.014,.887,.875,.833,1.000,,1.000,.270,1.000,1.000,.028,2,.175,.091,0,0,,willija07
194,Brandon Williams,26,DAL,PG,12,4,247,.447,10.3,.728,.350,.262,.087,.029,.272,.560,.694,.444,.333,.667,.143,.333,1.000,.039,4,.250,.143,0,0,,willibr03
195,Simone Fontecchio,30,MIA,SF,13,0,246,.500,19.3,.302,.146,.115,.010,.031,.698,.517,.571,.455,.000,.667,.493,.867,.970,.021,1,.254,.588,0,0,,fontesi01
196,Dalton Knecht,24,LAL,SF,13,1,246,.464,17.5,.452,.143,.119,.167,.024,.548,.632,.750,.600,.500,1.000,.326,.625,.933,.095,7,.239,.273,0,0,,knechda01
197,Egor Demin,19,BRK,PG,12,5,246,.373,21.5,.253,.120,.040,.040,.053,.747,.421,.444,.667,.333,.250,.357,.500,.850,.027,0,.125,.429,0,0,,demineg01
198,Luguentz Dort,26,OKC,SF,8,8,245,.310,18.2,.345,.207,.086,.034,.017,.655,.500,.667,.000,1.000,.000,.211,.500,1.000,.069,4,.289,.182,0,0,,dortlu01
199,Bam Adebayo,28,MIA,C,8,8,243,.452,14.2,.621,.145,.258,.194,.024,.379,.519,.722,.500,.417,.333,.340,.725,1.000,.081,10,.426,.400,0,0,,adebaba01
200,Isaiah Jackson,24,IND,C,13,9,242,.554,3.6,1.000,.581,.365,.027,.027,.000,.554,.628,.519,.000,.000,,.610,,.122,8,,,0,0,,jacksis01
201,Craig Porter Jr.,25,CLE,PG,14,0,239,.500,14.1,.583,.250,.167,.150,.017,.417,.543,.733,.500,.222,1.000,.440,.474,.727,.033,2,.240,.333,0,0,,portecr01
202,Steven Adams,32,HOU,C,11,2,239,.510,1.6,1.000,.755,.245,.000,.000,.000,.510,.568,.333,,,,.400,,.163,7,,,0,0,,adamsst01
203,Dillon Brooks,30,PHO,SF,8,8,239,.459,16.5,.541,.141,.163,.163,.074,.459,.562,.684,.364,.636,.600,.339,.341,.857,.015,2,.177,.273,0,0,,brookdi01
204,Will Richard,23,GSW,SG,13,4,237,.566,16.3,.421,.211,.171,.013,.026,.579,.781,.938,.615,.000,1.000,.409,.640,.944,.026,2,.386,.412,0,0,,richawi02
205,Andre Drummond,32,PHI,C,11,3,236,.593,7.2,.763,.559,.186,.017,.000,.237,.644,.758,.273,1.000,,.429,.552,1.000,.153,8,.786,.455,0,0,,drumman01
206,Goga Bitadze,26,ORL,C,14,0,235,.698,6.0,.860,.581,.209,.047,.023,.140,.757,.840,.667,.500,.000,.333,.643,1.000,.279,11,.333,.500,0,0,,bitadgo01
207,Jose Alvarado,27,NOP,PG,12,0,235,.431,18.6,.347,.097,.208,.042,.000,.653,.440,.714,.333,.333,,.426,.455,.500,.000,0,.234,.273,0,0,,alvarjo01
208,Jamal Shead,23,TOR,PG,13,0,233,.431,16.7,.431,.169,.215,.046,.000,.569,.429,.636,.214,.667,,.432,.333,.813,.000,0,.135,.400,0,0,,sheadja01
209,Isaiah Joe,26,OKC,SG,9,0,232,.430,22.1,.204,.065,.032,.065,.043,.796,.526,.667,.667,.500,.250,.405,.900,.933,.000,0,.284,.429,0,0,,joeis01
210,Kristaps Porziņģis,30,ATL,C,9,9,232,.430,15.6,.605,.193,.167,.105,.140,.395,.507,.545,.474,.500,.500,.311,.571,1.000,.088,8,.111,.600,0,0,,porzikr01
211,Mouhamed Gueye,23,ATL,PF,14,2,231,.500,13.8,.528,.264,.167,.083,.014,.472,.684,.895,.667,.167,.000,.294,.962,1.000,.194,13,.706,.292,0,0,,gueyemo02
212,Nicolas Batum,37,LAC,PF,13,2,230,.320,23.2,.100,.040,.000,.020,.040,.900,.400,.500,,.000,.500,.311,.500,1.000,.000,0,.489,.318,0,0,,batumni01
213,Isaiah Stewart,24,DET,C,10,3,230,.494,11.2,.635,.294,.329,.012,.000,.365,.556,.720,.429,.000,,.387,.767,1.000,.118,9,.387,.333,0,0,,stewais01
214,Miles McBride,25,NYK,SG,10,2,228,.395,19.7,.342,.105,.053,.105,.079,.658,.423,.875,.250,.125,.333,.380,.364,.895,.000,0,.320,.375,0,0,,mcbrimi01
215,LaMelo Ball,24,CHO,PG,7,7,227,.419,17.7,.488,.109,.209,.147,.023,.512,.508,.786,.333,.526,.667,.333,.125,.727,.000,0,.121,.375,0,0,,ballla01
216,Cam Thomas,24,BRK,SG,8,8,226,.402,15.6,.659,.098,.205,.220,.136,.341,.425,.462,.370,.552,.278,.356,.432,.563,.008,1,.089,.500,0,0,,thomaca02
217,Jakob Poeltl,30,TOR,C,9,9,222,.707,3.8,1.000,.621,.241,.138,.000,.000,.707,.806,.643,.375,,,.829,,.121,7,,,0,0,,poeltja01
218,Cam Whitmore,21,WAS,SF,13,0,221,.455,12.6,.657,.313,.242,.030,.071,.343,.523,.742,.375,.333,.143,.324,.559,.545,.141,10,.088,.000,0,0,,whitmca01
219,Jalen Suggs,24,ORL,PG,10,10,221,.538,17.4,.423,.192,.128,.077,.026,.577,.727,.867,.600,.500,1.000,.400,.375,.833,.038,2,.156,.429,0,0,,suggsja01
220,Oso Ighodaro,23,PHO,PF,14,4,220,.520,5.5,1.000,.320,.520,.160,.000,.000,.520,.875,.308,.500,,,.846,,.220,10,,,0,0,,ighodos01
221,Dru Smith,28,MIA,SG,13,0,217,.468,13.5,.565,.177,.355,.032,.000,.435,.571,.909,.409,.500,,.333,.500,.889,.000,0,.407,.273,0,0,,smithdr01
222,Sandro Mamukelashvili,26,TOR,C,12,0,217,.594,12.4,.580,.391,.188,.000,.000,.420,.700,.852,.385,,,.448,.714,1.000,.087,6,.103,.333,0,0,,mamuksa01
223,Al Horford,39,GSW,C,10,0,216,.339,20.4,.271,.051,.153,.051,.017,.729,.375,.333,.444,.333,.000,.326,.667,1.000,.000,0,.326,.643,0,0,,horfoal01
224,Gradey Dick,22,TOR,SG,13,0,215,.419,17.4,.405,.189,.081,.108,.027,.595,.533,.643,.333,.500,.500,.341,.875,1.000,.041,3,.386,.471,0,0,,dickgr01
225,Quinten Post,25,GSW,PF,15,7,214,.441,20.4,.279,.088,.103,.044,.044,.721,.632,.833,.571,.667,.333,.367,.583,1.000,.044,3,.224,.455,0,0,,postqu01
226,Jordan Poole,26,NOP,PG,7,4,212,.354,18.0,.404,.212,.111,.061,.020,.596,.375,.429,.364,.333,.000,.339,.400,.550,.000,0,.085,.600,0,0,,poolejo01
227,Vit Krejci,25,ATL,PG,10,0,211,.542,20.6,.250,.111,.111,.014,.014,.750,.722,.750,.750,.000,1.000,.481,.769,.923,.028,1,.222,.333,0,0,,krejcvi01
228,Keaton Wallace,26,ATL,PG,13,2,209,.426,18.9,.426,.019,.185,.185,.037,.574,.435,1.000,.500,.300,.500,.419,.200,.846,.000,0,.129,.500,0,0,,wallake01
229,Jordan Clarkson,33,NYK,SG,12,0,207,.467,16.0,.467,.185,.163,.109,.011,.533,.558,.647,.733,.200,.000,.388,.500,.895,.022,2,.286,.286,0,0,,clarkjo01
230,Daniel Gafford,27,DAL,C,9,9,207,.661,3.0,1.000,.661,.321,.000,.018,.000,.661,.730,.500,,1.000,,.622,,.304,12,,,0,0,,gaffoda01
231,Drew Eubanks,28,SAC,C,14,3,205,.661,5.6,.982,.321,.554,.089,.018,.018,.673,.889,.581,.600,.000,.000,.919,,.286,15,1.000,.000,0,0,,eubandr01
232,Collin Murray-Boyles,20,TOR,PF,10,3,204,.508,10.0,.723,.492,.138,.031,.062,.277,.511,.656,.222,.500,.000,.500,.792,1.000,.108,5,.167,.333,0,0,,murraco01
233,Kawhi Leonard,34,LAC,SF,6,6,201,.505,15.5,.667,.076,.219,.267,.105,.333,.557,.750,.609,.536,.364,.400,.308,.643,.019,2,.143,.400,0,0,,leonaka01
234,Brook Lopez,37,LAC,C,13,0,199,.425,21.5,.301,.041,.137,.110,.014,.699,.591,.333,.700,.625,.000,.353,.615,1.000,.027,2,.098,.000,0,0,,lopezbr01
235,Jay Huff,27,IND,C,13,2,194,.368,18.4,.324,.206,.118,.000,.000,.676,.591,.786,.250,,,.261,.769,1.000,.147,8,.152,.143,0,0,,huffja01
236,Trendon Watford,25,PHI,PF,9,4,194,.525,8.9,.797,.322,.407,.034,.034,.203,.553,.579,.583,.000,.500,.417,.538,1.000,.034,2,.333,.250,0,0,,watfotr01
237,Tobias Harris,33,DET,PF,6,6,193,.394,13.4,.606,.169,.338,.085,.014,.394,.465,.500,.500,.167,1.000,.286,.450,1.000,.056,3,.429,.250,0,0,,harrito02
238,Nique Clifford,23,SAC,SG,10,2,192,.333,15.3,.549,.098,.294,.137,.020,.451,.393,1.000,.400,.000,.000,.261,.545,.833,.020,1,.261,.167,0,0,,cliffni01
239,Marvin Bagley III,26,WAS,PF,13,0,190,.655,5.1,.897,.603,.293,.000,.000,.103,.673,.771,.471,,,.500,.543,1.000,.207,12,.167,1.000,0,0,,baglema01
240,Jalen Smith,25,CHI,C,12,0,190,.483,15.3,.449,.326,.101,.000,.022,.551,.600,.724,.333,,.000,.388,.667,1.000,.067,5,.163,.500,0,0,,smithja04
241,Day'Ron Sharpe,24,BRK,C,12,0,189,.622,8.0,.778,.444,.333,.000,.000,.222,.714,1.000,.333,,,.300,.520,1.000,.178,6,.100,.000,0,0,,sharpda01
242,Tony Bradley,28,IND,C,13,3,186,.640,4.1,.980,.560,.360,.020,.040,.020,.653,.643,.611,1.000,1.000,.000,.688,,.060,3,1.000,.000,0,0,,bradlto01
243,Luka Garza,27,BOS,C,13,0,185,.574,11.8,.656,.328,.213,.098,.016,.344,.675,.700,.615,.667,1.000,.381,.593,1.000,.016,1,.238,.400,0,0,,garzalu01
244,Jaxson Hayes,25,LAL,C,11,1,185,.686,2.9,.971,.714,.257,.000,.000,.029,.676,.800,.333,,,1.000,.826,1.000,.571,16,.000,,0,0,,hayesja02
245,Jordan Goodwin,27,PHO,PG,11,0,184,.429,17.0,.476,.175,.095,.127,.079,.524,.467,.818,.167,.375,.200,.394,.429,.846,.000,0,.424,.429,0,0,,goodwjo01
246,Alex Caruso,31,OKC,SG,10,0,183,.385,18.4,.327,.115,.173,.038,.000,.673,.412,.500,.333,.500,,.371,.714,1.000,.077,3,.200,.286,0,0,,carusal01
247,Bogdan Bogdanović,33,LAC,SG,7,2,183,.404,19.5,.386,.123,.088,.123,.053,.614,.455,.714,.400,.286,.333,.371,.100,.615,.000,0,.057,1.000,0,0,,bogdabo01
248,Larry Nance Jr.,33,CLE,PF,12,1,181,.340,13.5,.509,.358,.132,.019,.000,.491,.407,.526,.000,1.000,,.269,.818,1.000,.151,7,.462,.417,0,0,,nancela02
249,Caris LeVert,31,DET,SG,9,0,181,.508,15.6,.557,.213,.148,.148,.049,.443,.559,.846,.556,.222,.333,.444,.632,.500,.066,4,.111,.333,0,0,,leverca01
250,Tyus Jones,29,ORL,PG,14,1,178,.257,16.5,.457,.143,.257,.029,.029,.543,.438,.400,.333,1.000,1.000,.105,.429,1.000,.000,0,.316,.167,0,0,,jonesty01
251,Jaylen Clark,24,MIN,SG,11,0,178,.463,12.5,.561,.317,.195,.049,.000,.439,.522,.538,.625,.000,,.389,.417,1.000,.098,4,.833,.467,0,0,,clarkja02
252,Walter Clayton,22,UTA,PG,11,0,178,.407,17.7,.463,.056,.278,.074,.056,.537,.480,.667,.533,.250,.333,.345,.167,.800,.019,1,.034,.000,0,0,,claytwa01
253,Adem Bona,22,PHI,C,12,3,177,.450,2.9,.950,.700,.250,.000,.000,.050,.474,.571,.200,,,.000,.333,,.350,6,1.000,.000,0,0,,bonaad01
254,Brice Sensabaugh,22,UTA,SF,12,0,174,.457,21.0,.284,.037,.099,.123,.025,.716,.696,1.000,.750,.500,1.000,.362,.813,.952,.000,0,.241,.500,0,0,,sensabr01
255,Vince Williams Jr.,25,MEM,SG,9,1,174,.397,19.1,.328,.121,.121,.069,.017,.672,.474,.571,.286,.750,.000,.359,.333,.786,.034,1,.179,.429,0,0,,willivi01
256,Jalen Wilson,25,BRK,PF,11,0,173,.396,18.9,.321,.132,.151,.019,.019,.679,.294,.286,.250,1.000,.000,.444,.600,1.000,.000,0,.333,.333,0,0,,wilsoja03
257,Jordan Walsh,21,BOS,PF,10,2,173,.462,12.4,.564,.385,.179,.000,.000,.436,.500,.533,.429,,,.412,.636,1.000,.205,4,.353,.333,0,0,,walshjo01
258,De'Aaron Fox,28,SAS,PG,5,5,171,.512,13.9,.619,.214,.226,.131,.048,.381,.596,.889,.474,.455,.250,.375,.387,.583,.000,0,.125,.750,0,0,,foxde01
259,Taurean Prince,31,MIL,SF,8,0,169,.447,19.8,.263,.105,.105,.000,.053,.737,.500,.750,.250,,.500,.429,.800,1.000,.026,1,.464,.385,0,0,,princta02
260,Jordan Hawkins,23,NOP,SG,12,0,168,.288,20.0,.407,.068,.085,.085,.169,.593,.333,.750,.000,.400,.300,.257,.750,.889,.051,1,.114,.500,0,0,,hawkijo01
261,Andrew Nembhard,26,IND,PG,6,6,168,.398,18.0,.554,.060,.157,.169,.169,.446,.457,.800,.462,.357,.429,.324,.286,.583,.012,1,.054,.000,0,0,,nembhan01
262,Jeremiah Robinson-Earl,25,IND,PF,8,3,167,.378,11.2,.667,.378,.178,.067,.044,.333,.467,.647,.125,.333,.500,.200,.500,1.000,.022,1,.533,.250,0,0,,robinje02
263,RayJ Dennis,24,IND,PG,11,0,161,.314,17.6,.471,.114,.200,.129,.029,.529,.303,.375,.286,.333,.000,.324,.600,.750,.000,0,.162,.000,0,0,,dennira01
264,Zion Williamson,25,NOP,PF,5,5,157,.487,4.2,1.000,.462,.462,.077,.000,.000,.487,.611,.361,.500,,,.447,,.077,6,,,0,0,,willizi01
265,Daniss Jenkins,24,DET,PG,8,2,156,.469,14.2,.688,.125,.313,.188,.063,.313,.432,.750,.450,.167,.500,.550,.316,1.000,.031,1,.150,.667,1,1,,jenkida01
266,Jabari Walker,23,PHI,PF,12,5,154,.432,10.0,.676,.432,.189,.027,.027,.324,.560,.563,.571,.000,1.000,.167,.286,1.000,.000,0,.250,.000,0,0,,walkeja01
267,Walker Kessler,24,UTA,C,5,5,154,.703,7.5,.784,.459,.324,.000,.000,.216,.690,.647,.750,,,.750,.600,1.000,.270,9,.250,1.000,0,0,,kesslwa01
268,Yves Missi,21,NOP,C,8,4,153,.633,2.5,1.000,.700,.267,.033,.000,.000,.633,.714,.500,.000,,,.737,,.200,4,,,0,0,,missiyv01
269,Jonas Valančiūnas,33,DEN,C,12,0,151,.556,8.0,.917,.292,.403,.181,.042,.083,.576,.667,.586,.538,.000,.333,.500,1.000,.069,4,.000,,0,0,,valanjo01
270,Anthony Davis,32,DAL,PF,5,5,149,.520,9.9,.853,.333,.240,.133,.147,.147,.563,.760,.500,.500,.273,.273,.472,.667,.133,9,.182,.000,0,0,,davisan02
271,Taylor Hendricks,22,UTA,PF,9,3,148,.375,12.6,.575,.275,.250,.050,.000,.425,.478,.545,.300,1.000,,.235,.818,1.000,.125,5,.529,.444,0,0,,hendrta01
272,Nick Richards,28,PHO,C,14,1,145,.556,5.5,1.000,.389,.389,.167,.056,.000,.556,.786,.357,.500,.500,,.750,,.250,9,,,0,0,,richani01
273,Tyrese Proctor,21,CLE,PG,12,0,142,.339,19.6,.339,.113,.113,.081,.032,.661,.429,.571,.143,.600,.500,.293,.222,.833,.016,1,.122,.400,0,0,,proctty01
274,Paul Reed,26,DET,C,11,2,141,.686,7.2,.863,.392,.373,.059,.039,.137,.705,.800,.632,.667,.500,.571,.774,.750,.176,8,.000,,0,0,,reedpa01
275,Joel Embiid,31,PHI,C,6,6,140,.460,14.4,.678,.230,.149,.161,.138,.322,.525,.650,.615,.286,.500,.321,.548,.889,.023,0,.000,,0,0,,embiijo01
276,Dylan Harper,19,SAS,SG,6,0,140,.500,8.6,.781,.500,.188,.063,.031,.219,.540,.625,.417,.250,.500,.357,.222,1.000,.016,1,.214,.667,0,0,,harpedy01
277,Trae Young,27,ATL,PG,5,5,139,.371,14.6,.629,.186,.243,.143,.057,.371,.477,.538,.471,.500,.250,.192,.238,.400,.000,0,.192,.400,0,0,,youngtr01
278,Gary Payton II,33,GSW,SG,14,0,138,.417,12.4,.556,.417,.139,.000,.000,.444,.600,.667,.400,,,.188,.833,1.000,.056,2,.313,.400,0,0,,paytoga02
279,John Konchar,29,MEM,SG,12,0,138,.545,16.5,.364,.273,.091,.000,.000,.636,.750,.833,.500,,,.429,.833,1.000,.000,0,.500,.429,0,0,,konchjo01
280,Luke Kornet,30,SAS,C,6,1,138,.806,1.3,1.000,.903,.097,.000,.000,.000,.806,.821,.667,,,,.760,,.419,12,,,0,0,,kornelu01
281,Hugo González,19,BOS,SF,11,1,136,.452,12.2,.677,.290,.290,.000,.097,.323,.429,.667,.222,,.333,.500,.333,1.000,.065,1,.400,.750,0,0,,gonzahu01
282,Justin Edwards,22,PHI,SF,10,1,136,.511,20.9,.277,.064,.106,.064,.043,.723,.615,1.000,.400,.333,1.000,.471,.500,.938,.043,2,.265,.444,0,0,,edwarju01
