,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
31,Brandin Podziemski,22,GSW,SG,15,7,426,.455,17.3,.490,.133,.154,.119,.084,.510,.529,.842,.500,.294,.417,.384,.649,.821,.000,0,.205,.533,0,0,,podzibr01
32,Dennis Schröder,32,SAC,PG,14,12,426,.401,15.3,.605,.111,.278,.123,.093,.395,.439,.611,.356,.350,.600,.344,.186,.636,.000,0,.125,.375,0,0,,schrode01
33,Amen Thompson,23,HOU,SF,12,12,426,.471,8.7,.829,.406,.288,.076,.059,.171,.525,.754,.306,.231,.400,.207,.541,1.000,.194,32,.483,.143,0,0,,thompam01
34,Kon Knueppel,20,CHO,SF,13,12,424,.456,18.0,.396,.166,.136,.071,.024,.604,.537,.679,.435,.417,.500,.402,.694,.927,.018,3,.284,.448,0,0,,knuepko01
35,Scottie Barnes,24,TOR,PF,13,13,422,.503,11.8,.738,.282,.226,.174,.056,.262,.535,.782,.318,.412,.545,.412,.597,.857,.077,15,.235,.333,0,0,,barnesc01
36,Pascal Siakam,31,IND,PF,12,12,420,.453,13.3,.737,.147,.254,.246,.091,.263,.485,.500,.610,.404,.333,.361,.361,.682,.009,1,.033,.000,0,0,,siakapa01
37,Wendell Carter Jr.,26,ORL,C,14,14,419,.527,12.8,.636,.318,.155,.091,.073,.364,.571,.743,.353,.600,.250,.450,.750,1.000,.155,14,.400,.438,0,0,,cartewe01
38,Duncan Robinson,31,DET,SF,13,13,418,.454,20.5,.244,.076,.160,.008,.000,.756,.517,.667,.421,1.000,,.433,.667,.974,.000,0,.167,.533,0,0,,robindu01
39,Kelly Oubre Jr.,30,PHI,SF,12,12,418,.497,14.8,.550,.208,.235,.067,.040,.450,.622,.806,.514,.400,.667,.343,.549,.957,.067,9,.239,.500,0,0,,oubreke01
40,Grayson Allen,30,PHO,SG,13,13,417,.468,19.4,.341,.098,.214,.023,.006,.659,.508,.706,.405,.500,1.000,.447,.567,.804,.006,1,.140,.375,0,0,,allengr01
41,Mikal Bridges,29,NYK,SF,12,12,417,.486,15.8,.500,.222,.111,.139,.028,.500,.556,.656,.625,.300,.750,.417,.550,.967,.021,2,.403,.552,0,0,,bridgmi01
42,Stephon Castle,21,SAS,PG,13,13,416,.497,11.9,.677,.323,.219,.123,.013,.323,.619,.760,.441,.579,.500,.240,.323,1.000,.071,11,.140,.429,0,0,,castlst01
43,Victor Wembanyama,22,SAS,C,12,12,416,.502,12.4,.738,.303,.176,.136,.122,.262,.558,.821,.359,.400,.370,.345,.582,.850,.163,34,.103,.500,0,0,,wembavi01
44,Royce O'Neale,32,PHO,SF,14,10,413,.444,22.9,.183,.040,.087,.048,.008,.817,.478,.200,.455,.667,1.000,.437,.545,.956,.008,1,.165,.588,0,0,,onealro01
45,Myles Turner,29,MIL,C,14,14,412,.440,18.9,.418,.097,.142,.119,.060,.582,.482,.769,.421,.313,.500,.410,.630,1.000,.022,3,.179,.571,0,0,,turnemy01
46,Jaden McDaniels,25,MIN,PF,13,13,412,.549,10.9,.732,.250,.311,.152,.018,.268,.567,.756,.529,.320,.667,.500,.676,.955,.061,8,.432,.579,0,0,,mcdanja02
47,Zach LaVine,30,SAC,SG,12,12,412,.511,16.4,.511,.179,.179,.060,.092,.489,.596,.758,.545,.545,.412,.422,.679,.789,.065,12,.189,.529,0,0,,lavinza01
48,Onyeka Okongwu,25,ATL,C,14,5,411,.517,12.7,.589,.272,.285,.033,.000,.411,.607,.780,.442,.600,,.387,.852,1.000,.106,15,.403,.480,0,0,,okongon01
49,Rudy Gobert,33,MIN,C,13,13,410,.763,2.0,1.000,.737,.263,.000,.000,.000,.763,.839,.550,,,,.690,,.408,28,,,0,0,,goberru01
50,Nikola Jokić,30,DEN,C,12,12,410,.672,11.2,.719,.266,.354,.068,.031,.281,.768,.882,.676,.692,1.000,.426,.613,.913,.036,7,.056,.667,0,0,,jokicni01
51,RJ Barrett,25,TOR,SF,13,13,409,.505,12.2,.624,.317,.231,.070,.005,.376,.603,.678,.581,.385,.000,.343,.557,.958,.048,9,.229,.375,0,0,,barrerj01
52,Immanuel Quickley,26,TOR,PG,13,13,408,.462,16.7,.487,.160,.205,.090,.032,.513,.553,.800,.375,.571,.400,.375,.357,.800,.006,1,.113,.111,0,0,,quickim01
53,Ivica Zubac,28,LAC,C,13,13,407,.629,4.4,1.000,.420,.497,.084,.000,.000,.629,.767,.507,.667,,,.633,,.168,22,,,0,0,,zubaciv01
54,Donovan Mitchell,29,CLE,SG,12,12,407,.498,17.4,.481,.136,.177,.086,.082,.519,.624,.636,.651,.571,.600,.381,.219,.583,.016,3,.111,.571,0,0,,mitchdo01
55,Cade Cunningham,24,DET,PG,11,11,407,.436,12.8,.700,.160,.366,.128,.045,.300,.500,.590,.472,.516,.364,.288,.247,.333,.029,5,.027,.000,0,0,,cunnica01
56,P.J. Washington,27,DAL,PF,13,13,405,.449,13.0,.646,.158,.373,.076,.038,.354,.529,.600,.525,.417,.500,.304,.630,.941,.076,11,.393,.364,0,0,,washipj01
57,Jake LaRavia,24,LAL,PF,14,6,403,.477,13.1,.587,.294,.229,.046,.018,.413,.578,.719,.400,.600,.500,.333,.649,1.000,.064,6,.289,.308,1,0,,laravja01
58,Jaren Jackson Jr.,26,MEM,C,14,14,402,.478,13.2,.665,.143,.352,.154,.016,.335,.529,.538,.531,.571,.000,.377,.563,1.000,.016,3,.213,.462,0,0,,jacksja02
59,Isaiah Hartenstein,27,OKC,C,14,14,401,.690,4.7,.973,.504,.345,.124,.000,.027,.709,.877,.564,.429,,.000,.782,,.345,38,.667,.000,0,0,,harteis01
60,Giannis Antetokounmpo,31,MIL,PF,12,12,401,.630,5.8,.924,.655,.126,.046,.097,.076,.641,.776,.433,.364,.130,.500,.440,.778,.265,61,.000,,0,0,,antetgi01
61,Jrue Holiday,35,POR,PG,12,12,401,.446,16.5,.488,.157,.181,.114,.036,.512,.531,.654,.500,.421,.500,.365,.372,.452,.012,2,.129,.455,0,0,,holidjr01
62,Russell Westbrook,37,SAC,SF,14,8,399,.436,14.9,.546,.166,.258,.080,.043,.454,.461,.667,.429,.308,.143,.405,.317,.767,.006,1,.338,.480,0,0,,westbru01
63,Donte DiVincenzo,29,MIN,SG,13,13,399,.425,20.9,.246,.082,.119,.022,.022,.754,.576,.636,.500,.333,1.000,.376,.684,.974,.015,2,.178,.222,0,0,,divindo01
64,Austin Reaves,27,LAL,SG,11,11,399,.482,16.6,.538,.117,.223,.157,.041,.462,.613,.783,.659,.516,.250,.330,.308,.700,.000,0,.077,.286,0,0,,reaveau01
65,Davion Mitchell,27,MIA,PG,13,13,398,.495,13.5,.629,.152,.362,.086,.029,.371,.561,.688,.579,.333,.333,.385,.297,.867,.000,0,.077,.000,0,0,,mitchda01
66,Herbert Jones,27,NOP,SF,13,13,397,.417,16.0,.487,.209,.165,.052,.061,.513,.464,.583,.421,.167,.429,.373,.462,1.000,.026,2,.339,.350,0,0,,joneshe01
67,Karl-Anthony Towns,30,NYK,C,12,12,397,.439,12.0,.635,.407,.180,.011,.037,.365,.492,.558,.412,.500,.143,.348,.559,.958,.085,14,.058,.500,0,0,,townska01
68,Ajay Mitchell,23,OKC,SG,14,5,396,.457,11.7,.715,.215,.360,.086,.054,.285,.504,.675,.522,.250,.100,.340,.403,.667,.011,2,.302,.375,0,0,,mitchaj01
69,Deandre Ayton,27,LAL,C,13,13,395,.692,5.9,1.000,.406,.371,.175,.049,.000,.692,.810,.660,.480,.714,,.828,,.203,26,,,0,0,,aytonde01
70,Jalen Johnson,24,ATL,SF,12,12,395,.587,9.4,.802,.378,.273,.099,.052,.198,.638,.800,.532,.471,.333,.382,.602,.923,.140,23,.118,.250,0,0,,johnsja05
71,Draymond Green,35,GSW,PF,14,14,394,.373,16.8,.422,.235,.108,.049,.029,.578,.395,.417,.455,.200,.333,.356,.882,1.000,.010,1,.356,.524,0,0,,greendr01
72,Paolo Banchero,23,ORL,PF,12,12,393,.461,12.1,.753,.247,.247,.174,.084,.247,.530,.705,.545,.258,.533,.250,.352,.909,.062,10,.091,.000,0,0,,banchpa01
73,Jaime Jaquez Jr.,24,MIA,SF,13,0,392,.533,7.8,.852,.367,.402,.071,.012,.148,.590,.758,.456,.500,.500,.200,.506,1.000,.059,9,.240,.167,0,0,,jaqueja01
74,Michael Porter Jr.,27,BRK,SF,12,12,390,.472,16.9,.514,.156,.133,.133,.092,.486,.589,.882,.517,.448,.400,.349,.636,.892,.064,13,.160,.294,0,0,,portemi01
75,Harrison Barnes,33,SAS,PF,13,13,386,.542,18.3,.313,.146,.135,.031,.000,.688,.667,.786,.692,.000,,.485,.600,.938,.021,2,.470,.484,0,0,,barneha02
76,Gary Trent Jr.,27,MIL,SG,14,12,384,.390,21.0,.301,.073,.065,.081,.081,.699,.432,.667,.250,.300,.500,.372,.625,.875,.000,0,.221,.526,0,0,,trentga02
77,CJ McCollum,34,WAS,SG,13,13,384,.394,17.3,.500,.111,.178,.161,.050,.500,.411,.650,.281,.483,.111,.378,.297,.676,.006,1,.189,.353,0,0,,mccolcj01
78,A.J. Green,26,MIL,SG,14,14,382,.490,24.3,.073,.021,.021,.021,.010,.927,.714,.500,1.000,1.000,.000,.472,.600,.905,.000,0,.258,.739,0,0,,greenaj01
79,Nic Claxton,26,BRK,C,13,13,382,.610,4.9,.951,.520,.350,.065,.016,.049,.641,.734,.605,.000,1.000,.000,.573,,.268,32,.000,,0,0,,claxtni01
80,Nikola Vučević,35,CHI,C,12,12,380,.506,13.4,.656,.221,.279,.104,.052,.344,.545,.618,.558,.500,.250,.434,.836,.957,.013,2,.038,.500,0,0,,vucevni01
81,Jarace Walker,22,IND,PF,13,8,379,.293,15.9,.524,.122,.245,.136,.020,.476,.325,.444,.222,.450,.000,.257,.440,.833,.007,0,.129,.333,0,0,,walkeja02
82,Cason Wallace,22,OKC,SG,13,13,378,.417,16.1,.427,.177,.208,.031,.010,.573,.463,.765,.250,.333,.000,.382,.263,1.000,.063,5,.309,.471,0,0,,wallaca01
83,Alex Sarr,20,WAS,C,13,13,377,.519,10.1,.788,.275,.365,.116,.032,.212,.564,.808,.420,.500,.333,.350,.714,1.000,.138,25,.075,.333,0,0,,sarral01
84,Cedric Coward,22,MEM,SG,14,1,374,.478,14.2,.537,.261,.172,.097,.007,.463,.569,.686,.478,.462,.000,.371,.634,.957,.075,9,.274,.235,0,0,,cowarce01
85,Jamal Murray,28,DEN,PG,11,11,374,.458,15.8,.620,.146,.203,.104,.167,.380,.529,.643,.462,.600,.469,.342,.286,.520,.005,1,.082,.000,1,1,,murraja01
86,OG Anunoby,28,NYK,PF,12,12,373,.476,14.8,.463,.367,.048,.041,.007,.537,.574,.685,.000,.333,.000,.392,.615,.968,.143,19,.456,.444,0,0,,anunoog01
87,Jalen Brunson,29,NYK,PG,11,11,373,.467,14.5,.633,.188,.205,.162,.079,.367,.524,.698,.340,.541,.556,.369,.276,.548,.000,0,.143,.500,0,0,,brunsja01
88,Kyshawn George,22,WAS,SF,12,12,372,.507,16.6,.527,.151,.192,.123,.062,.473,.558,.864,.464,.444,.333,.449,.233,.839,.027,4,.174,.750,0,0,,georgky01
89,Naji Marshall,28,DAL,SF,14,1,371,.472,12.6,.648,.250,.259,.083,.056,.352,.571,.778,.393,.778,.167,.289,.575,.909,.037,4,.553,.286,0,0,,marshna01
90,Quentin Grimes,25,PHI,SG,12,0,371,.467,16.8,.452,.237,.133,.044,.037,.548,.557,.719,.500,.167,.200,.392,.618,.897,.015,1,.122,.222,0,0,,grimequ01
91,Luka Dončić,26,LAL,PG,10,10,371,.469,18.2,.513,.084,.155,.199,.075,.487,.603,.947,.600,.600,.235,.327,.229,.333,.009,2,.073,.000,0,0,,doncilu01
92,Anthony Black,22,ORL,PG,14,3,370,.463,13.8,.602,.276,.211,.065,.049,.398,.568,.765,.500,.375,.000,.306,.429,.933,.114,11,.265,.308,1,1,,blackan01
93,Shaedon Sharpe,22,POR,SG,13,13,370,.433,14.3,.618,.261,.176,.088,.092,.382,.531,.645,.500,.381,.409,.275,.500,.720,.067,12,.099,.222,0,0,,sharpsh01
94,Stephen Curry,37,GSW,PG,12,12,367,.458,18.7,.410,.154,.132,.079,.044,.590,.570,.657,.600,.444,.400,.381,.528,.706,.004,0,.082,.455,0,0,,curryst01
95,Nickeil Alexander-Walker,27,ATL,SG,12,9,365,.441,14.7,.559,.267,.149,.068,.075,.441,.533,.628,.500,.545,.250,.324,.479,.870,.012,2,.197,.357,0,0,,alexani01
96,Domantas Sabonis,29,SAC,C,11,11,365,.510,7.1,.862,.400,.366,.090,.007,.138,.560,.672,.415,.692,.000,.200,.714,1.000,.097,14,.150,.333,0,0,,sabondo01
97,Jabari Smith Jr.,22,HOU,PF,11,11,363,.457,15.8,.543,.171,.163,.132,.078,.457,.529,.682,.571,.471,.200,.373,.595,.955,.047,6,.492,.483,0,0,,smithja05
98,Jerami Grant,31,POR,PF,13,1,362,.464,13.4,.556,.318,.185,.046,.007,.444,.512,.667,.357,.143,.000,.403,.395,1.000,.053,6,.358,.500,0,0,,grantje01
99,Jonathan Kuminga,23,GSW,PF,13,12,360,.478,10.8,.728,.250,.353,.096,.029,.272,.535,.647,.521,.462,.000,.324,.453,.917,.140,15,.351,.308,0,0,,kuminjo01
100,Santi Aldama,25,MEM,PF,14,0,358,.463,14.4,.570,.235,.215,.067,.054,.430,.576,.714,.563,.400,.250,.313,.816,1.000,.027,4,.234,.533,0,0,,aldamsa01
101,Saddiq Bey,26,NOP,SF,13,7,358,.429,15.8,.474,.203,.173,.068,.030,.526,.460,.519,.478,.444,.000,.400,.345,.964,.023,3,.300,.143,0,0,,beysa01
102,Julian Champagnie,24,SAS,SF,13,8,357,.415,19.6,.234,.181,.053,.000,.000,.766,.545,.706,.000,,,.375,.750,.963,.021,2,.486,.457,0,0,,champju02
103,Jaylen Wells,22,MEM,SG,14,14,354,.366,17.5,.448,.142,.142,.075,.090,.552,.467,.632,.421,.400,.333,.284,.679,.905,.030,3,.297,.182,0,0,,wellsja01
104,Svi Mykhailiuk,28,UTA,SF,13,13,353,.469,19.6,.286,.082,.173,.010,.020,.714,.714,.500,.824,1.000,.500,.371,.700,.923,.000,0,.371,.423,0,0,,mykhasv01
105,Terance Mann,29,BRK,SG,13,13,352,.475,13.3,.604,.257,.198,.119,.030,.396,.541,.654,.450,.500,.333,.375,.394,.800,.059,3,.275,.364,0,0,,mannte01
106,Bub Carrington,20,WAS,PG,13,5,349,.329,17.3,.541,.059,.235,.141,.106,.459,.239,.200,.250,.250,.222,.436,.273,.765,.024,1,.231,.333,0,0,,carrica01
107,Sion James,23,CHO,SG,13,8,349,.486,15.3,.431,.306,.097,.028,.000,.569,.484,.545,.286,.500,,.488,.533,1.000,.097,5,.439,.444,0,0,,jamessi01
108,Matas Buzelis,21,CHI,PF,12,12,349,.485,12.1,.596,.360,.191,.029,.015,.404,.543,.571,.538,.000,1.000,.400,.500,.955,.074,9,.364,.250,0,0,,buzelma01
109,Josh Giddey,23,CHI,PG,10,10,349,.459,11.0,.729,.294,.324,.059,.053,.271,.492,.660,.382,.600,.111,.370,.393,.824,.006,1,.065,.333,0,0,,giddejo01
110,Ja Morant,26,MEM,PG,12,12,345,.359,13.9,.692,.154,.262,.190,.087,.308,.444,.600,.431,.405,.294,.167,.283,.600,.015,3,.150,.556,0,0,,moranja01
111,Neemias Queta,26,BOS,C,14,14,344,.613,4.3,.968,.548,.355,.043,.022,.032,.633,.765,.515,.250,.000,.000,.754,,.269,24,.333,.000,0,0,,quetane01
112,Jeremiah Fears,19,NOP,PG,13,11,344,.437,11.7,.743,.299,.228,.156,.060,.257,.468,.640,.395,.385,.100,.349,.379,.733,.018,3,.140,.333,0,0,,fearsje01
113,Jock Landale,30,MEM,C,14,13,342,.544,11.9,.660,.311,.243,.078,.029,.340,.588,.594,.560,.625,.667,.457,.700,1.000,.058,3,.143,.400,0,0,,landajo01
114,Anfernee Simons,26,BOS,SG,14,0,342,.405,20.0,.411,.037,.135,.098,.141,.589,.418,.500,.500,.438,.304,.396,.107,.711,.006,1,.063,.167,0,0,,simonan01
115,Kyle Kuzma,30,MIL,PF,13,4,338,.512,11.7,.667,.279,.318,.031,.039,.333,.628,.750,.561,.250,.600,.279,.611,.917,.054,7,.372,.313,0,0,,kuzmaky01
116,Collin Gillespie,26,PHO,PG,14,0,337,.385,21.1,.320,.041,.115,.115,.049,.680,.385,.400,.429,.286,.500,.386,.400,.781,.000,0,.181,.800,0,0,,gilleco01
117,Aaron Nesmith,26,IND,SF,11,11,335,.367,17.6,.435,.170,.122,.075,.068,.565,.359,.480,.389,.182,.200,.373,.826,.935,.027,2,.241,.400,0,0,,nesmiaa01
118,Ryan Dunn,23,PHO,SF,14,9,334,.480,12.5,.569,.314,.216,.039,.000,.431,.603,.781,.455,.000,,.318,.657,1.000,.157,14,.659,.276,0,0,,dunnry01
119,Kris Dunn,31,LAC,PG,13,7,333,.467,13.7,.587,.200,.240,.133,.013,.413,.545,.733,.556,.300,.000,.355,.500,1.000,.027,1,.419,.462,0,0,,dunnkr01
120,Aaron Gordon,30,DEN,PF,11,11,333,.533,14.1,.578,.296,.133,.074,.074,.422,.577,.800,.333,.300,.400,.474,.600,.815,.148,18,.211,.500,0,0,,gordoaa01
121,Tre Jones,26,CHI,PG,11,11,329,.495,7.4,.825,.526,.258,.031,.010,.175,.525,.608,.400,.333,.000,.353,.405,1.000,.000,0,.176,.667,0,0,,jonestr01
122,John Collins,28,LAC,PF,13,4,328,.512,11.3,.702,.248,.372,.041,.041,.298,.588,.833,.511,.200,.200,.333,.760,1.000,.124,13,.556,.450,0,0,,collijo01
123,Kentavious Caldwell-Pope,32,MEM,SG,14,13,327,.356,16.8,.535,.119,.178,.109,.129,.465,.407,.583,.444,.364,.231,.298,.773,.929,.030,2,.170,.000,0,0,,caldwke01
124,Tre Johnson,19,WAS,SG,13,4,327,.424,17.8,.492,.061,.205,.182,.045,.508,.477,.750,.407,.458,.500,.373,.355,.800,.015,1,.224,.333,0,0,,johnstr03
125,Donovan Clingan,21,POR,C,13,13,326,.479,11.7,.583,.417,.167,.000,.000,.417,.679,.700,.625,,,.200,.526,1.000,.135,11,.175,.000,0,0,,clingdo01
126,Noah Clowney,21,BRK,PF,13,7,326,.347,20.3,.245,.102,.133,.010,.000,.755,.500,.700,.385,.000,,.297,.500,1.000,.071,4,.257,.368,0,0,,clownno01
127,Ben Sheppard,24,IND,SG,13,5,326,.316,16.5,.449,.184,.163,.071,.031,.551,.409,.667,.188,.429,.000,.241,.667,.923,.020,2,.315,.294,0,0,,sheppbe01
128,Christian Braun,24,DEN,SG,11,11,325,.495,10.5,.711,.433,.206,.010,.062,.289,.609,.667,.550,1.000,.333,.214,.762,1.000,.103,9,.107,.667,0,0,,braunch01
129,Tristan Da Silva,24,ORL,SF,14,2,324,.487,16.9,.420,.151,.202,.059,.008,.580,.600,.722,.583,.286,1.000,.406,.533,.964,.050,4,.319,.500,0,0,,dasiltr01
130,Derrick Jones Jr.,28,LAC,SF,13,13,324,.533,14.5,.500,.239,.228,.011,.022,.500,.717,.955,.476,1.000,.500,.348,.727,1.000,.152,14,.435,.300,0,0,,jonesde02
131,Marcus Smart,31,LAL,SG,11,9,321,.402,18.3,.402,.126,.126,.103,.046,.598,.657,.727,.818,.444,.500,.231,.478,.833,.000,0,.192,.300,0,0,,smartma01
132,De'Andre Hunter,28,CLE,SF,11,11,320,.442,17.1,.513,.117,.162,.175,.058,.487,.595,.778,.520,.519,.667,.280,.574,.810,.032,4,.187,.214,0,0,,huntede01
133,Kevin Huerter,27,CHI,SF,12,3,319,.496,13.1,.559,.331,.189,.039,.000,.441,.648,.762,.500,.400,,.304,.674,1.000,.031,4,.250,.429,0,0,,huertke01
134,Jalen Duren,22,DET,C,11,11,319,.647,3.4,1.000,.471,.504,.000,.025,.000,.647,.696,.600,,.667,,.649,,.336,37,,,0,0,,durenja01
135,Ryan Kalkbrenner,24,CHO,C,12,12,318,.818,2.3,.985,.803,.182,.000,.000,.015,.831,.887,.583,,,.000,.667,,.394,25,.000,,0,0,,kalkbry01
136,Naz Reid,26,MIN,C,13,0,316,.438,16.3,.469,.138,.246,.077,.008,.531,.541,.778,.500,.300,.000,.348,.485,.917,.023,1,.333,.435,1,0,,reidna01
137,Moses Moody,23,GSW,SG,13,5,315,.442,20.2,.283,.092,.117,.042,.033,.717,.412,.636,.429,.000,.250,.453,.500,.974,.025,2,.186,.563,0,0,,moodymo01
138,Jusuf Nurkić,31,UTA,C,13,8,314,.372,10.1,.745,.213,.500,.032,.000,.255,.443,.550,.404,.333,,.167,.516,1.000,.043,3,.000,,0,0,,nurkiju01
139,Collin Sexton,27,CHO,SG,12,9,314,.480,13.4,.648,.264,.232,.080,.072,.352,.506,.788,.345,.300,.222,.432,.415,.737,.000,0,.136,.500,0,0,,sextoco01
