Rk,Tm,Player,College,Year
57.0,PHI,Alvin Jones,Georgia Tech,2001
58.0,SAS,Bryan Bracey,Oregon,2001
1.0,HOU,Yao Ming,,2002
2.0,CHI,Jay Williams,Duke,2002
3.0,GSW,Mike Dunleavy,Duke,2002
4.0,MEM,Drew Gooden,Kansas,2002
5.0,DEN,Nikoloz Tskitishvili,,2002
6.0,CLE,Dajuan Wagner,Memphis,2002
7.0,NYK,Nenê,,2002
8.0,LAC,Chris Wilcox,Maryland,2002
9.0,PHO,Amar'e Stoudemire,,2002
10.0,MIA,Caron Butler,UConn,2002
11.0,WAS,Jared Jeffries,Indiana,2002
12.0,LAC,Melvin Ely,Fresno State,2002
13.0,MIL,Marcus Haislip,Tennessee,2002
14.0,IND,Fred Jones,Oregon,2002
15.0,HOU,Boštjan Nachbar,,2002
16.0,PHI,Jiří Welsch,,2002
17.0,WAS,Juan Dixon,Maryland,2002
18.0,ORL,Curtis Borchardt,Stanford,2002
19.0,UTA,Ryan Humphrey,Notre Dame,2002
20.0,TOR,Kareem Rush,Missouri,2002
21.0,POR,Qyntel Woods,Northeast Mississippi Community College,2002
22.0,PHO,Casey Jacobsen,Stanford,2002
23.0,DET,Tayshaun Prince,Kentucky,2002
24.0,NJN,Nenad Krstić,,2002
25.0,DEN,Frank Williams,Illinois,2002
26.0,SAS,John Salmons,Miami (FL),2002
27.0,LAL,Chris Jefferies,Fresno State,2002
28.0,SAC,Dan Dickau,Gonzaga,2002
,,,,2002
30.0,GSW,Steve Logan,Cincinnati,2002
31.0,CHI,Roger Mason,Virginia,2002
32.0,MEM,Robert Archibald,Illinois,2002
33.0,DEN,Vincent Yarbrough,Tennessee,2002
34.0,MIL,Dan Gadzuric,UCLA,2002
35.0,CLE,Carlos Boozer,Duke,2002
36.0,NYK,Milos Vujanic,,2002
37.0,ATL,David Andersen,,2002
38.0,HOU,Tito Maddox,Fresno State,2002
39.0,WAS,Rod Grizzard,Alabama,2002
40.0,WAS,Juan Carlos Navarro,,2002
41.0,LAC,Mario Kasun,,2002
42.0,MIL,Ronald Murray,Shaw,2002
43.0,POR,Jason Jennings,Arkansas State University,2002
44.0,CHI,Lonny Baxter,Maryland,2002
45.0,PHI,Sam Clancy,USC,2002
46.0,MEM,Matt Barnes,UCLA,2002
47.0,UTA,Jamal Sampson,California,2002
48.0,MIL,Chris Owens,Texas,2002
49.0,SEA,Peter Fehse,,2002
50.0,BOS,Darius Songaila,Wake Forest,2002
51.0,POR,Federico Kammerichs,,2002
52.0,MIN,Marcus Taylor,Michigan State,2002
53.0,MIA,Rasual Butler,La Salle,2002
54.0,NJN,Tamar Slay,Marshall,2002
55.0,DAL,Mladen Sekularac,,2002
56.0,SAS,Luis Scola,,2002
57.0,SAS,Randy Holcomb,San Diego State,2002
58.0,SAC,Corsley Edwards,Central Connecticut State University,2002
1.0,CLE,LeBron James,,2003
2.0,DET,Darko Miličić,,2003
3.0,DEN,Carmelo Anthony,Syracuse,2003
4.0,TOR,Chris Bosh,Georgia Tech,2003
5.0,MIA,Dwyane Wade,Marquette,2003
6.0,LAC,Chris Kaman,Central Michigan University,2003
7.0,CHI,Kirk Hinrich,Kansas,2003
8.0,MIL,T.J. Ford,Texas,2003
9.0,NYK,Mike Sweetney,Georgetown,2003
10.0,WAS,Jarvis Hayes,Georgia,2003
11.0,GSW,Mickaël Piétrus,,2003
12.0,SEA,Nick Collison,Kansas,2003
13.0,MEM,Marcus Banks,UNLV,2003
14.0,SEA,Luke Ridnour,Oregon,2003
15.0,ORL,Reece Gaines,Louisville,2003
16.0,BOS,Troy Bell,Boston College,2003
17.0,PHO,Žarko Čabarkapa,,2003
18.0,NOH,David West,Xavier,2003
19.0,UTA,Sasha Pavlović,,2003
20.0,BOS,Dahntay Jones,Duke,2003
21.0,ATL,Boris Diaw,,2003
22.0,NJN,Zoran Planinić,,2003
23.0,POR,Travis Outlaw,,2003
24.0,LAL,Brian Cook,Illinois,2003
25.0,DET,Carlos Delfino,,2003
26.0,MIN,Ndudi Ebi,,2003
27.0,MEM,Kendrick Perkins,,2003
28.0,SAS,Leandro Barbosa,,2003
29.0,DAL,Josh Howard,Wake Forest,2003
30.0,NYK,Maciej Lampe,,2003
31.0,CLE,Jason Kapono,UCLA,2003
32.0,LAL,Luke Walton,Arizona,2003
33.0,MIA,Jerome Beasley,University of North Dakota,2003
34.0,LAC,Sofoklis Schortsanitis,,2003
35.0,MIL,Szymon Szewczyk,,2003
36.0,CHI,Mario Austin,Mississippi State,2003
37.0,ATL,Travis Hansen,BYU,2003
38.0,WAS,Steve Blake,Maryland,2003
39.0,NYK,Slavko Vraneš,,2003
40.0,GSW,Derrick Zimmerman,Mississippi State,2003
41.0,SEA,Willie Green,Detroit Mercy,2003
42.0,ORL,Zaza Pachulia,,2003
43.0,MIL,Keith Bogans,Kentucky,2003
44.0,HOU,Malick Badiane,,2003
45.0,CHI,Matt Bonner,Florida,2003
46.0,DEN,Sani Bečirovič,,2003
47.0,UTA,Mo Williams,Alabama,2003
48.0,NOH,James Lang,,2003
49.0,IND,James Jones,Miami (FL),2003
50.0,PHI,Paccelis Morlende,,2003
51.0,NJN,Kyle Korver,Creighton,2003
52.0,TOR,Remon van de Hare,,2003
53.0,CHI,Tommy Smith,Arizona State,2003
54.0,POR,Nedžad Sinanović,,2003
55.0,MIN,Rick Rickert,Minnesota,2003
56.0,BOS,Brandon Hunter,Ohio University,2003
57.0,DAL,Xue Yuyang,,2003
58.0,DET,Andreas Glyniadakis,,2003
1.0,ORL,Dwight Howard,,2004
2.0,CHA,Emeka Okafor,UConn,2004
3.0,CHI,Ben Gordon,UConn,2004
4.0,LAC,Shaun Livingston,,2004
5.0,WAS,Devin Harris,Wisconsin,2004
6.0,ATL,Josh Childress,Stanford,2004
7.0,PHO,Luol Deng,Duke,2004
8.0,TOR,Rafael Araújo,BYU,2004
9.0,PHI,Andre Iguodala,Arizona,2004
10.0,CLE,Luke Jackson,Oregon,2004
11.0,GSW,Andris Biedriņš,,2004
12.0,SEA,Robert Swift,,2004
13.0,POR,Sebastian Telfair,,2004
14.0,UTA,Kris Humphries,Minnesota,2004
15.0,BOS,Al Jefferson,,2004
16.0,UTA,Kirk Snyder,Nevada,2004
17.0,ATL,Josh Smith,,2004
18.0,NOH,J.R. Smith,,2004
19.0,MIA,Dorell Wright,,2004
20.0,DEN,Jameer Nelson,Saint Joseph's,2004
21.0,UTA,Pavel Podkolzin,,2004
22.0,NJN,Viktor Khryapa,,2004
23.0,POR,Sergei Monia,,2004
24.0,BOS,Delonte West,Saint Joseph's,2004
25.0,BOS,Tony Allen,Oklahoma State,2004
26.0,SAC,Kevin Martin,Western Carolina University,2004
27.0,LAL,Sasha Vujačić,,2004
28.0,SAS,Beno Udrih,,2004
29.0,IND,David Harrison,Colorado,2004
,,,,2004
31.0,ORL,Anderson Varejão,,2004
32.0,CHI,Jackson Vroman,Iowa State,2004
33.0,WAS,Peter John Ramos,,2004
34.0,LAC,Lionel Chalmers,Xavier,2004
35.0,ATL,Donta Smith,Southeastern Illinois College,2004
36.0,SEA,Andre Emmett,Texas Tech,2004
37.0,ORL,Antonio Burks,Memphis,2004
38.0,ATL,Royal Ivey,Texas,2004
39.0,CHI,Chris Duhon,Duke,2004
40.0,TOR,Albert Miralles,,2004
41.0,BOS,Justin Reed,Ole Miss,2004
42.0,SEA,David Young,NC Central,2004
43.0,ATL,Viktor Sanikidze,,2004
44.0,NYK,Trevor Ariza,UCLA,2004
45.0,NOH,Tim Pickett,Florida State,2004
46.0,CHA,Bernard Robinson,Michigan,2004
47.0,POR,Ha Seung-Jin,,2004
48.0,MIA,Pape Sow,Cal State Fullerton,2004
49.0,SAC,Ricky Minard,Morehead State University,2004
50.0,MEM,Sergei Lishouk,,2004
51.0,DAL,Vassilis Spanoulis,,2004
52.0,NJN,Christian Drejer,Florida,2004
53.0,SAS,Romain Sato,Xavier,2004
54.0,MIA,Matt Freije,Vanderbilt,2004
55.0,DET,Rickey Paulding,Missouri,2004
56.0,HOU,Luis Flores,Manhattan University,2004
57.0,LAL,Marcus Douthit,Providence,2004
58.0,SAS,Sergei Karaulov,,2004
59.0,MIN,Blake Stepp,Gonzaga,2004
60.0,IND,Rashad Wright,Georgia,2004
1.0,MIL,Andrew Bogut,Utah,2005
2.0,ATL,Marvin Williams,UNC,2005
3.0,UTA,Deron Williams,Illinois,2005
4.0,NOH,Chris Paul,Wake Forest,2005
5.0,CHA,Raymond Felton,UNC,2005
6.0,POR,Martell Webster,,2005
7.0,TOR,Charlie Villanueva,UConn,2005
8.0,NYK,Channing Frye,Arizona,2005
9.0,GSW,Ike Diogu,Arizona State,2005
10.0,LAL,Andrew Bynum,,2005
11.0,ORL,Fran Vázquez,,2005
12.0,LAC,Yaroslav Korolev,,2005
13.0,CHA,Sean May,UNC,2005
14.0,MIN,Rashad McCants,UNC,2005
15.0,NJN,Antoine Wright,Texas A&M,2005
16.0,TOR,Joey Graham,Oklahoma State,2005
17.0,IND,Danny Granger,New Mexico,2005
18.0,BOS,Gerald Green,,2005
19.0,MEM,Hakim Warrick,Syracuse,2005
20.0,DEN,Julius Hodge,NC State,2005
21.0,PHO,Nate Robinson,Washington,2005
22.0,DEN,Jarrett Jack,Georgia Tech,2005
23.0,SAC,Francisco García,Louisville,2005
24.0,HOU,Luther Head,Illinois,2005
25.0,SEA,Johan Petro,,2005
26.0,DET,Jason Maxiell,Cincinnati,2005
27.0,POR,Linas Kleiza,Missouri,2005
28.0,SAS,Ian Mahinmi,,2005
29.0,MIA,Wayne Simien,Kansas,2005
30.0,NYK,David Lee,Florida,2005
31.0,ATL,Salim Stoudamire,Arizona,2005
32.0,LAC,Daniel Ewing,Duke,2005
33.0,NOH,Brandon Bass,LSU,2005
34.0,UTA,C.J. Miles,,2005
35.0,POR,Ricky Sánchez,,2005
36.0,MIL,Ersan İlyasova,,2005
37.0,LAL,Ronny Turiaf,Gonzaga,2005
38.0,ORL,Travis Diener,Marquette,2005
39.0,LAL,Von Wafer,Florida State,2005
40.0,GSW,Monta Ellis,,2005
41.0,TOR,Roko Ukić,,2005
42.0,GSW,Chris Taft,Pitt,2005
43.0,NJN,Mile Ilić,,2005
44.0,ORL,Martynas Andriuškevičius,,2005
45.0,PHI,Lou Williams,,2005
46.0,IND,Erazem Lorbek,,2005
47.0,MIN,Bracey Wright,Indiana,2005
48.0,SEA,Mickaël Gelabale,,2005
49.0,WAS,Andray Blatche,,2005
