Rk,Tm,Player,College,Year
59.0,LAL,Chinemelu Elonu,Texas A&M,2009
60.0,MIA,Robert Dozier,Memphis,2009
1.0,WAS,John Wall,Kentucky,2010
2.0,PHI,Evan Turner,Ohio State,2010
3.0,NJN,Derrick Favors,Georgia Tech,2010
4.0,MIN,Wesley Johnson,Syracuse,2010
5.0,SAC,DeMarcus Cousins,Kentucky,2010
6.0,GSW,Ekpe Udoh,Baylor,2010
7.0,DET,Greg Monroe,Georgetown,2010
8.0,LAC,Al-Farouq Aminu,Wake Forest,2010
9.0,UTA,Gordon Hayward,Butler,2010
10.0,IND,Paul George,Fresno State,2010
11.0,NOH,Cole Aldrich,Kansas,2010
12.0,MEM,Xavier Henry,Kansas,2010
13.0,TOR,Ed Davis,UNC,2010
14.0,HOU,Patrick Patterson,Kentucky,2010
15.0,MIL,Larry Sanders,VCU,2010
16.0,MIN,Luke Babbitt,Nevada,2010
17.0,CHI,Kevin Séraphin,,2010
18.0,OKC,Eric Bledsoe,Kentucky,2010
19.0,BOS,Avery Bradley,Texas,2010
20.0,SAS,James Anderson,Oklahoma State,2010
21.0,OKC,Craig Brackins,Iowa State,2010
22.0,POR,Elliot Williams,Memphis,2010
23.0,MIN,Trevor Booker,Clemson,2010
24.0,ATL,Damion James,Texas,2010
25.0,MEM,Dominique Jones,South Florida,2010
26.0,OKC,Quincy Pondexter,Washington,2010
27.0,NJN,Jordan Crawford,Xavier,2010
28.0,MEM,Greivis Vásquez,Maryland,2010
29.0,ORL,Daniel Orton,Kentucky,2010
30.0,WAS,Lazar Hayward,Marquette,2010
31.0,NJN,Tibor Pleiß,,2010
32.0,MIA,Dexter Pittman,Texas,2010
33.0,SAC,Hassan Whiteside,Marshall,2010
34.0,POR,Armon Johnson,Nevada,2010
35.0,WAS,Nemanja Bjelica,,2010
36.0,DET,Terrico White,Ole Miss,2010
37.0,MIL,Darington Hobson,New Mexico,2010
38.0,NYK,Andy Rautins,Syracuse,2010
39.0,NYK,Landry Fields,Stanford,2010
40.0,IND,Lance Stephenson,Cincinnati,2010
41.0,MIA,Jarvis Varnado,Mississippi State,2010
42.0,MIA,Da'Sean Butler,West Virginia,2010
43.0,LAL,Devin Ebanks,West Virginia,2010
44.0,MIL,Jerome Jordan,Tulsa,2010
45.0,MIN,Paulão Prestes,,2010
46.0,PHO,Gani Lawal,Georgia Tech,2010
47.0,MIL,Tiny Gallon,Oklahoma,2010
48.0,MIA,Latavious Williams,,2010
49.0,SAS,Ryan Richards,,2010
50.0,DAL,Solomon Alabi,Florida State,2010
51.0,OKC,Magnum Rolle,Louisiana Tech,2010
52.0,BOS,Luke Harangody,Notre Dame,2010
53.0,ATL,Pape Sy,,2010
54.0,LAC,Willie Warren,Oklahoma,2010
55.0,UTA,Jeremy Evans,Western Kentucky,2010
56.0,MIN,Hamady N'Diaye,Rutgers University,2010
57.0,IND,Ryan Reid,Florida State,2010
58.0,LAL,Derrick Caracter,Texas-El Paso,2010
59.0,ORL,Stanley Robinson,UConn,2010
60.0,PHO,Dwayne Collins,Miami (FL),2010
1.0,CLE,Kyrie Irving,Duke,2011
2.0,MIN,Derrick Williams,Arizona,2011
3.0,UTA,Enes Freedom,,2011
4.0,CLE,Tristan Thompson,Texas,2011
5.0,TOR,Jonas Valančiūnas,,2011
6.0,WAS,Jan Veselý,,2011
7.0,SAC,Bismack Biyombo,,2011
8.0,DET,Brandon Knight,Kentucky,2011
9.0,CHA,Kemba Walker,UConn,2011
10.0,MIL,Jimmer Fredette,BYU,2011
11.0,GSW,Klay Thompson,Washington State,2011
12.0,UTA,Alec Burks,Colorado,2011
13.0,PHO,Markieff Morris,Kansas,2011
14.0,HOU,Marcus Morris,Kansas,2011
15.0,IND,Kawhi Leonard,San Diego State,2011
16.0,PHI,Nikola Vučević,USC,2011
17.0,NYK,Iman Shumpert,Georgia Tech,2011
18.0,WAS,Chris Singleton,Florida State,2011
19.0,CHA,Tobias Harris,Tennessee,2011
20.0,MIN,Donatas Motiejūnas,,2011
21.0,POR,Nolan Smith,Duke,2011
22.0,DEN,Kenneth Faried,Morehead State University,2011
23.0,HOU,Nikola Mirotić,,2011
24.0,OKC,Reggie Jackson,Boston College,2011
25.0,BOS,MarShon Brooks,Providence,2011
26.0,DAL,Jordan Hamilton,Texas,2011
27.0,NJN,JaJuan Johnson,Purdue,2011
28.0,CHI,Norris Cole,Cleveland State University,2011
29.0,SAS,Cory Joseph,Texas,2011
30.0,CHI,Jimmy Butler,Marquette,2011
31.0,MIA,Bojan Bogdanović,,2011
32.0,CLE,Justin Harper,Richmond,2011
33.0,DET,Kyle Singler,Duke,2011
34.0,WAS,Shelvin Mack,Butler,2011
35.0,SAC,Tyler Honeycutt,UCLA,2011
36.0,NJN,Jordan Williams,Maryland,2011
37.0,LAC,Trey Thompkins,Georgia,2011
38.0,HOU,Chandler Parsons,Florida,2011
39.0,CHA,Jeremy Tyler,,2011
40.0,MIL,Jon Leuer,Wisconsin,2011
41.0,LAL,Darius Morris,Michigan,2011
42.0,IND,Dāvis Bertāns,,2011
43.0,CHI,Malcolm Lee,UCLA,2011
44.0,GSW,Charles Jenkins,Hofstra,2011
45.0,NOH,Josh Harrellson,Kentucky,2011
46.0,LAL,Andrew Goudelock,College of Charleston,2011
47.0,LAC,Travis Leslie,Georgia,2011
48.0,ATL,Keith Benson,Oakland,2011
49.0,MEM,Josh Selby,Kansas,2011
50.0,PHI,Lavoy Allen,Temple,2011
51.0,POR,Jon Diebler,Ohio State,2011
52.0,DET,Vernon Macklin,Florida,2011
53.0,ORL,DeAndre Liggins,Kentucky,2011
54.0,CLE,Milan Mačvan,,2011
55.0,BOS,E'Twaun Moore,Purdue,2011
56.0,LAL,Chukwudiebere Maduabum,,2011
57.0,DAL,Tanguy Ngombo,,2011
58.0,LAL,Ater Majok,,2011
59.0,SAS,Ádám Hanga,,2011
60.0,SAC,Isaiah Thomas,Washington,2011
1.0,NOH,Anthony Davis,Kentucky,2012
2.0,CHA,Michael Kidd-Gilchrist,Kentucky,2012
3.0,WAS,Bradley Beal,Florida,2012
4.0,CLE,Dion Waiters,Syracuse,2012
5.0,SAC,Thomas Robinson,Kansas,2012
6.0,POR,Damian Lillard,Weber State,2012
7.0,GSW,Harrison Barnes,UNC,2012
8.0,TOR,Terrence Ross,Washington,2012
9.0,DET,Andre Drummond,UConn,2012
10.0,NOH,Austin Rivers,Duke,2012
11.0,POR,Meyers Leonard,Illinois,2012
12.0,HOU,Jeremy Lamb,UConn,2012
13.0,PHO,Kendall Marshall,UNC,2012
14.0,MIL,John Henson,UNC,2012
15.0,PHI,Maurice Harkless,St. John's,2012
16.0,HOU,Royce White,Iowa State,2012
17.0,DAL,Tyler Zeller,UNC,2012
18.0,HOU,Terrence Jones,Kentucky,2012
19.0,ORL,Andrew Nicholson,St. Bonaventure,2012
20.0,DEN,Evan Fournier,,2012
21.0,BOS,Jared Sullinger,Ohio State,2012
22.0,BOS,Fab Melo,Syracuse,2012
23.0,ATL,John Jenkins,Vanderbilt,2012
24.0,CLE,Jared Cunningham,Oregon State,2012
25.0,MEM,Tony Wroten,Washington,2012
26.0,IND,Miles Plumlee,Duke,2012
27.0,MIA,Arnett Moultrie,Mississippi State,2012
28.0,OKC,Perry Jones,Baylor,2012
29.0,CHI,Marquis Teague,Kentucky,2012
30.0,GSW,Festus Ezeli,Vanderbilt,2012
31.0,CHA,Jeff Taylor,Vanderbilt,2012
32.0,WAS,Tomáš Satoranský,,2012
33.0,CLE,Bernard James,Florida State,2012
34.0,CLE,Jae Crowder,Marquette,2012
35.0,GSW,Draymond Green,Michigan State,2012
36.0,SAC,Orlando Johnson,UC Santa Barbara,2012
37.0,TOR,Quincy Acy,Baylor,2012
38.0,DEN,Quincy Miller,Baylor,2012
39.0,DET,Khris Middleton,Texas A&M,2012
40.0,POR,Will Barton,Memphis,2012
41.0,POR,Tyshawn Taylor,Kansas,2012
42.0,MIL,Doron Lamb,Kentucky,2012
43.0,ATL,Mike Scott,Virginia,2012
44.0,DET,Kim English,Missouri,2012
45.0,PHI,Justin Hamilton,LSU,2012
46.0,NOH,Darius Miller,Kentucky,2012
47.0,UTA,Kevin Murphy,Tennessee Technological University,2012
48.0,NYK,Kostas Papanikolaou,,2012
49.0,ORL,Kyle O'Quinn,Norfolk State,2012
50.0,DEN,İzzet Türkyılmaz,,2012
51.0,BOS,Kris Joseph,Syracuse,2012
52.0,GSW,Ognjen Kuzmić,,2012
53.0,LAC,Furkan Aldemir,,2012
54.0,PHI,Tornike Shengelia,,2012
55.0,DAL,Darius Johnson-Odom,Marquette,2012
56.0,TOR,Tomislav Zubčić,,2012
57.0,NJN,İlkan Karaman,,2012
58.0,MIN,Robbie Hummel,Purdue,2012
59.0,SAS,Marcus Denmon,Missouri,2012
60.0,LAL,Robert Sacre,Gonzaga,2012
1.0,CLE,Anthony Bennett,UNLV,2013
2.0,ORL,Victor Oladipo,Indiana,2013
3.0,WAS,Otto Porter Jr.,Georgetown,2013
4.0,CHA,Cody Zeller,Indiana,2013
5.0,PHO,Alex Len,Maryland,2013
6.0,NOH,Nerlens Noel,Kentucky,2013
7.0,SAC,Ben McLemore,Kansas,2013
8.0,DET,Kentavious Caldwell-Pope,Georgia,2013
9.0,MIN,Trey Burke,Michigan,2013
10.0,POR,CJ McCollum,Lehigh,2013
11.0,PHI,Michael Carter-Williams,Syracuse,2013
12.0,OKC,Steven Adams,Pitt,2013
13.0,DAL,Kelly Olynyk,Gonzaga,2013
14.0,UTA,Shabazz Muhammad,UCLA,2013
15.0,MIL,Giannis Antetokounmpo,,2013
16.0,BOS,Lucas Nogueira,,2013
17.0,ATL,Dennis Schröder,,2013
18.0,ATL,Shane Larkin,Miami (FL),2013
19.0,CLE,Sergey Karasev,,2013
20.0,CHI,Tony Snell,New Mexico,2013
21.0,UTA,Gorgui Dieng,Louisville,2013
22.0,BRK,Mason Plumlee,Duke,2013
23.0,IND,Solomon Hill,Arizona,2013
24.0,NYK,Tim Hardaway Jr.,Michigan,2013
25.0,LAC,Reggie Bullock,UNC,2013
26.0,MIN,Andre Roberson,Colorado,2013
27.0,DEN,Rudy Gobert,,2013
28.0,SAS,Livio Jean-Charles,,2013
29.0,OKC,Archie Goodwin,Kentucky,2013
30.0,PHO,Nemanja Nedović,,2013
31.0,CLE,Allen Crabbe,California,2013
32.0,OKC,Álex Abrines,,2013
33.0,CLE,Carrick Felix,Arizona State,2013
34.0,HOU,Isaiah Canaan,Murray State,2013
35.0,PHI,Glen Rice Jr.,Georgia Tech,2013
36.0,SAC,Ray McCallum,Detroit Mercy,2013
37.0,DET,Tony Mitchell,University of North Texas,2013
38.0,WAS,Nate Wolters,South Dakota State,2013
39.0,POR,Jeff Withey,Kansas,2013
40.0,POR,Grant Jerrett,Arizona,2013
41.0,MEM,Jamaal Franklin,San Diego State,2013
42.0,PHI,Pierre Jackson,Baylor,2013
43.0,MIL,Ricky Ledo,Providence,2013
44.0,DAL,Mike Muscala,Bucknell,2013
45.0,POR,Marko Todorović,,2013
46.0,UTA,Erick Green,Virginia Tech,2013
47.0,ATL,Raul Neto,,2013
48.0,LAL,Ryan Kelly,Duke,2013
49.0,CHI,Erik Murphy,Florida,2013
50.0,ATL,James Ennis III,Cal State Long Beach,2013
51.0,ORL,Romero Osby,Oklahoma,2013
52.0,MIN,Lorenzo Brown,NC State,2013
53.0,IND,Colton Iverson,Colorado State,2013
54.0,WAS,Arsalan Kazemi,Oregon,2013
55.0,MEM,Joffrey Lauvergne,,2013
56.0,DET,Peyton Siva,Louisville,2013
57.0,PHO,Alex Oriakhi,Missouri,2013
58.0,SAS,Deshaun Thomas,Ohio State,2013
59.0,MIN,Bojan Dubljević,,2013
60.0,MEM,Jānis Timma,,2013
1.0,CLE,Andrew Wiggins,Kansas,2014
2.0,MIL,Jabari Parker,Duke,2014
3.0,PHI,Joel Embiid,Kansas,2014
4.0,ORL,Aaron Gordon,Arizona,2014
5.0,UTA,Dante Exum,,2014
6.0,BOS,Marcus Smart,Oklahoma State,2014
7.0,LAL,Julius Randle,Kentucky,2014
8.0,SAC,Nik Stauskas,Michigan,2014
9.0,CHO,Noah Vonleh,Indiana,2014
10.0,PHI,Elfrid Payton,Louisiana,2014
11.0,DEN,Doug McDermott,Creighton,2014
12.0,ORL,Dario Šarić,,2014
13.0,MIN,Zach LaVine,UCLA,2014
14.0,PHO,T.J. Warren,NC State,2014
15.0,ATL,Adreian Payne,Michigan State,2014
16.0,CHI,Jusuf Nurkić,,2014
17.0,BOS,James Young,Kentucky,2014
18.0,PHO,Tyler Ennis,Syracuse,2014
19.0,CHI,Gary Harris,Michigan State,2014
20.0,TOR,Bruno Caboclo,,2014
21.0,OKC,Mitch McGary,Michigan,2014
22.0,MEM,Jordan Adams,UCLA,2014
23.0,UTA,Rodney Hood,Duke,2014
24.0,CHO,Shabazz Napier,UConn,2014
25.0,HOU,Clint Capela,,2014
26.0,MIA,P.J. Hairston,UNC,2014
27.0,PHO,Bogdan Bogdanović,,2014
28.0,LAC,C.J. Wilcox,Washington,2014
29.0,OKC,Josh Huestis,Stanford,2014
30.0,SAS,Kyle Anderson,UCLA,2014
31.0,MIL,Damien Inglis,,2014
32.0,PHI,K.J. McDaniels,Clemson,2014
33.0,CLE,Joe Harris,Virginia,2014
34.0,NYK,Cleanthony Early,Wichita State,2014
35.0,UTA,Jarnell Stokes,Tennessee,2014
36.0,MIL,Johnny O'Bryant,LSU,2014
37.0,TOR,DeAndre Daniels,UConn,2014
38.0,DET,Spencer Dinwiddie,Colorado,2014
39.0,PHI,Jerami Grant,Syracuse,2014
40.0,MIN,Glenn Robinson III,Michigan,2014
41.0,DEN,Nikola Jokić,,2014
42.0,HOU,Nick Johnson,Arizona,2014
43.0,ATL,Edy Tavares,,2014
44.0,MIN,Markel Brown,Oklahoma State,2014
45.0,CHO,Dwight Powell,Stanford,2014
46.0,WAS,Jordan Clarkson,Missouri,2014
47.0,PHI,Russ Smith,Louisville,2014
48.0,MIL,Lamar Patterson,Pitt,2014
49.0,CHI,Cameron Bairstow,New Mexico,2014
50.0,PHO,Alec Brown,Green Bay,2014
51.0,NYK,Thanasis Antetokounmpo,,2014
52.0,PHI,Vasilije Micić,,2014
53.0,MIN,Alessandro Gentile,,2014
54.0,PHI,Nemanja Dangubić,,2014
55.0,MIA,Semaj Christon,Xavier,2014
56.0,DEN,Devyn Marble,Iowa,2014
57.0,IND,Louis Labeyrie,,2014
58.0,SAS,Jordan McRae,Tennessee,2014
59.0,TOR,Xavier Thames,San Diego State,2014
60.0,SAS,Cory Jefferson,Baylor,2014
1.0,MIN,Karl-Anthony Towns,Kentucky,2015
2.0,LAL,D'Angelo Russell,Ohio State,2015
3.0,PHI,Jahlil Okafor,Duke,2015
4.0,NYK,Kristaps Porziņģis,,2015
5.0,ORL,Mario Hezonja,,2015
6.0,SAC,Willie Cauley-Stein,Kentucky,2015
7.0,DEN,Emmanuel Mudiay,,2015
8.0,DET,Stanley Johnson,Arizona,2015
9.0,CHO,Frank Kaminsky,Wisconsin,2015
10.0,MIA,Justise Winslow,Duke,2015
11.0,IND,Myles Turner,Texas,2015
12.0,UTA,Trey Lyles,Kentucky,2015
13.0,PHO,Devin Booker,Kentucky,2015
14.0,OKC,Cameron Payne,Murray State,2015
15.0,ATL,Kelly Oubre Jr.,Kansas,2015
16.0,BOS,Terry Rozier,Louisville,2015
17.0,MIL,Rashad Vaughn,UNLV,2015
18.0,HOU,Sam Dekker,Wisconsin,2015
19.0,WAS,Jerian Grant,Notre Dame,2015
20.0,TOR,Delon Wright,Utah,2015
21.0,DAL,Justin Anderson,Virginia,2015
22.0,CHI,Bobby Portis,Arkansas,2015
23.0,POR,Rondae Hollis-Jefferson,Arizona,2015
24.0,CLE,Tyus Jones,Duke,2015
25.0,MEM,Jarell Martin,LSU,2015
26.0,SAS,Nikola Milutinov,,2015
27.0,LAL,Larry Nance Jr.,Wyoming,2015
28.0,BOS,R.J. Hunter,Georgia State University,2015
29.0,BRK,Chris McCullough,Syracuse,2015
30.0,GSW,Kevon Looney,UCLA,2015
31.0,MIN,Cedi Osman,,2015
32.0,HOU,Montrezl Harrell,Louisville,2015
33.0,BOS,Jordan Mickey,LSU,2015
34.0,LAL,Anthony Brown,Stanford,2015
35.0,PHI,Willy Hernangómez,,2015
36.0,MIN,Rakeem Christmas,Syracuse,2015
37.0,PHI,Richaun Holmes,Bowling Green,2015
38.0,DET,Darrun Hilliard,Villanova,2015
39.0,CHO,Juan Pablo Vaulet,,2015
40.0,MIA,Josh Richardson,Tennessee,2015
41.0,BRK,Pat Connaughton,Notre Dame,2015
42.0,UTA,Olivier Hanlan,Boston College,2015
43.0,IND,Joe Young,Oregon,2015
44.0,PHO,Andrew Harrison,Kentucky,2015
45.0,BOS,Marcus Thornton,William & Mary,2015
46.0,MIL,Norman Powell,UCLA,2015
47.0,PHI,Artūras Gudaitis,,2015
48.0,OKC,Dakari Johnson,Kentucky,2015
49.0,WAS,Aaron White,Iowa,2015
50.0,ATL,Marcus Eriksson,,2015
51.0,ORL,Tyler Harvey,Eastern Washington,2015
52.0,DAL,Satnam Singh,,2015
53.0,CLE,Sir'Dominic Pointer,St. John's,2015
54.0,UTA,Dani Díez,,2015
55.0,SAS,Cady Lalanne,UMass,2015
56.0,NOP,Branden Dawson,Michigan State,2015
57.0,DEN,Nikola Radičević,,2015
58.0,PHI,J.P. Tokoto,UNC,2015
59.0,ATL,Dimitrios Agravanis,,2015
60.0,PHI,Luka Mitrović,,2015
1.0,PHI,Ben Simmons,LSU,2016
2.0,LAL,Brandon Ingram,Duke,2016
3.0,BOS,Jaylen Brown,California,2016
4.0,PHO,Dragan Bender,,2016
5.0,MIN,Kris Dunn,Providence,2016
6.0,NOP,Buddy Hield,Oklahoma,2016
7.0,DEN,Jamal Murray,Kentucky,2016
8.0,SAC,Marquese Chriss,Washington,2016
9.0,TOR,Jakob Poeltl,Utah,2016
10.0,MIL,Thon Maker,,2016
11.0,ORL,Domantas Sabonis,Gonzaga,2016
12.0,UTA,Taurean Prince,Baylor,2016
13.0,PHO,Georgios Papagiannis,,2016
14.0,CHI,Denzel Valentine,Michigan State,2016
15.0,DEN,Juancho Hernangómez,,2016
16.0,BOS,Guerschon Yabusele,,2016
17.0,MEM,Wade Baldwin,Vanderbilt,2016
18.0,DET,Henry Ellenson,Marquette,2016
19.0,DEN,Malik Beasley,Florida State,2016
20.0,IND,Caris LeVert,Michigan,2016
21.0,ATL,DeAndre' Bembry,Saint Joseph's,2016
22.0,CHO,Malachi Richardson,Syracuse,2016
23.0,BOS,Ante Žižić,,2016
24.0,PHI,Timothé Luwawu-Cabarrot,,2016
25.0,LAC,Brice Johnson,UNC,2016
26.0,PHI,Furkan Korkmaz,,2016
27.0,TOR,Pascal Siakam,New Mexico State,2016
28.0,PHO,Skal Labissière,Kentucky,2016
29.0,SAS,Dejounte Murray,Washington,2016
30.0,GSW,Damian Jones,Vanderbilt,2016
31.0,BOS,Deyonta Davis,Michigan State,2016
32.0,LAL,Ivica Zubac,,2016
33.0,LAC,Cheick Diallo,Kansas,2016
34.0,PHO,Tyler Ulis,Kentucky,2016
35.0,BOS,Rade Zagorac,,2016
36.0,MIL,Malcolm Brogdon,Virginia,2016
37.0,HOU,Chinanu Onuaku,Louisville,2016
38.0,MIL,Patrick McCaw,UNLV,2016
39.0,NOP,David Michineau,,2016
40.0,NOP,Diamond Stone,Maryland,2016
41.0,ORL,Stephen Zimmerman,UNLV,2016
42.0,UTA,Isaiah Whitehead,Seton Hall,2016
43.0,HOU,Zhou Qi,,2016
44.0,ATL,Isaïa Cordinier,,2016
45.0,BOS,Demetrius Jackson,Notre Dame,2016
46.0,DAL,A.J. Hammons,Purdue,2016
47.0,ORL,Jake Layman,Maryland,2016
48.0,CHI,Paul Zipser,,2016
49.0,DET,Michael Gbinije,Syracuse,2016
50.0,IND,Georges Niang,Iowa State,2016
51.0,BOS,Ben Bentil,Providence,2016
52.0,UTA,Joel Bolomboy,Weber State,2016
53.0,DEN,Petr Cornelie,,2016
54.0,ATL,Kay Felder,Oakland,2016
55.0,BRK,Marcus Paige,UNC,2016
56.0,DEN,Daniel Hamilton,UConn,2016
57.0,MEM,Wang Zhelin,,2016
58.0,BOS,Abdel Nader,Iowa State,2016
59.0,SAC,Isaiah Cousins,Oklahoma,2016
60.0,UTA,Tyrone Wallace,California,2016
1.0,PHI,Markelle Fultz,Washington,2017
2.0,LAL,Lonzo Ball,UCLA,2017
3.0,BOS,Jayson Tatum,Duke,2017
4.0,PHO,Josh Jackson,Kansas,2017
5.0,SAC,De'Aaron Fox,Kentucky,2017
6.0,ORL,Jonathan Isaac,Florida State,2017
7.0,MIN,Lauri Markkanen,Arizona,2017
8.0,NYK,Frank Ntilikina,,2017
9.0,DAL,Dennis Smith Jr.,NC State,2017
10.0,SAC,Zach Collins,Gonzaga,2017
11.0,CHO,Malik Monk,Kentucky,2017
12.0,DET,Luke Kennard,Duke,2017
13.0,DEN,Donovan Mitchell,Louisville,2017
14.0,MIA,Bam Adebayo,Kentucky,2017
15.0,POR,Justin Jackson,UNC,2017
16.0,CHI,Justin Patton,Creighton,2017
17.0,MIL,D.J. Wilson,Michigan,2017
18.0,IND,T.J. Leaf,UCLA,2017
19.0,ATL,John Collins,Wake Forest,2017
20.0,POR,Harry Giles,Duke,2017
21.0,OKC,Terrance Ferguson,,2017
22.0,BRK,Jarrett Allen,Texas,2017
23.0,TOR,OG Anunoby,Indiana,2017
24.0,UTA,Tyler Lydon,Syracuse,2017
25.0,ORL,Anžejs Pasečņiks,,2017
26.0,POR,Caleb Swanigan,Purdue,2017
27.0,BRK,Kyle Kuzma,Utah,2017
28.0,LAL,Tony Bradley,UNC,2017
29.0,SAS,Derrick White,Colorado,2017
30.0,UTA,Josh Hart,Villanova,2017
31.0,CHO,Frank Jackson,Duke,2017
32.0,PHO,Davon Reed,Miami (FL),2017
33.0,ORL,Wes Iwundu,Kansas State,2017
34.0,SAC,Frank Mason III,Kansas,2017
35.0,ORL,Ivan Rabb,California,2017
36.0,PHI,Jonah Bolden,,2017
37.0,BOS,Semi Ojeleye,SMU,2017
38.0,CHI,Jordan Bell,Oregon,2017
39.0,PHI,Jawun Evans,Oklahoma State,2017
40.0,NOP,Dwayne Bacon,Florida State,2017
41.0,ATL,Tyler Dorsey,Oregon,2017
42.0,UTA,Thomas Bryant,Indiana,2017
43.0,HOU,Isaiah Hartenstein,,2017
44.0,NYK,Damyean Dotson,Oregon,2017
45.0,HOU,Dillon Brooks,Oregon,2017
46.0,PHI,Sterling Brown,SMU,2017
47.0,IND,Ike Anigbogu,UCLA,2017
48.0,MIL,Sindarius Thornwell,South Carolina,2017
49.0,DEN,Vlatko Čančar,,2017
50.0,PHI,Mathias Lessort,,2017
51.0,DEN,Monte Morris,Iowa State,2017
52.0,NOP,Edmond Sumner,Xavier,2017
53.0,BOS,Kadeem Allen,Arizona,2017
54.0,PHO,Alec Peters,Valparaiso,2017
55.0,UTA,Nigel Williams-Goss,Gonzaga,2017
56.0,BOS,Jabari Bird,California,2017
57.0,BRK,Sasha Vezenkov,,2017
58.0,NYK,Ognjen Jaramaz,,2017
59.0,SAS,Jaron Blossomgame,Clemson,2017
60.0,ATL,Alpha Kaba,,2017
1.0,PHO,Deandre Ayton,Arizona,2018
2.0,SAC,Marvin Bagley III,Duke,2018
3.0,ATL,Luka Dončić,,2018
4.0,MEM,Jaren Jackson Jr.,Michigan State,2018
5.0,DAL,Trae Young,Oklahoma,2018
6.0,ORL,Mo Bamba,Texas,2018
7.0,CHI,Wendell Carter Jr.,Duke,2018
8.0,CLE,Collin Sexton,Alabama,2018
9.0,NYK,Kevin Knox,Kentucky,2018
10.0,PHI,Mikal Bridges,Villanova,2018
11.0,CHO,Shai Gilgeous-Alexander,Kentucky,2018
12.0,LAC,Miles Bridges,Michigan State,2018
13.0,LAC,Jerome Robinson,Boston College,2018
14.0,DEN,Michael Porter Jr.,Missouri,2018
15.0,WAS,Troy Brown Jr.,Oregon,2018
16.0,PHO,Zhaire Smith,Texas Tech,2018
17.0,MIL,Donte DiVincenzo,Villanova,2018
18.0,SAS,Lonnie Walker IV,Miami (FL),2018
19.0,ATL,Kevin Huerter,Maryland,2018
20.0,MIN,Josh Okogie,Georgia Tech,2018
21.0,UTA,Grayson Allen,Duke,2018
22.0,CHI,Chandler Hutchison,Boise State,2018
23.0,IND,Aaron Holiday,UCLA,2018
24.0,POR,Anfernee Simons,,2018
25.0,LAL,Moritz Wagner,Michigan,2018
26.0,PHI,Landry Shamet,Wichita State,2018
27.0,BOS,Robert Williams,Texas A&M,2018
28.0,GSW,Jacob Evans,Cincinnati,2018
29.0,BRK,Džanan Musa,,2018
30.0,ATL,Omari Spellman,Villanova,2018
31.0,PHO,Elie Okobo,,2018
32.0,MEM,Jevon Carter,West Virginia,2018
33.0,DAL,Jalen Brunson,Villanova,2018
34.0,ATL,Devonte' Graham,Kansas,2018
35.0,ORL,Melvin Frazier,Tulane,2018
36.0,NYK,Mitchell Robinson,,2018
37.0,SAC,Gary Trent Jr.,Duke,2018
38.0,PHI,Khyri Thomas,Creighton,2018
39.0,PHI,Isaac Bonga,,2018
40.0,BRK,Rodions Kurucs,,2018
41.0,ORL,Jarred Vanderbilt,Kentucky,2018
42.0,DET,Bruce Brown,Miami (FL),2018
43.0,DEN,Justin Jackson,Maryland,2018
44.0,WAS,Issuf Sanon,,2018
45.0,BRK,Hamidou Diallo,Kentucky,2018
46.0,HOU,De'Anthony Melton,USC,2018
47.0,LAL,Svi Mykhailiuk,Kansas,2018
48.0,MIN,Keita Bates-Diop,Ohio State,2018
49.0,SAS,Chimezie Metu,USC,2018
50.0,IND,Alize Johnson,Missouri State,2018
51.0,NOP,Tony Carr,Penn State,2018
52.0,UTA,Vince Edwards,Purdue,2018
53.0,OKC,Devon Hall,Virginia,2018
54.0,DAL,Shake Milton,SMU,2018
55.0,CHO,Arnoldas Kulboka,,2018
56.0,PHI,Ray Spalding,Louisville,2018
57.0,OKC,Kevin Hervey,UT Arlington,2018
58.0,DEN,Thomas Welsh,UCLA,2018
59.0,PHO,George King,Colorado,2018
60.0,PHI,Kostas Antetokounmpo,Dayton,2018
1.0,NOP,Zion Williamson,Duke,2019
2.0,MEM,Ja Morant,Murray State,2019
3.0,NYK,RJ Barrett,Duke,2019
4.0,LAL,De'Andre Hunter,Virginia,2019
5.0,CLE,Darius Garland,Vanderbilt,2019
6.0,PHO,Jarrett Culver,Texas Tech,2019
7.0,CHI,Coby White,UNC,2019
8.0,ATL,Jaxson Hayes,Texas,2019
9.0,WAS,Rui Hachimura,Gonzaga,2019
10.0,ATL,Cam Reddish,Duke,2019
11.0,MIN,Cameron Johnson,UNC,2019
12.0,CHO,P.J. Washington,Kentucky,2019
13.0,MIA,Tyler Herro,Kentucky,2019
14.0,BOS,Romeo Langford,Indiana,2019
15.0,DET,Sekou Doumbouya,,2019
16.0,ORL,Chuma Okeke,Auburn,2019
17.0,BRK,Nickeil Alexander-Walker,Virginia Tech,2019
18.0,IND,Goga Bitadze,,2019
19.0,SAS,Luka Šamanić,,2019
20.0,BOS,Matisse Thybulle,Washington,2019
21.0,OKC,Brandon Clarke,Gonzaga,2019
22.0,BOS,Grant Williams,Tennessee,2019
23.0,UTA,Darius Bazley,,2019
24.0,PHI,Ty Jerome,Virginia,2019
25.0,POR,Nassir Little,UNC,2019
26.0,CLE,Dylan Windler,Belmont,2019
27.0,BRK,Mfiondu Kabengele,Florida State,2019
28.0,GSW,Jordan Poole,Michigan,2019
29.0,SAS,Keldon Johnson,Kentucky,2019
30.0,MIL,Kevin Porter Jr.,USC,2019
31.0,BRK,Nic Claxton,Georgia,2019
