Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
69,Deandre Ayton,27,LAL,C,13,13,395,17.6,.693,.000,.147,11.7,20.5,16.3,5.0,1.1,3.0,18.7,20.4,0.4,0.5,0.9,.106,-1.3,-1.2,-2.5,0.0,,aytonde01
70,Jalen Johnson,24,ATL,SF,12,12,395,23.5,.662,.198,.331,4.3,26.6,15.8,30.5,2.5,0.7,15.4,24.9,0.9,0.8,1.7,.205,3.6,2.1,5.7,0.8,,johnsja05
71,Draymond Green,35,GSW,PF,14,14,394,7.7,.489,.578,.167,3.6,19.9,11.6,28.3,1.3,2.3,29.1,16.6,-0.5,0.5,0.1,.009,-4.2,1.3,-2.9,-0.1,,greendr01
72,Paolo Banchero,23,ORL,PF,12,12,393,19.1,.573,.247,.624,3.2,25.6,14.7,20.4,1.1,2.4,12.4,27.8,0.5,0.6,1.1,.132,1.4,1.0,2.4,0.4,,banchpa01
73,Jaime Jaquez Jr.,24,MIA,SF,13,0,392,18.5,.589,.148,.320,4.8,19.2,12.4,24.5,1.0,0.9,10.2,22.4,0.7,0.4,1.2,.144,1.5,0.8,2.2,0.4,,jaqueja01
74,Michael Porter Jr.,27,BRK,SF,12,12,390,19.8,.598,.486,.248,3.5,25.7,13.8,19.5,1.0,0.5,10.4,29.4,0.5,0.1,0.6,.076,3.9,-1.8,2.1,0.4,,portemi01
75,Harrison Barnes,33,SAS,PF,13,13,386,13.5,.740,.688,.240,2.5,8.0,5.4,9.3,1.8,1.0,15.2,13.7,0.7,0.4,1.2,.144,0.9,0.4,1.2,0.3,,barneha02
76,Gary Trent Jr.,27,MIL,SG,14,12,384,9.3,.538,.699,.146,0.3,6.0,3.2,10.0,1.9,0.2,6.4,15.8,0.1,0.2,0.3,.039,-2.8,-1.1,-3.9,-0.2,,trentga02
77,CJ McCollum,34,WAS,SG,13,13,384,12.9,.532,.500,.244,2.4,8.8,5.6,16.8,1.2,0.7,8.7,23.6,0.1,-0.1,0.0,.004,-0.6,-3.1,-3.7,-0.2,,mccolcj01
78,A.J. Green,26,MIL,SG,14,14,382,10.8,.723,.927,.198,0.3,9.5,5.0,8.0,0.6,0.2,9.5,13.1,0.7,0.1,0.8,.098,-0.6,-1.7,-2.3,0.0,,greenaj01
79,Nic Claxton,26,BRK,C,13,13,382,22.0,.648,.049,.537,10.3,17.5,13.6,22.5,1.4,4.3,10.1,18.8,1.2,0.1,1.4,.171,2.9,0.6,3.5,0.5,,claxtni01
80,Nikola Vučević,35,CHI,C,12,12,380,17.5,.600,.344,.162,7.4,25.6,17.0,16.2,1.0,1.3,11.3,20.4,0.5,0.4,0.9,.117,1.5,-0.3,1.2,0.3,,vucevni01
81,Jarace Walker,22,IND,PF,13,8,379,5.5,.408,.476,.231,2.2,18.1,9.5,16.3,0.9,1.7,15.2,20.4,-0.9,0.2,-0.7,-0.086,-5.4,-1.7,-7.1,-0.5,,walkeja02
82,Cason Wallace,22,OKC,SG,13,13,378,11.8,.550,.573,.115,3.3,8.2,5.9,12.3,3.8,1.1,12.2,13.1,0.2,0.9,1.1,.144,-2.5,3.6,1.1,0.3,,wallaca01
83,Alex Sarr,20,WAS,C,13,13,377,21.1,.578,.212,.201,8.5,20.4,14.5,21.1,1.1,6.4,13.1,26.1,0.3,0.2,0.5,.068,2.2,-0.2,2.1,0.4,,sarral01
84,Cedric Coward,22,MEM,SG,14,1,374,17.9,.628,.463,.373,6.4,17.9,12.0,17.9,1.5,1.5,9.8,19.1,0.8,0.4,1.1,.147,2.4,0.5,2.9,0.5,,cowarce01
85,Jamal Murray,28,DEN,PG,11,11,374,19.6,.574,.380,.234,2.2,13.6,8.3,26.8,1.9,0.8,10.9,26.9,0.7,0.6,1.3,.161,2.6,-0.2,2.4,0.4,,murraja01
86,OG Anunoby,28,NYK,PF,12,12,373,16.3,.601,.537,.170,5.2,15.1,9.8,9.8,3.0,2.3,12.2,19.7,0.4,0.5,0.9,.121,1.1,1.1,2.2,0.4,,anunoog01
87,Jalen Brunson,29,NYK,PG,11,11,373,21.4,.590,.367,.319,1.4,10.7,5.7,31.7,1.2,0.0,10.3,31.9,1.0,0.2,1.3,.164,4.4,-1.2,3.2,0.5,,brunsja01
88,Kyshawn George,22,WAS,SF,12,12,372,14.7,.631,.473,.233,2.0,18.2,10.1,22.6,1.4,2.5,19.5,22.3,0.1,0.1,0.3,.033,-0.2,-0.7,-0.9,0.1,,georgky01
89,Naji Marshall,28,DAL,SF,14,1,371,14.7,.601,.352,.546,3.4,15.8,9.7,13.7,2.3,0.0,8.8,16.6,0.6,0.6,1.1,.144,-1.4,1.4,0.0,0.2,,marshna01
90,Quentin Grimes,25,PHI,SG,12,0,371,14.5,.628,.548,.393,1.5,12.8,7.1,20.5,1.4,1.5,19.4,22.0,0.3,0.3,0.7,.085,0.2,-0.4,-0.2,0.2,,grimequ01
91,Luka Dončić,26,LAL,PG,10,10,371,29.2,.615,.487,.540,3.0,24.3,14.2,41.5,2.2,1.6,11.7,36.7,1.3,0.5,1.9,.240,8.7,1.6,10.3,1.2,,doncilu01
92,Anthony Black,22,ORL,PG,14,3,370,10.6,.555,.398,.309,2.2,10.2,6.3,13.8,2.1,2.3,17.7,19.4,-0.2,0.5,0.3,.041,-3.1,0.9,-2.2,0.0,,blackan01
93,Shaedon Sharpe,22,POR,SG,13,13,370,16.6,.535,.382,.290,5.3,15.5,10.1,11.7,2.4,0.7,12.1,32.7,-0.1,0.3,0.3,.033,0.3,-1.7,-1.4,0.1,,sharpsh01
94,Stephen Curry,37,GSW,PG,12,12,367,23.0,.633,.590,.330,0.9,12.9,6.8,22.6,2.2,1.3,11.0,33.7,0.8,0.5,1.2,.162,5.5,-0.2,5.3,0.7,,curryst01
95,Nickeil Alexander-Walker,27,ATL,SG,12,9,365,14.4,.574,.441,.360,2.5,7.5,5.1,16.6,1.7,2.8,14.3,25.1,0.1,0.4,0.5,.061,-0.3,-0.8,-1.1,0.1,,alexani01
96,Domantas Sabonis,29,SAC,C,11,11,365,17.3,.564,.138,.352,11.0,31.3,20.8,17.0,1.7,0.5,14.3,22.6,0.3,0.3,0.5,.069,-0.3,-0.7,-1.1,0.1,,sabondo01
97,Jabari Smith Jr.,22,HOU,PF,11,11,363,13.6,.571,.457,.178,4.2,17.0,10.8,6.6,1.2,2.4,7.3,17.0,0.6,0.4,1.0,.136,-0.1,-0.4,-0.6,0.1,,smithja05
98,Jerami Grant,31,POR,PF,13,1,362,17.3,.633,.444,.556,3.1,9.1,5.9,12.1,1.5,1.2,10.0,22.8,0.9,0.2,1.1,.148,2.0,-0.7,1.3,0.3,,grantje01
99,Jonathan Kuminga,23,GSW,PF,13,12,360,12.8,.570,.272,.353,6.4,20.8,13.5,16.2,0.7,1.0,18.2,22.6,0.0,0.4,0.4,.049,-2.5,-1.4,-3.9,-0.2,,kuminjo01
100,Santi Aldama,25,MEM,PF,14,0,358,15.6,.541,.430,.221,6.4,22.3,14.2,16.1,2.0,2.1,9.9,21.0,0.1,0.4,0.5,.069,0.4,0.6,1.0,0.3,,aldamsa01
101,Saddiq Bey,26,NOP,SF,13,7,358,14.5,.556,.526,.203,6.5,13.2,9.6,11.3,1.4,0.0,5.8,18.1,0.5,0.0,0.5,.066,1.6,-2.5,-0.9,0.1,,beysa01
102,Julian Champagnie,24,SAS,SF,13,8,357,11.0,.595,.766,.309,3.4,15.4,9.7,5.8,2.0,1.1,13.7,14.7,0.2,0.5,0.7,.094,-1.0,0.3,-0.7,0.1,,champju02
103,Jaylen Wells,22,MEM,SG,14,14,354,7.2,.464,.552,.157,5.0,10.0,7.5,9.0,1.1,0.0,7.7,18.1,-0.3,0.2,-0.1,-0.018,-4.2,-1.9,-6.2,-0.4,,wellsja01
104,Svi Mykhailiuk,28,UTA,SF,13,13,353,10.4,.611,.714,.061,3.0,7.1,5.0,11.0,0.9,0.8,8.2,12.6,0.4,0.1,0.5,.065,-0.6,-1.0,-1.6,0.0,,mykhasv01
105,Terance Mann,29,BRK,SG,13,13,352,12.6,.585,.396,.208,6.0,7.0,6.5,17.8,1.5,0.8,9.1,14.6,0.6,0.0,0.6,.076,-1.1,-1.1,-2.2,0.0,,mannte01
106,Bub Carrington,20,WAS,PG,13,5,349,5.1,.455,.459,.165,0.9,14.4,7.7,21.2,1.2,0.5,26.0,14.6,-0.6,0.0,-0.6,-0.079,-5.7,-2.1,-7.8,-0.5,,carrica01
107,Sion James,23,CHO,SG,13,8,349,9.9,.660,.569,.264,1.7,10.9,6.4,7.3,1.4,1.0,13.0,11.0,0.4,0.1,0.5,.070,-2.0,-0.3,-2.3,0.0,,jamessi01
108,Matas Buzelis,21,CHI,PF,12,12,349,13.4,.605,.404,.243,4.5,16.0,10.5,5.7,1.3,3.1,13.8,20.9,0.1,0.3,0.4,.060,-2.1,-0.8,-2.9,-0.1,,buzelma01
109,Josh Giddey,23,CHI,PG,10,10,349,20.7,.558,.271,.353,4.5,24.7,15.1,41.9,1.5,1.2,15.9,27.9,0.5,0.4,0.9,.119,3.0,0.6,3.6,0.5,,giddejo01
110,Ja Morant,26,MEM,PG,12,12,345,12.6,.477,.308,.354,1.8,11.2,6.4,44.2,1.6,0.3,16.6,32.4,-0.6,0.2,-0.3,-0.043,-2.6,-2.6,-5.2,-0.3,,moranja01
111,Neemias Queta,26,BOS,C,14,14,344,18.9,.620,.032,.290,13.3,22.5,17.8,9.8,1.6,5.6,11.0,14.5,0.8,0.6,1.4,.189,-0.4,1.3,1.0,0.3,,quetane01
112,Jeremiah Fears,19,NOP,PG,13,11,344,13.5,.521,.257,.210,3.2,10.2,6.4,18.8,3.4,0.3,15.3,26.4,-0.3,0.1,-0.2,-0.023,-2.7,-1.0,-3.7,-0.2,,fearsje01
113,Jock Landale,30,MEM,C,14,13,342,14.1,.636,.340,.223,9.4,14.2,11.8,11.0,1.2,1.7,12.4,15.6,0.5,0.3,0.7,.104,-0.4,-0.2,-0.6,0.1,,landajo01
114,Anfernee Simons,26,BOS,SG,14,0,342,12.5,.547,.589,.123,1.5,7.7,4.5,14.0,0.9,0.9,9.0,23.4,0.3,0.2,0.5,.071,0.0,-1.4,-1.4,0.1,,simonan01
115,Kyle Kuzma,30,MIL,PF,13,4,338,14.8,.598,.333,.318,2.7,16.0,9.4,9.1,1.4,2.2,10.4,21.0,0.3,0.3,0.6,.082,-1.9,-1.1,-3.0,-0.1,,kuzmaky01
116,Collin Gillespie,26,PHO,PG,14,0,337,15.5,.537,.680,.139,5.1,14.4,9.8,28.5,2.0,1.7,13.4,18.5,0.5,0.4,0.9,.129,2.1,0.0,2.1,0.3,,gilleco01
117,Aaron Nesmith,26,IND,SF,11,11,335,12.1,.518,.565,.265,4.8,10.8,7.5,8.2,1.3,0.8,4.6,20.8,0.2,0.2,0.4,.051,-0.4,-1.9,-2.3,0.0,,nesmiaa01
118,Ryan Dunn,23,PHO,SF,14,9,334,13.9,.562,.431,.127,9.9,14.2,12.1,10.2,2.2,2.8,11.5,15.2,0.4,0.4,0.8,.114,-0.7,0.2,-0.5,0.1,,dunnry01
119,Kris Dunn,31,LAC,PG,13,7,333,9.8,.567,.413,.240,4.0,7.5,5.8,12.3,3.0,1.2,18.6,13.6,0.0,0.2,0.2,.035,-4.0,0.5,-3.5,-0.1,,dunnkr01
120,Aaron Gordon,30,DEN,PF,11,11,333,20.5,.690,.422,.400,5.0,15.9,10.8,7.2,1.5,0.8,9.7,22.4,1.0,0.5,1.5,.211,4.0,-0.6,3.4,0.4,,gordoaa01
121,Tre Jones,26,CHI,PG,11,11,329,17.4,.609,.175,.536,3.1,10.8,7.1,24.6,3.3,0.5,13.1,17.5,0.7,0.4,1.0,.153,-0.3,1.8,1.5,0.3,,jonestr01
122,John Collins,28,LAC,PF,13,4,328,12.8,.589,.298,.215,6.6,14.4,10.6,4.4,1.8,2.1,16.4,21.4,-0.1,0.2,0.1,.015,-2.7,-1.8,-4.5,-0.2,,collijo01
123,Kentavious Caldwell-Pope,32,MEM,SG,14,13,327,9.2,.490,.465,.277,1.6,10.2,5.8,19.1,1.6,1.2,12.4,16.4,-0.1,0.2,0.1,.018,-3.4,-0.2,-3.6,-0.1,,caldwke01
124,Tre Johnson,19,WAS,SG,13,4,327,9.1,.539,.508,.106,2.2,11.0,6.6,8.1,0.6,1.6,12.6,20.1,-0.2,-0.1,-0.3,-0.047,-2.5,-3.4,-6.0,-0.3,,johnstr03
125,Donovan Clingan,21,POR,C,13,13,326,17.1,.558,.417,.167,18.4,21.2,19.7,6.2,1.3,4.9,8.0,13.6,0.7,0.3,1.0,.149,0.4,-1.1,-0.7,0.1,,clingdo01
126,Noah Clowney,21,BRK,PF,13,7,326,8.7,.524,.755,.449,3.2,15.6,8.9,10.3,1.2,1.4,15.2,18.0,-0.2,0.0,-0.1,-0.019,-2.9,-2.0,-4.9,-0.2,,clownno01
127,Ben Sheppard,24,IND,SG,13,5,326,5.2,.410,.551,.133,3.2,16.6,9.3,9.4,0.9,0.6,8.0,14.0,-0.3,0.2,-0.2,-0.025,-5.9,-1.2,-7.1,-0.4,,sheppbe01
128,Christian Braun,24,DEN,SG,11,11,325,12.7,.569,.289,.299,6.6,9.6,8.2,13.1,1.3,0.9,11.3,16.1,0.4,0.4,0.8,.122,-1.2,-0.5,-1.6,0.0,,braunch01
129,Tristan Da Silva,24,ORL,SF,14,2,324,15.9,.629,.580,.202,4.6,13.7,9.3,6.7,1.9,0.8,8.5,18.4,0.5,0.4,0.9,.136,2.2,0.5,2.7,0.4,,dasiltr01
130,Derrick Jones Jr.,28,LAC,SF,13,13,324,14.8,.652,.500,.304,4.1,7.0,5.6,6.5,1.7,4.6,8.7,15.6,0.5,0.1,0.7,.103,0.5,-0.4,0.2,0.2,,jonesde02
131,Marcus Smart,31,LAL,SG,11,9,321,10.3,.554,.598,.368,2.3,7.0,4.8,15.3,3.6,0.6,20.5,17.0,-0.1,0.4,0.3,.049,-3.7,1.1,-2.6,-0.1,,smartma01
132,De'Andre Hunter,28,CLE,SF,11,11,320,15.2,.564,.487,.318,2.2,16.1,8.8,16.0,1.2,0.9,9.3,24.4,0.4,0.3,0.7,.102,0.4,-0.5,-0.1,0.2,,huntede01
133,Kevin Huerter,27,CHI,SF,12,3,319,15.5,.597,.441,.228,3.2,13.3,8.5,15.9,1.8,3.1,12.5,20.9,0.3,0.3,0.6,.092,0.1,0.4,0.6,0.2,,huertke01
134,Jalen Duren,22,DET,C,11,11,319,26.4,.705,.000,.613,16.5,27.2,21.9,8.7,1.8,4.0,15.2,22.7,1.1,0.7,1.7,.262,3.4,0.6,4.0,0.5,,durenja01
135,Ryan Kalkbrenner,24,CHO,C,12,12,318,19.3,.830,.015,.258,15.1,14.5,14.8,2.3,1.8,7.5,21.4,12.2,0.7,0.4,1.0,.154,0.3,0.9,1.2,0.3,,kalkbry01
136,Naz Reid,26,MIN,C,13,0,316,14.2,.542,.531,.146,5.9,19.2,12.8,11.9,2.0,3.5,11.5,21.0,0.1,0.4,0.5,.080,-1.0,0.5,-0.5,0.1,,reidna01
137,Moses Moody,23,GSW,SG,13,5,315,15.4,.640,.717,.258,2.1,11.0,6.4,9.3,1.8,3.2,10.1,20.0,0.4,0.4,0.8,.124,1.5,-0.1,1.4,0.3,,moodymo01
138,Jusuf Nurkić,31,UTA,C,13,8,314,11.5,.433,.255,.351,9.7,32.8,21.1,21.0,3.5,1.9,24.4,18.5,-0.5,0.5,0.0,.000,-4.8,2.1,-2.8,-0.1,,nurkiju01
139,Collin Sexton,27,CHO,SG,12,9,314,15.0,.622,.352,.432,1.1,8.9,5.1,29.2,1.4,0.0,19.5,24.5,0.4,0.1,0.5,.074,-0.4,-2.2,-2.6,-0.1,,sextoco01
140,Norman Powell,32,MIA,SG,10,10,313,21.1,.665,.445,.445,1.1,11.7,6.7,11.2,1.7,0.6,10.1,28.5,0.8,0.3,1.0,.161,4.3,-0.3,3.9,0.5,,powelno01
141,Kel'el Ware,21,MIA,C,13,10,312,18.2,.610,.333,.229,11.9,26.6,19.7,3.8,1.9,5.3,10.1,16.8,0.4,0.6,1.0,.157,0.5,0.5,1.0,0.2,,wareke01
142,Jarrett Allen,27,CLE,C,12,12,311,21.8,.634,.033,.496,9.5,23.5,16.1,10.4,2.1,3.3,11.4,21.6,0.7,0.5,1.2,.184,1.5,0.7,2.2,0.3,,allenja01
143,Isaac Okoro,25,CHI,SG,12,12,310,8.7,.572,.468,.215,5.4,6.9,6.2,9.6,0.9,2.4,14.8,13.7,0.2,0.2,0.3,.049,-3.0,-0.9,-3.9,-0.1,,okorois01
144,Ron Holland,20,DET,SF,13,4,309,9.4,.485,.395,.193,4.1,13.0,8.5,10.4,3.5,0.9,16.3,19.5,-0.3,0.6,0.2,.038,-5.2,1.5,-3.7,-0.1,,hollaro01
145,D'Angelo Russell,29,DAL,PG,14,3,308,12.5,.486,.461,.355,2.1,11.4,6.8,36.2,1.2,0.5,15.0,28.1,-0.4,0.3,0.0,-0.002,-1.5,-1.7,-3.2,-0.1,,russeda01
146,Mark Williams,24,PHO,C,12,9,305,20.0,.657,.000,.420,12.7,24.9,18.8,5.1,2.4,3.4,8.8,15.7,0.8,0.5,1.3,.206,0.4,0.0,0.4,0.2,,willima07
147,Sam Hauser,28,BOS,PF,14,2,301,7.6,.465,.885,.042,3.5,12.8,8.0,7.7,1.2,1.3,9.3,15.2,-0.1,0.3,0.2,.031,-2.2,-0.9,-3.0,-0.1,,hausesa01
148,Keldon Johnson,26,SAS,SF,13,0,301,18.4,.624,.269,.250,12.5,17.9,15.3,10.6,1.6,0.3,7.2,17.5,0.8,0.4,1.2,.194,1.6,-0.1,1.5,0.3,,johnske04
149,Moussa Diabaté,24,CHO,C,13,1,300,22.4,.698,.000,.680,20.7,19.1,19.9,6.4,1.4,5.0,9.3,14.9,1.1,0.3,1.4,.219,2.1,-0.6,1.5,0.3,,diabamo01
150,Zaccharie Risacher,20,ATL,SF,12,12,297,14.0,.568,.453,.148,2.6,8.9,5.8,8.9,2.2,2.2,6.8,20.8,0.1,0.4,0.5,.081,-1.2,-0.3,-1.5,0.0,,risacza01
151,Chet Holmgren,23,OKC,PF,10,10,296,21.8,.696,.347,.398,5.7,23.5,15.0,9.3,1.1,4.5,13.2,23.3,0.7,0.7,1.5,.242,2.7,2.3,5.0,0.5,,holmgch01
152,Tre Mann,24,CHO,PG,13,1,295,8.2,.458,.490,.090,4.0,12.5,8.4,21.8,1.3,0.6,15.2,25.1,-0.4,0.1,-0.3,-0.051,-3.9,-2.3,-6.2,-0.3,,manntr01
153,Javonte Green,32,DET,SG,13,3,294,10.2,.497,.525,.388,4.7,13.3,9.0,7.3,2.1,2.3,9.6,14.4,0.1,0.5,0.5,.085,-2.6,0.8,-1.8,0.0,,greenja02
154,Ausar Thompson,23,DET,SF,10,10,291,16.7,.526,.113,.339,7.3,16.7,12.0,16.9,2.9,2.4,9.6,20.5,0.2,0.6,0.8,.128,-0.3,2.2,1.9,0.3,,thompau01
155,Derik Queen,21,NOP,C,13,1,290,15.4,.549,.095,.410,7.3,24.3,15.1,18.8,2.0,3.3,17.3,21.8,0.0,0.2,0.2,.038,-2.6,0.3,-2.3,0.0,,queende01
156,Bobby Portis,30,MIL,PF,14,0,286,12.4,.560,.376,.068,6.8,23.1,15.1,8.3,0.7,0.3,13.0,21.0,0.0,0.2,0.2,.033,-1.8,-2.6,-4.4,-0.2,,portibo01
157,Nikola Jović,22,MIA,PF,13,1,284,10.8,.534,.495,.368,3.9,17.0,10.8,18.1,1.4,2.0,18.5,19.5,-0.1,0.3,0.2,.038,-2.9,0.8,-2.1,0.0,,jovicni01
158,Dean Wade,29,CLE,PF,13,2,284,9.0,.512,.738,.185,4.3,12.9,8.4,7.6,1.5,2.3,5.4,10.6,0.2,0.3,0.5,.086,-2.2,0.7,-1.5,0.0,,wadede01
159,Jaylon Tyson,23,CLE,SG,11,7,284,14.1,.637,.578,.144,5.4,11.7,8.4,9.8,2.3,2.9,10.3,15.2,0.4,0.4,0.8,.138,0.1,1.4,1.5,0.3,,tysonja01
160,Sam Merrill,29,CLE,SG,11,7,283,13.8,.650,.849,.151,2.9,4.8,3.8,13.4,1.0,0.7,7.4,17.4,0.7,0.2,0.8,.140,1.8,-0.9,0.8,0.2,,merrisa01
161,Klay Thompson,35,DAL,SF,13,7,281,8.0,.471,.746,.046,1.1,12.1,6.7,13.7,0.5,1.5,10.2,22.0,-0.4,0.3,-0.2,-0.026,-2.2,-1.7,-3.9,-0.1,,thompkl01
162,Tim Hardaway Jr.,33,DEN,SG,12,1,280,15.5,.680,.684,.184,1.3,7.4,4.6,9.0,0.9,0.3,2.8,16.5,0.8,0.3,1.1,.185,3.2,-0.8,2.5,0.3,,hardati02
163,Pelle Larsson,24,MIA,SG,13,10,279,13.6,.673,.476,.321,2.0,9.0,5.7,16.3,1.0,0.7,13.5,16.2,0.5,0.2,0.7,.114,-0.2,-0.2,-0.4,0.1,,larsspe01
164,Tyrese Martin,26,BRK,SG,13,2,275,9.5,.470,.588,.093,5.4,12.2,8.5,17.7,1.2,1.0,12.2,17.8,-0.1,0.0,-0.1,-0.025,-2.0,-2.3,-4.4,-0.2,,martity01
165,Reed Sheppard,21,HOU,PG,12,0,275,18.8,.640,.605,.079,1.3,11.4,6.5,19.0,3.4,1.4,11.3,19.9,0.7,0.4,1.1,.197,3.5,2.0,5.5,0.5,,sheppre01
166,Luke Kennard,29,ATL,SG,12,0,274,11.0,.643,.583,.181,3.3,7.3,5.3,10.1,2.1,0.3,16.2,14.3,0.2,0.3,0.5,.083,-1.6,-0.3,-1.9,0.0,,kennalu01
167,Kris Murray,25,POR,SF,12,0,273,8.9,.546,.339,.107,5.7,9.9,7.6,6.1,2.2,0.6,10.7,9.5,0.2,0.2,0.3,.060,-2.5,0.5,-2.0,0.0,,murrakr01
168,Anthony Edwards,24,MIN,SG,9,9,273,24.9,.622,.429,.371,3.4,12.8,8.4,20.1,1.7,2.0,10.0,34.2,0.7,0.3,1.0,.173,6.2,-0.5,5.7,0.5,,edwaran01
169,Josh Hart,30,NYK,SF,11,0,272,14.2,.560,.425,.163,6.7,24.2,14.8,22.7,1.6,0.4,18.1,15.8,0.3,0.3,0.6,.110,-0.1,0.8,0.7,0.2,,hartjo01
170,Josh Okogie,27,HOU,SG,12,10,271,14.0,.660,.556,.349,4.7,6.4,5.6,7.0,3.5,0.7,8.8,12.1,0.6,0.3,1.0,.170,-0.1,2.0,1.9,0.3,,okogijo01
171,Bruce Brown,29,DEN,SG,12,0,270,9.5,.536,.309,.221,6.2,15.3,11.1,7.3,1.6,0.7,11.8,13.3,0.1,0.4,0.5,.097,-2.9,0.2,-2.8,-0.1,,brownbr01
172,Cameron Johnson,29,DEN,SF,11,11,269,6.8,.464,.487,.205,3.1,8.5,6.0,9.1,1.1,0.3,6.6,14.3,0.0,0.3,0.3,.055,-4.2,-0.9,-5.1,-0.2,,johnsca02
173,Patrick Williams,24,CHI,PF,12,0,267,11.1,.592,.608,.243,3.4,10.3,7.0,8.8,2.5,1.6,14.6,15.0,0.1,0.3,0.3,.059,-1.5,0.4,-1.1,0.1,,willipa01
174,Malik Monk,27,SAC,SG,11,0,267,14.1,.586,.439,.175,1.2,6.1,3.6,12.9,1.8,1.7,8.2,21.1,0.2,0.0,0.2,.043,0.4,-1.2,-0.8,0.1,,monkma01
175,Mike Conley,38,MIN,PG,13,4,266,11.9,.637,.667,.263,2.2,8.4,5.4,21.4,1.4,1.0,17.0,12.2,0.5,0.2,0.7,.121,-0.1,0.2,0.1,0.1,,conlemi01
176,Peyton Watson,23,DEN,SF,12,2,266,11.2,.520,.281,.391,6.3,11.7,9.2,7.3,2.5,4.6,13.8,13.9,0.0,0.5,0.5,.098,-2.4,1.9,-0.5,0.1,,watsope01
177,Keon Ellis,26,SAC,SG,14,2,263,11.6,.623,.720,.133,1.6,7.5,4.5,4.7,3.6,1.4,7.0,13.7,0.2,0.2,0.4,.067,-1.5,1.7,0.2,0.1,,elliske01
178,Josh Minott,23,BOS,PF,13,9,263,16.0,.581,.513,.224,9.9,18.5,14.1,9.7,2.7,1.9,9.7,14.9,0.5,0.4,0.9,.164,-0.2,1.4,1.1,0.2,,minotjo01
179,Cam Spencer,25,MEM,SG,14,1,262,14.6,.626,.698,.302,0.8,10.7,5.7,24.2,1.8,0.4,11.0,17.3,0.4,0.2,0.6,.116,0.8,0.3,1.1,0.2,,spencca01
180,Ace Bailey,19,UTA,SF,13,4,261,9.9,.512,.404,.172,10.5,8.7,9.6,11.5,1.5,0.8,14.5,19.3,0.0,0.1,0.1,.012,-3.3,-2.3,-5.5,-0.2,,baileac01
181,Kyle Filipowski,22,UTA,C,13,5,258,11.8,.517,.412,.341,8.2,22.3,15.1,16.9,0.9,2.7,14.1,17.9,0.1,0.2,0.3,.054,-2.9,-0.2,-3.1,-0.1,,filipky01
182,Jarred Vanderbilt,26,LAL,PF,14,2,257,10.6,.548,.280,.380,9.2,25.8,18.0,10.5,2.6,1.9,27.4,13.5,-0.1,0.4,0.3,.060,-3.4,1.2,-2.1,0.0,,vandeja01
183,Tari Eason,24,HOU,PF,11,1,255,16.1,.642,.558,.074,7.3,17.4,12.5,9.7,1.7,1.9,16.2,18.9,0.4,0.3,0.7,.137,2.2,-0.6,1.5,0.2,,easonta01
184,Ayo Dosunmu,26,CHI,SG,10,0,254,17.3,.662,.398,.262,1.3,8.4,5.0,18.7,1.3,0.3,10.2,21.0,0.6,0.1,0.7,.136,1.8,-1.0,0.8,0.2,,dosunay01
185,Cole Anthony,25,MIL,PG,13,0,253,12.9,.485,.319,.129,3.6,16.1,10.0,36.2,1.9,1.8,18.0,25.6,-0.2,0.2,0.1,.012,-2.7,-0.5,-3.2,-0.1,,anthoco01
186,Lonzo Ball,28,CLE,PG,11,2,253,10.4,.511,.815,.123,5.6,13.6,9.4,29.7,2.0,0.7,27.5,15.1,0.0,0.3,0.3,.053,-1.5,0.3,-1.2,0.0,,balllo01
187,Buddy Hield,33,GSW,SG,15,0,252,10.7,.561,.644,.149,2.2,8.7,5.4,14.3,2.5,0.0,13.9,18.1,0.0,0.3,0.3,.059,-3.2,-0.2,-3.4,-0.1,,hieldbu01
188,Ziaire Williams,24,BRK,SF,11,0,251,10.7,.564,.744,.302,3.4,9.9,6.4,3.0,1.9,1.8,8.5,18.0,0.1,0.0,0.1,.026,-2.3,-1.7,-4.1,-0.1,,willizi02
189,Landry Shamet,28,NYK,SG,12,3,249,14.2,.690,.737,.329,2.4,8.5,5.3,5.9,1.0,0.4,6.5,15.3,0.6,0.1,0.8,.147,1.6,-1.0,0.5,0.2,,shamela01
190,Khris Middleton,34,WAS,SF,10,10,248,10.9,.560,.350,.238,5.4,10.7,8.1,13.9,1.7,0.7,15.3,17.5,0.0,0.0,0.0,.007,-3.5,-2.0,-5.4,-0.2,,middlkh01
191,Aaron Wiggins,27,OKC,SG,9,5,248,15.0,.578,.541,.081,4.1,10.1,7.2,11.9,0.8,2.9,7.3,21.6,0.3,0.5,0.7,.141,1.4,-0.6,0.8,0.2,,wiggiaa01
192,Corey Kispert,26,WAS,SF,13,0,247,12.3,.647,.653,.264,1.7,10.8,6.3,12.0,0.6,0.7,10.1,15.0,0.4,-0.1,0.3,.053,-0.1,-2.5,-2.6,0.0,,kispeco01
193,Jaylin Williams,23,OKC,PF,13,1,247,10.9,.472,.887,.099,3.7,22.7,13.6,16.0,1.6,3.3,11.9,14.7,0.0,0.6,0.6,.116,-1.8,2.1,0.3,0.1,,willija07
