Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
455,Danny Wolf,21,BRK,PF,2,0,6,21.0,.532,.000,2.000,0.0,41.3,19.0,42.2,0.0,0.0,0.0,13.3,0.0,0.0,0.0,.218,5.5,4.2,9.6,0.0,,wolfda01
456,Hunter Dickinson,25,NOP,C,1,0,5,-11.4,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,21.2,50.0,33.7,-0.1,0.0,-0.1,-0.547,-27.2,0.2,-27.0,0.0,,dickihu01
457,Adou Thiero,21,LAL,SF,1,0,5,37.0,1.064,.000,2.000,25.0,0.0,11.8,0.0,0.0,0.0,0.0,16.2,0.1,0.0,0.1,.518,15.5,0.0,15.5,0.0,,thierad01
458,Sharife Cooper,24,WAS,PG,2,0,4,-11.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.4,0.0,0.0,0.0,-0.378,-14.2,-7.6,-21.8,0.0,,coopesh01
459,DaRon Holmes,23,DEN,PF,2,0,4,24.6,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,.217,10.5,1.3,11.8,0.0,,holmeda01
460,Koby Brea,23,PHO,SG,1,0,4,35.3,.694,.500,1.000,0.0,0.0,0.0,39.8,0.0,0.0,0.0,30.1,0.0,0.0,0.0,.467,6.7,-2.0,4.7,0.0,,breako01
461,Pete Nance,25,MIL,PF,1,0,4,86.6,1.000,.600,.000,0.0,27.6,14.0,0.0,0.0,0.0,0.0,54.1,0.1,0.0,0.1,1.492,51.1,7.6,58.7,0.1,,nancepe01
462,Myron Gardner,24,MIA,SF,1,0,3,39.1,1.500,1.000,.000,0.0,32.1,17.1,55.3,0.0,0.0,0.0,13.6,0.0,0.0,0.0,.670,16.0,13.6,29.6,0.0,,gardnmy01
463,Kyle Lowry,39,PHI,PG,1,0,3,63.5,1.500,1.000,.000,0.0,0.0,0.0,62.4,16.0,0.0,0.0,13.9,0.0,0.0,0.1,.884,27.2,22.2,49.4,0.0,,lowryky01
464,Miles Kelly,23,DAL,PG,1,0,2,-31.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.9,0.0,0.0,0.0,-0.639,-25.9,-8.8,-34.7,0.0,,kellymi02
465,Orlando Robinson,25,ORL,C,1,0,2,-7.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.021,-17.6,-0.8,-18.4,0.0,,robinor01
466,Jamal Cain,26,ORL,SF,1,0,0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,cainja01
,League Average,,,,,,,,.583,.419,.288,5.3,14.7,10.0,16.3,1.7,1.9,12.6,19.9,,,,,,,,,,-9999
