,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-4.8,-1.3
2,2,ORL,Victor Oladipo,Indiana,10,504,16247,8503,2245,1970,.436,.347,.788,32.2,16.9,4.5,3.9,25.6,.076,0.7,11.0
3,3,WAS,Otto Porter Jr.,Georgetown,11,527,13400,5419,2599,783,.477,.397,.797,25.4,10.3,4.9,1.5,36.7,.132,1.7,12.5
4,4,CHA,Cody Zeller,Indiana,11,552,11510,4376,3125,740,.520,.220,.727,20.9,7.9,5.7,1.3,33.5,.140,-0.7,3.9
5,5,PHO,Alex Len,Maryland,12,690,11754,4608,3624,589,.510,.322,.678,17.0,6.7,5.3,0.9,23.9,.097,-1.9,0.3
6,6,NOH,Nerlens Noel,Kentucky,9,467,10281,3338,2835,501,.546,.200,.655,22.0,7.1,6.1,1.1,28.3,.132,0.9,7.4
7,7,SAC,Ben McLemore,Kansas,9,556,12534,5015,1269,563,.414,.363,.780,22.5,9.0,2.3,1.0,9.0,.035,-3.1,-3.4
8,8,DET,Kentavious Caldwell-Pope,Georgia,13,934,27519,10334,2761,1717,.427,.366,.824,29.5,11.1,3.0,1.8,48.7,.085,-1.0,7.2
9,9,MIN,Trey Burke,Michigan,9,498,10401,4792,878,1522,.410,.345,.810,20.9,9.6,1.8,3.1,12.9,.060,-1.3,1.7
10,10,POR,CJ McCollum,Lehigh,13,807,25857,15773,2932,3073,.452,.397,.798,32.0,19.5,3.6,3.8,52.4,.097,1.1,20.5
11,11,PHI,Michael Carter-Williams,Syracuse,9,395,9942,4040,1718,1708,.402,.256,.705,25.2,10.2,4.3,4.3,6.6,.032,-1.2,1.8
12,12,OKC,Steven Adams,Pitt,12,779,20062,6840,6256,1168,.585,.059,.537,25.8,8.8,8.0,1.5,63.0,.151,0.5,12.9
13,13,DAL,Kelly Olynyk,Gonzaga,13,811,18123,8188,4154,1994,.486,.370,.796,22.3,10.1,5.1,2.5,46.5,.123,0.9,13.0
14,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0
15,15,MIL,Giannis Antetokounmpo,,13,875,28726,21028,8701,4391,.552,.286,.692,32.8,24.0,9.9,5.0,123.6,.207,6.8,64.0
16,16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,2.3,1.9
17,17,ATL,Dennis Schröder,,13,860,23549,11961,2500,4205,.431,.342,.835,27.4,13.9,2.9,4.9,32.7,.067,-1.5,2.8
18,18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.4,-0.6
19,19,CLE,Sergey Karasev,,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.4,-0.4
20,20,CHI,Tony Snell,New Mexico,9,601,13092,3672,1371,669,.431,.394,.846,21.8,6.1,2.3,1.1,18.5,.068,-2.0,-0.1
21,21,UTA,Gorgui Dieng,Louisville,10,628,12625,4591,3534,837,.496,.355,.791,20.1,7.3,5.6,1.3,30.7,.117,0.2,7.1
22,22,BRK,Mason Plumlee,Duke,13,868,18863,6930,5786,2054,.596,.039,.577,21.7,8.0,6.7,2.4,58.0,.148,1.2,15.1
23,23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,.388,.331,.797,21.5,5.5,3.1,1.5,11.9,.059,-2.1,-0.3
24,24,NYK,Tim Hardaway Jr.,Michigan,13,833,22753,11390,2376,1517,.418,.362,.816,27.3,13.7,2.9,1.8,35.1,.074,-1.2,4.7
