,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,6,398,13843,9604,2094,1666,.449,.367,.805,34.8,24.1,5.3,4.2,26.9,.093,1.9,13.5
2,2,GSW,James Wiseman,Memphis,5,149,2819,1354,834,110,.560,.262,.683,18.9,9.1,5.6,0.7,4.3,.073,-4.0,-1.4
3,3,CHO,LaMelo Ball,,6,245,7789,5124,1465,1834,.419,.360,.839,31.8,20.9,6.0,7.5,14.1,.087,2.7,9.3
4,4,CHI,Patrick Williams,Florida State,6,295,7869,2772,1186,430,.448,.392,.763,26.7,9.4,4.0,1.5,8.5,.052,-2.3,-0.7
5,5,CLE,Isaac Okoro,Auburn,6,349,9119,2831,970,560,.466,.353,.731,26.1,8.1,2.8,1.6,16.4,.086,-2.1,-0.2
6,6,ATL,Onyeka Okongwu,USC,6,328,7552,3304,2212,454,.603,.337,.756,23.0,10.1,6.7,1.4,26.6,.169,0.5,4.8
7,7,DET,Killian Hayes,,5,216,5641,1758,637,1121,.383,.281,.777,26.1,8.1,2.9,5.2,-0.2,-.002,-3.8,-2.6
8,8,NYK,Obi Toppin,Dayton,6,365,6320,3116,1251,433,.521,.353,.776,17.3,8.5,3.4,1.2,16.7,.127,1.0,4.8
9,9,WAS,Deni Avdija,,6,380,10398,4586,2385,1137,.463,.342,.760,27.4,12.1,6.3,3.0,17.0,.078,-0.6,3.7
10,10,PHO,Jalen Smith,Maryland,6,289,4675,2470,1537,244,.504,.336,.753,16.2,8.5,5.3,0.8,12.8,.131,-0.1,2.2
11,11,SAS,Devin Vassell,Florida State,6,323,9060,4594,1217,836,.444,.370,.810,28.0,14.2,3.8,2.6,13.2,.070,-0.5,3.3
