,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DAL,Cooper Flagg,Duke,1,21,711,358,139,71,.466,.256,.800,33.9,17.0,6.6,3.4,1.0,.068,-1.1,0.2
2,2,SAS,Dylan Harper,Rutgers University,1,10,212,134,28,34,.505,.333,.758,21.2,13.4,2.8,3.4,0.7,.160,1.4,0.2
3,3,PHI,VJ Edgecombe,Baylor,1,17,606,250,98,71,.409,.360,.737,35.6,14.7,5.8,4.2,0.7,.057,-1.9,0.0
4,4,CHO,Kon Knueppel,Duke,1,21,704,385,120,63,.465,.415,.898,33.5,18.3,5.7,3.0,1.1,.076,-0.3,0.3
5,5,UTA,Ace Bailey,Rutgers University,1,20,443,205,67,35,.462,.358,.842,22.2,10.3,3.4,1.8,0.4,.038,-2.6,-0.1
6,6,WAS,Tre Johnson,Texas,1,15,364,173,45,20,.445,.395,.813,24.3,11.5,3.0,1.3,-0.2,-.030,-4.9,-0.3
7,7,NOP,Jeremiah Fears,Oklahoma,1,22,605,345,72,62,.449,.364,.787,27.5,15.7,3.3,2.8,0.0,.001,-3.0,-0.2
8,8,BRK,Egor Dёmin,BYU,1,18,412,154,64,64,.377,.347,.833,22.9,8.6,3.6,3.6,0.0,.005,-1.9,0.0
9,9,TOR,Collin Murray-Boyles,South Carolina,1,17,307,121,58,20,.535,.409,.667,18.1,7.1,3.4,1.2,0.7,.115,-1.2,0.1
10,10,HOU,Khaman Maluach,Duke,1,10,44,13,6,1,.375,.000,.875,4.4,1.3,0.6,0.1,0.0,-.027,-10.4,-0.1
11,11,POR,Cedric Coward,Washington State,1,22,598,286,128,57,.444,.337,.857,27.2,13.0,5.8,2.6,1.1,.086,-0.6,0.2
12,12,CHI,Noa Essengue,,1,2,6,0,0,0,.000,.000,,3.0,0.0,0.0,0.0,-0.1,-.414,-24.1,0.0
13,13,ATL,Derik Queen,Maryland,1,22,534,271,137,77,.483,.118,.774,24.3,12.3,6.2,3.5,0.5,.049,-1.2,0.1
14,14,SAS,Carter Bryant,Arizona,1,15,112,36,21,1,.317,.292,1.000,7.5,2.4,1.4,0.1,-0.1,-.047,-8.6,-0.2
15,15,OKC,Thomas Sorber,Georgetown,,,,,,,,,,,,,,,,,
16,16,MEM,Yang Hansen,,1,11,76,28,17,7,.286,.071,.875,6.9,2.5,1.5,0.6,-0.2,-.123,-9.6,-0.1
17,17,MIN,Joan Beringer,,1,9,37,18,12,0,.727,,.667,4.1,2.0,1.3,0.0,0.1,.154,-2.8,0.0
18,18,WAS,Walter Clayton,Florida,1,16,254,86,35,54,.382,.275,1.000,15.9,5.4,2.2,3.4,0.1,.021,-3.0,-0.1
19,19,BRK,Nolan Traoré,,1,4,35,7,1,5,.222,.333,.500,8.8,1.8,0.3,1.3,-0.1,-.083,-10.3,-0.1
20,20,MIA,Kasparas Jakucionis,Illinois,1,1,1,0,0,0,.000,,,1.0,0.0,0.0,0.0,0.0,-1.376,-42.8,0.0
21,21,UTA,Will Riley,Illinois,1,14,115,41,23,11,.486,.333,.500,8.2,2.9,1.6,0.8,0.1,.034,-3.1,0.0
22,22,ATL,Drake Powell,UNC,1,14,273,93,26,28,.500,.370,.944,19.5,6.6,1.9,2.0,0.3,.054,-2.8,-0.1
23,23,IND,Asa Newell,Georgia,1,13,97,47,19,3,.471,.444,.778,7.5,3.6,1.5,0.2,0.3,.133,-1.7,0.0
24,24,OKC,Nique Clifford,Colorado State,1,17,268,65,44,28,.367,.321,.667,15.8,3.8,2.6,1.6,0.0,.003,-5.1,-0.2
25,25,ORL,Jase Richardson,Michigan State,1,11,68,31,7,10,.478,.455,.800,6.2,2.8,0.6,0.9,0.2,.109,-1.1,0.0
26,26,BRK,Ben Saraf,,1,9,144,40,16,26,.295,.250,.800,16.0,4.4,1.8,2.9,-0.3,-.094,-8.1,-0.2
27,27,BRK,Danny Wolf,Michigan,1,6,70,39,18,8,.429,.429,.900,11.7,6.5,3.0,1.3,0.2,.144,1.7,0.1
28,28,BOS,Hugo González,,1,16,187,42,30,10,.415,.375,.400,11.7,2.6,1.9,0.6,0.2,.063,-2.7,0.0
29,29,PHO,Liam McNeeley,UConn,1,15,195,64,31,13,.360,.375,.842,13.0,4.3,2.1,0.9,0.2,.041,-4.7,-0.1
30,30,LAC,Yanic Konan Niederhauser,Penn State,1,10,54,31,13,3,.722,,.500,5.4,3.1,1.3,0.3,0.2,.142,0.0,0.0
31,31,MIN,Rasheer Fleming,Saint Joseph's,1,11,60,21,13,2,.318,.231,1.000,5.5,1.9,1.2,0.2,0.0,.012,-8.7,-0.1
32,32,BOS,Noah Penda,,1,11,105,45,36,12,.516,.667,.778,9.5,4.1,3.3,1.1,0.5,.208,1.8,0.1
33,33,CHO,Sion James,Duke,1,21,556,137,68,34,.411,.379,.857,26.5,6.5,3.2,1.6,0.4,.038,-3.7,-0.2
34,34,CHO,Ryan Kalkbrenner,Creighton,1,19,487,171,126,9,.811,.000,.781,25.6,9.0,6.6,0.5,1.5,.151,0.7,0.3
35,35,PHI,Johni Broome,Auburn,1,6,39,10,13,4,.200,.000,.500,6.5,1.7,2.2,0.7,-0.1,-.178,-15.3,-0.1
36,36,BRK,Adou Thiero,Arkansas,1,5,17,6,2,0,1.000,,1.000,3.4,1.2,0.4,0.0,0.1,.165,-1.5,0.0
37,37,DET,Chaz Lanier,Tennessee,1,12,130,43,14,10,.350,.333,1.000,10.8,3.6,1.2,0.8,0.3,.107,-1.5,0.0
38,38,SAS,Kam Jones,Marquette,,,,,,,,,,,,,,,,,
39,39,TOR,Alijah Martin,Florida,,,,,,,,,,,,,,,,,
40,40,WAS,Micah Peavy,Georgetown,1,18,298,96,45,20,.421,.194,.714,16.6,5.3,2.5,1.1,0.1,.015,-5.1,-0.2
41,41,GSW,Koby Brea,Kentucky,1,2,8,4,1,2,.333,.000,1.000,4.0,2.0,0.5,1.0,0.0,.200,-3.0,0.0
42,42,SAC,Maxime Raynaud,Stanford,1,13,189,80,46,9,.477,.222,.800,14.5,6.2,3.5,0.7,0.1,.037,-5.0,-0.1
43,43,UTA,Jamir Watkins,Florida State,1,5,33,11,6,0,.500,.250,1.000,6.6,2.2,1.2,0.0,0.0,.024,-9.9,-0.1
44,44,OKC,Brooks Barnhizer,Northwestern,1,15,112,21,31,5,.529,.500,.500,7.5,1.4,2.1,0.3,0.3,.142,-1.2,0.0
45,45,CHI,Rocco Zikarsky,,,,,,,,,,,,,,,,,,
46,46,ORL,Amari Williams,Kentucky,1,5,29,3,7,1,.500,,.500,5.8,0.6,1.4,0.2,0.1,.126,-1.4,0.0
47,47,MIL,Bogoljub Markovic,,,,,,,,,,,,,,,,,,
48,48,MEM,Javon Small,West Virginia,1,8,99,34,8,22,.357,.316,.800,12.4,4.3,1.0,2.8,0.1,.027,-4.5,-0.1
49,49,CLE,Tyrese Proctor,Duke,1,18,223,101,23,25,.344,.311,.857,12.4,5.6,1.3,1.4,0.3,.058,-4.6,-0.1
50,50,NYK,Kobe Sanders,Nevada,1,13,249,83,21,17,.375,.308,.944,19.2,6.4,1.6,1.3,-0.2,-.031,-6.9,-0.3
51,51,LAC,Mohamed Diawara,,1,13,39,10,9,5,.400,.333,.000,3.0,0.8,0.7,0.4,0.0,-.035,-6.1,0.0
52,52,PHO,Alex Toohey,,,,,,,,,,,,,,,,,,
53,53,UTA,John Tonje,Wisconsin,,,,,,,,,,,,,,,,,
54,54,IND,Taelon Peter,Liberty,1,13,101,24,15,14,.259,.240,.800,7.8,1.8,1.2,1.1,-0.1,-.048,-5.3,-0.1
55,55,LAL,Lachlan Olbrich,,1,2,23,2,7,2,.250,.000,,11.5,1.0,3.5,1.0,-0.1,-.109,-11.9,-0.1
56,56,MEM,Will Richard,Florida,1,20,374,165,55,23,.532,.385,.759,18.7,8.3,2.8,1.2,1.2,.151,0.7,0.3
57,57,ORL,Max Shulga,VCU,,,,,,,,,,,,,,,,,
58,58,CLE,Saliou Niang,,,,,,,,,,,,,,,,,,
59,59,HOU,Jahmai Mashack,Tennessee,1,1,6,6,2,0,.500,.500,,6.0,6.0,2.0,0.0,0.0,.206,9.0,0.0
60,60,NYK,,,,,,,,,,,,,,,,,,,
