,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,7,383,11910,5021,2840,2754,.558,.139,.592,31.1,13.1,7.4,7.2,35.4,.143,3.0,15.0
2,2,LAL,Brandon Ingram,Duke,10,517,17063,10128,2692,2211,.468,.361,.789,33.0,19.6,5.2,4.3,28.2,.079,0.0,8.8
3,3,BOS,Jaylen Brown,California,10,624,19167,12045,3335,1689,.479,.359,.729,30.7,19.3,5.3,2.7,42.5,.106,0.4,11.7
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,10,428,10052,3284,1413,1673,.440,.329,.738,23.5,7.7,3.3,3.9,12.4,.059,-1.1,2.2
6,6,NOP,Buddy Hield,Oklahoma,10,736,20577,10897,2980,1810,.432,.395,.859,28.0,14.8,4.0,2.5,28.0,.065,0.2,11.3
7,7,DEN,Jamal Murray,Kentucky,9,555,17457,10065,2103,2637,.456,.383,.871,31.5,18.1,3.8,4.8,40.2,.111,1.0,13.1
8,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,.456,.290,.667,18.3,7.6,4.7,1.0,6.5,.058,-2.4,-0.5
9,9,TOR,Jakob Poeltl,Utah,10,611,13743,5480,4285,1122,.633,.429,.556,22.5,9.0,7.0,1.8,45.9,.160,1.2,11.2
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,10,657,20264,10590,7015,3203,.559,.344,.729,30.8,16.1,10.7,4.9,70.4,.167,3.3,27.3
12,12,UTA,Taurean Prince,Baylor,10,590,14571,5794,2104,1013,.428,.384,.812,24.7,9.8,3.6,1.7,15.2,.050,-2.1,-0.2
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
