,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ATL,Zaccharie Risacher,,2,94,2313,1159,318,120,.457,.345,.699,24.6,12.3,3.4,1.3,2.3,.047,-3.4,-0.8
2,2,WAS,Alex Sarr,,2,83,2289,1174,572,213,.421,.313,.668,27.6,14.1,6.9,2.6,0.4,.009,-2.3,-0.1
3,3,HOU,Reed Sheppard,Kentucky,2,70,1108,475,130,134,.410,.386,.757,15.8,6.8,1.9,1.9,2.6,.113,1.7,1.0
4,4,SAS,Stephon Castle,UConn,2,94,2578,1415,373,430,.437,.279,.718,27.4,15.1,4.0,4.6,2.1,.039,-2.5,-0.3
5,5,DET,Ron Holland,,2,102,1716,688,288,119,.461,.248,.770,16.8,6.7,2.8,1.2,2.4,.067,-2.6,-0.3
6,6,CHO,Tidjane Salaün,,2,68,1345,385,309,79,.335,.286,.705,19.8,5.7,4.5,1.2,0.2,.006,-5.1,-1.0
7,7,POR,Donovan Clingan,UConn,2,87,1829,641,728,110,.524,.264,.660,21.0,7.4,8.4,1.3,5.8,.153,0.1,1.0
8,8,SAS,Rob Dillingham,Kentucky,2,68,712,294,73,134,.416,.333,.607,10.5,4.3,1.1,2.0,-0.1,-.005,-5.0,-0.6
9,9,MEM,Zach Edey,Purdue,2,75,1649,738,652,73,.594,.345,.725,22.0,9.8,8.7,1.0,5.8,.169,0.3,1.0
10,10,UTA,Cody Williams,Colorado,2,61,1201,255,123,65,.321,.242,.698,19.7,4.2,2.0,1.1,-1.4,-.057,-7.7,-1.7
11,11,CHI,Matas Buzelis,,2,100,2076,960,390,110,.454,.357,.810,20.8,9.6,3.9,1.1,2.4,.055,-2.6,-0.3
12,12,OKC,Nikola Topić,,,,,,,,,,,,,,,,,,
13,13,SAC,Devin Carter,Providence,2,44,461,155,88,50,.351,.278,.633,10.5,3.5,2.0,1.1,0.2,.025,-3.4,-0.2
14,14,POR,Bub Carrington,Pitt,2,102,2959,939,411,446,.392,.350,.802,29.0,9.2,4.0,4.4,-0.5,-.009,-5.2,-2.4
15,15,MIA,Kel'el Ware,Indiana,2,85,1935,842,696,71,.546,.342,.731,22.8,9.9,8.2,0.8,6.2,.153,0.4,1.2
16,16,PHI,Jared McCain,Duke,2,34,788,434,75,76,.441,.382,.871,23.2,12.8,2.2,2.2,0.7,.044,-1.1,0.2
17,17,LAL,Dalton Knecht,Tennessee,2,95,1778,822,252,77,.463,.373,.747,18.7,8.7,2.7,0.8,3.1,.084,-1.8,0.1
18,18,ORL,Tristan Da Silva,Colorado,2,95,2123,759,324,140,.427,.350,.854,22.3,8.0,3.4,1.5,3.6,.082,-1.8,0.1
