,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
19,19,TOR,Ja'Kobe Walter,Baylor,2,71,1405,544,199,94,.408,.361,.804,19.8,7.7,2.8,1.3,1.7,.058,-2.6,-0.2
20,20,CLE,Jaylon Tyson,California,2,64,906,378,179,75,.470,.424,.778,14.2,5.9,2.8,1.2,2.3,.122,-0.2,0.4
21,21,NOP,Yves Missi,Baylor,2,89,2282,762,693,119,.548,.000,.614,25.6,8.6,7.8,1.3,4.0,.084,-3.1,-0.7
22,22,PHO,DaRon Holmes,Dayton,1,2,4,3,0,0,1.000,1.000,,2.0,1.5,0.0,0.0,0.0,.188,11.6,0.0
23,23,MIL,AJ Johnson,,2,38,682,227,65,80,.373,.258,.854,17.9,6.0,1.7,2.1,-0.6,-.041,-8.4,-1.1
24,24,NYK,Kyshawn George,Miami (FL),2,86,2366,863,394,256,.396,.347,.746,27.5,10.0,4.6,3.0,0.2,.005,-3.6,-1.0
25,25,NYK,Pacome Dadiet,,2,26,132,34,23,7,.297,.273,.750,5.1,1.3,0.9,0.3,0.0,-.002,-6.9,-0.2
26,26,WAS,Dillon Jones,Weber State,1,54,552,135,121,58,.383,.254,.607,10.2,2.5,2.2,1.1,0.8,.067,-4.0,-0.3
27,27,MIN,Terrence Shannon Jr.,Illinois,2,44,516,199,67,43,.463,.370,.775,11.7,4.5,1.5,1.0,0.8,.072,-3.3,-0.2
28,28,DEN,Ryan Dunn,Virginia,2,91,1815,651,352,88,.440,.313,.537,19.9,7.2,3.9,1.0,2.0,.053,-3.1,-0.5
29,29,UTA,Isaiah Collier,USC,2,83,2101,710,263,512,.430,.254,.691,25.3,8.6,3.2,6.2,-0.6,-.013,-5.1,-1.7
30,30,BOS,Baylor Scheierman,Creighton,2,48,580,173,96,43,.409,.366,.769,12.1,3.6,2.0,0.9,1.2,.101,-1.5,0.1
31,31,TOR,Jonathan Mogbo,San Francisco,2,71,1325,397,322,151,.438,.243,.732,18.7,5.6,4.5,2.1,2.0,.072,-1.8,0.1
32,32,UTA,Kyle Filipowski,Duke,2,91,1923,856,554,184,.489,.346,.663,21.1,9.4,6.1,2.0,3.0,.074,-1.3,0.3
33,33,MIL,Tyler Smith,,1,23,122,67,25,4,.480,.433,.750,5.3,2.9,1.1,0.2,0.2,.083,-0.9,0.0
34,34,POR,Tyler Kolek,Marquette,2,57,451,136,39,99,.371,.282,.720,7.9,2.4,0.7,1.7,0.6,.067,-2.5,-0.1
35,35,SAS,Johnny Furphy,Kansas,2,53,416,111,77,19,.388,.321,.818,7.8,2.1,1.5,0.4,0.5,.063,-2.7,-0.1
36,36,IND,Juan Nunez,,,,,,,,,,,,,,,,,,
37,37,MIN,Bobi Klintman,,2,14,95,32,23,11,.419,.313,.200,6.8,2.3,1.6,0.8,0.1,.056,-5.5,-0.1
38,38,NYK,Ajay Mitchell,UC Santa Barbara,2,58,1185,564,145,145,.478,.361,.857,20.4,9.7,2.5,2.5,3.5,.141,0.0,0.6
39,39,MEM,Jaylen Wells,Washington State,2,101,2625,1082,343,173,.426,.352,.805,26.0,10.7,3.4,1.7,4.5,.082,-2.2,-0.1
40,40,POR,Oso Ighodaro,Marquette,2,83,1422,360,299,108,.599,.000,.521,17.1,4.3,3.6,1.3,2.2,.074,-2.5,-0.2
41,41,PHI,Adem Bona,UCLA,2,73,1149,384,300,30,.682,.250,.658,15.7,5.3,4.1,0.4,2.7,.112,-2.8,-0.2
42,42,CHO,KJ Simpson,Colorado,2,44,947,321,125,132,.346,.267,.815,21.5,7.3,2.8,3.0,-0.6,-.028,-5.4,-0.8
43,43,MIA,Nikola Djurisic,,,,,,,,,,,,,,,,,,
44,44,HOU,Pelle Larsson,Arizona,2,76,1255,454,149,136,.449,.348,.723,16.5,6.0,2.0,1.8,2.5,.096,-1.9,0.1
45,45,SAC,Jamal Shead,Houston,2,97,1884,657,149,433,.398,.327,.779,19.4,6.8,1.5,4.5,1.9,.049,-3.2,-0.6
46,46,LAC,Cam Christie,Minnesota,2,27,216,82,41,15,.325,.263,.710,8.0,3.0,1.5,0.6,0.0,.008,-3.7,-0.1
47,47,ORL,Antonio Reeves,Kentucky,2,47,696,324,67,40,.463,.409,.800,14.8,6.9,1.4,0.9,0.5,.036,-2.8,-0.1
48,48,SAS,Harrison Ingram,UNC,2,8,46,9,12,3,.571,.500,,5.8,1.1,1.5,0.4,0.1,.136,0.3,0.0
49,49,IND,Tristen Newton,UConn,1,8,16,3,4,2,.125,.000,1.000,2.0,0.4,0.5,0.3,-0.1,-.330,-20.7,-0.1
50,50,IND,Enrique Freeman,University of Akron,1,22,181,46,30,9,.432,.100,.684,8.2,2.1,1.4,0.4,0.2,.046,-6.3,-0.2
51,51,NYK,Melvin Ajinça,,,,,,,,,,,,,,,,,,
52,52,GSW,Quinten Post,Boston College,2,64,1040,483,233,81,.450,.382,.780,16.3,7.5,3.6,1.3,2.4,.110,0.2,0.6
53,53,DET,Cam Spencer,UConn,2,47,701,343,73,114,.456,.436,.932,14.9,7.3,1.6,2.4,2.3,.156,2.2,0.7
54,54,BOS,Anton Watson,Gonzaga,1,9,22,8,3,2,.444,.000,,2.4,0.9,0.3,0.2,0.0,-.070,-10.1,0.0
55,55,LAL,Bronny James,USC,2,39,298,83,27,42,.305,.273,.813,7.6,2.1,0.7,1.1,-0.2,-.036,-6.4,-0.3
56,56,PHO,Kevin McCullar Jr.,Kansas,1,4,29,6,8,2,.286,.000,1.000,7.3,1.5,2.0,0.5,0.0,.060,-7.2,0.0
57,57,MEM,Ulrich Chomche,,1,7,32,5,8,2,.400,,.500,4.6,0.7,1.1,0.3,0.0,.001,-7.4,0.0
58,58,DAL,Ariel Hukporti,,2,37,294,57,77,17,.625,,.412,7.9,1.5,2.1,0.5,0.1,.022,-5.3,-0.2
59,59,PHI,,,,,,,,,,,,,,,,,,,
60,60,PHO,,,,,,,,,,,,,,,,,,,
