,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,8,255,6123,2656,817,1111,.470,.280,.732,24.0,10.4,3.2,4.4,8.4,.066,-1.2,1.2
2,2,LAL,Lonzo Ball,UCLA,7,303,9341,3356,1635,1760,.395,.359,.601,30.8,11.1,5.4,5.8,12.9,.066,0.9,6.7
3,3,BOS,Jayson Tatum,Duke,8,585,20185,13784,4293,2243,.459,.370,.840,34.5,23.6,7.3,3.8,65.5,.156,3.8,29.4
4,4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,.416,.292,.680,23.1,11.3,4.0,1.8,-1.7,-.012,-3.8,-3.1
5,5,SAC,De'Aaron Fox,Kentucky,9,543,18060,11693,2124,3339,.470,.332,.749,33.3,21.5,3.9,6.1,35.3,.094,0.9,13.2
6,6,ORL,Jonathan Isaac,Florida State,7,295,5831,2151,1418,224,.443,.320,.743,19.8,7.3,4.8,0.8,14.3,.118,0.9,4.3
7,7,MIN,Lauri Markkanen,Arizona,9,470,14670,8760,3328,698,.456,.371,.870,31.2,18.6,7.1,1.5,35.3,.116,1.1,11.4
8,8,NYK,Frank Ntilikina,,7,321,5454,1535,563,693,.369,.320,.762,17.0,4.8,1.8,2.2,0.3,.003,-4.4,-3.4
9,9,DAL,Dennis Smith Jr.,NC State,7,326,7601,3160,967,1381,.407,.298,.674,23.3,9.7,3.0,4.2,2.3,.015,-2.1,-0.2
10,10,SAC,Zach Collins,Gonzaga,7,378,7137,3013,1827,685,.482,.331,.767,18.9,8.0,4.8,1.8,11.9,.080,-1.5,0.9
11,11,CHO,Malik Monk,Kentucky,9,541,12380,6681,1412,1696,.434,.352,.849,22.9,12.3,2.6,3.1,15.5,.060,-1.0,3.0
12,12,DET,Luke Kennard,Duke,9,479,11153,4657,1335,1091,.457,.437,.883,23.3,9.7,2.8,2.3,24.3,.104,-0.1,5.4
13,13,DEN,Donovan Mitchell,Louisville,9,559,18929,13932,2424,2640,.451,.367,.840,33.9,24.9,4.3,4.7,54.6,.139,3.6,26.8
14,14,MIA,Bam Adebayo,Kentucky,9,582,17811,9214,5157,2083,.534,.325,.758,30.6,15.8,8.9,3.6,58.9,.159,2.5,20.4
15,15,POR,Justin Jackson,UNC,7,280,4886,1676,654,285,.423,.319,.796,17.5,6.0,2.3,1.0,5.3,.052,-2.8,-1.0
16,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.8,-0.1
17,17,MIL,D.J. Wilson,Michigan,6,148,1818,657,454,110,.422,.331,.618,12.3,4.4,3.1,0.7,2.9,.077,-2.4,-0.2
18,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1
19,19,ATL,John Collins,Wake Forest,9,493,14302,7803,3908,710,.544,.361,.792,29.0,15.8,7.9,1.4,39.5,.133,0.5,8.9
