,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
20,20,POR,Harry Giles,Duke,4,165,1935,888,573,180,.508,.244,.661,11.7,5.4,3.5,1.1,3.1,.076,-2.5,-0.2
21,21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1
22,22,BRK,Jarrett Allen,Texas,9,583,16413,7503,5353,975,.639,.158,.714,28.2,12.9,9.2,1.7,68.1,.199,2.3,18.0
23,23,TOR,OG Anunoby,Indiana,9,504,15227,6523,2211,857,.474,.376,.761,30.2,12.9,4.4,1.7,32.3,.102,0.3,8.7
24,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
25,25,ORL,Anžejs Pasečņiks,,2,28,443,156,108,19,.521,.000,.586,15.8,5.6,3.9,0.7,0.4,.038,-6.2,-0.5
26,26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,.438,.118,.614,8.7,2.3,2.9,0.7,-0.2,-.015,-6.2,-0.7
27,27,BRK,Kyle Kuzma,Utah,9,562,17398,9483,3506,1494,.451,.335,.722,31.0,16.9,6.2,2.7,15.3,.042,-1.6,1.9
28,28,LAL,Tony Bradley,UNC,8,212,2340,947,822,109,.627,.438,.671,11.0,4.5,3.9,0.5,8.5,.175,-0.2,1.1
29,29,SAS,Derrick White,Colorado,9,514,14748,6725,1886,2167,.444,.366,.851,28.7,13.1,3.7,4.2,41.0,.134,2.2,15.7
30,30,UTA,Josh Hart,Villanova,9,549,16676,5698,3853,1783,.472,.344,.754,30.4,10.4,7.0,3.2,38.4,.111,0.6,10.9
31,31,CHO,Frank Jackson,Duke,5,214,3873,1816,392,222,.421,.332,.786,18.1,8.5,1.8,1.0,2.5,.031,-3.9,-1.9
32,32,PHO,Davon Reed,Miami (FL),4,122,1299,373,212,92,.408,.385,.667,10.6,3.1,1.7,0.8,1.5,.054,-2.9,-0.3
33,33,ORL,Wes Iwundu,Kansas State,5,226,3827,989,555,208,.408,.292,.798,16.9,4.4,2.5,0.9,4.2,.053,-3.9,-1.8
34,34,SAC,Frank Mason III,Kansas,4,103,1616,695,204,272,.396,.301,.755,15.7,6.7,2.0,2.6,1.2,.035,-2.7,-0.3
35,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,.555,.200,.743,14.6,5.7,4.3,1.0,3.2,.125,-1.7,0.1
36,36,PHI,Jonah Bolden,,2,51,686,217,174,40,.486,.340,.484,13.5,4.3,3.4,0.8,1.4,.098,-1.3,0.1
37,37,BOS,Semi Ojeleye,SMU,5,284,4111,975,613,126,.384,.344,.717,14.5,3.4,2.2,0.4,5.2,.061,-3.4,-1.5
38,38,CHI,Jordan Bell,Oregon,5,161,1937,593,497,201,.552,.200,.636,12.0,3.7,3.1,1.2,4.9,.121,0.2,1.1
39,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,.345,.263,.776,15.1,4.2,1.7,2.0,-0.4,-.022,-5.4,-0.7
40,40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,.402,.314,.780,19.4,7.3,2.6,1.1,0.8,.010,-5.1,-3.1
41,41,ATL,Tyler Dorsey,Oregon,3,107,1680,710,245,135,.392,.351,.669,15.7,6.6,2.3,1.3,1.1,.031,-3.0,-0.5
42,42,UTA,Thomas Bryant,Indiana,9,348,6009,2994,1726,328,.579,.337,.775,17.3,8.6,5.0,0.9,20.5,.164,0.9,4.4
43,43,HOU,Isaiah Hartenstein,,8,398,7902,2816,2626,821,.598,.245,.683,19.9,7.1,6.6,2.1,30.7,.187,2.2,8.5
44,44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,.417,.345,.711,19.9,7.5,2.5,1.5,3.0,.034,-2.8,-0.9
45,45,HOU,Dillon Brooks,Oregon,9,508,15005,7326,1644,1010,.421,.353,.806,29.5,14.4,3.2,2.0,15.5,.049,-3.3,-5.0
46,46,PHI,Sterling Brown,SMU,6,268,4458,1431,891,268,.419,.363,.796,16.6,5.3,3.3,1.0,6.6,.071,-2.1,-0.1
47,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,.333,,.833,2.6,0.9,0.9,0.1,0.0,.057,-1.1,0.0
48,48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,.407,.340,.672,10.8,2.5,1.3,0.7,1.1,.032,-3.1,-0.5
49,49,DEN,Vlatko Čančar,,5,143,1527,485,251,123,.472,.354,.847,10.7,3.4,1.8,0.9,2.4,.076,-2.5,-0.2
50,50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
51,51,DEN,Monte Morris,Iowa State,9,426,9873,3998,996,1519,.473,.388,.824,23.2,9.4,2.3,3.6,24.7,.120,0.2,5.6
52,52,NOP,Edmond Sumner,Xavier,5,161,2256,997,244,182,.470,.341,.811,14.0,6.2,1.5,1.1,3.2,.069,-3.0,-0.6
53,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.2,0.1
54,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0
55,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0
56,56,BOS,Jabari Bird,California,1,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
57,57,BRK,Sasha Vezenkov,,1,42,511,225,96,19,.440,.375,.800,12.2,5.4,2.3,0.5,1.0,.098,-0.9,0.1
58,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
59,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2
60,60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
