,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,8,416,12801,6826,4322,666,.594,.230,.752,30.8,16.4,10.4,1.6,39.2,.147,0.7,8.8
2,2,SAC,Marvin Bagley III,Duke,8,305,6750,3621,1967,274,.522,.293,.692,22.1,11.9,6.4,0.9,13.4,.096,-1.5,0.8
3,3,ATL,Luka Dončić,,8,466,16303,13442,4023,3843,.468,.350,.754,35.0,28.8,8.6,8.2,60.0,.177,7.7,39.9
4,4,MEM,Jaren Jackson Jr.,Michigan State,8,427,12230,7873,2362,639,.466,.350,.792,28.6,18.4,5.5,1.5,29.4,.116,0.8,8.7
5,5,DAL,Trae Young,Oklahoma,8,488,16761,12309,1697,4787,.432,.351,.873,34.3,25.2,3.5,9.8,43.6,.125,2.6,19.3
6,6,ORL,Mo Bamba,Texas,7,364,6115,2461,1980,306,.477,.356,.682,16.8,6.8,5.4,0.8,15.6,.123,0.0,3.1
7,7,CHI,Wendell Carter Jr.,Duke,8,403,11039,4811,3324,804,.510,.324,.733,27.4,11.9,8.2,2.0,29.0,.126,-0.2,4.9
8,8,CLE,Collin Sexton,Alabama,8,427,12678,7980,1190,1592,.471,.387,.840,29.7,18.7,2.8,3.7,16.8,.063,-1.4,2.0
9,9,NYK,Kevin Knox,Kentucky,7,320,5606,2322,893,233,.393,.340,.723,17.5,7.3,2.8,0.7,0.9,.008,-4.4,-3.4
10,10,PHI,Mikal Bridges,Villanova,8,576,19214,8545,2298,1603,.486,.374,.842,33.4,14.8,4.0,2.8,45.0,.112,0.9,14.1
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,8,484,16030,12015,2315,2504,.503,.360,.863,33.1,24.8,4.8,5.2,66.2,.198,5.9,31.9
12,12,LAC,Miles Bridges,Michigan State,7,445,13806,7098,2755,1208,.459,.339,.829,31.0,16.0,6.2,2.7,22.7,.079,-0.1,6.7
13,13,LAC,Jerome Robinson,Boston College,4,135,1685,545,214,136,.361,.297,.711,12.5,4.0,1.6,1.0,-0.2,-.004,-4.8,-1.2
14,14,DEN,Michael Porter Jr.,Missouri,7,362,10593,6020,2334,537,.499,.405,.797,29.3,16.6,6.4,1.5,27.6,.125,0.8,7.5
15,15,WAS,Troy Brown Jr.,Oregon,6,356,6778,2196,1288,508,.423,.351,.783,19.0,6.2,3.6,1.4,8.6,.061,-1.8,0.4
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.1
17,17,MIL,Donte DiVincenzo,Villanova,8,437,11272,4763,1866,1276,.426,.381,.778,25.8,10.9,4.3,2.9,25.6,.109,1.1,8.9
18,18,SAS,Lonnie Walker IV,Miami (FL),7,342,7025,3418,791,518,.422,.356,.795,20.5,10.0,2.3,1.5,4.9,.033,-2.5,-1.0
19,19,ATL,Kevin Huerter,Maryland,8,501,14024,5828,1700,1460,.442,.373,.766,28.0,11.6,3.4,2.9,19.8,.068,-1.0,3.7
20,20,MIN,Josh Okogie,Georgia Tech,8,434,8324,2762,1275,498,.407,.304,.747,19.2,6.4,2.9,1.1,12.5,.072,-1.7,0.6
21,21,UTA,Grayson Allen,Duke,8,417,10670,4500,1257,871,.452,.416,.854,25.6,10.8,3.0,2.1,24.0,.108,0.1,5.7
22,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,.442,.309,.643,17.4,5.4,3.7,0.8,1.1,.030,-3.9,-0.9
23,23,IND,Aaron Holiday,UCLA,8,461,7567,3006,720,916,.421,.384,.852,16.4,6.5,1.6,2.0,10.7,.068,-1.9,0.2
24,24,POR,Anfernee Simons,,8,410,10924,6122,1018,1319,.432,.382,.879,26.6,14.9,2.5,3.2,13.8,.061,-1.1,2.5
25,25,LAL,Moritz Wagner,Michigan,7,363,6051,3328,1436,439,.525,.324,.807,16.7,9.2,4.0,1.2,16.9,.134,0.2,3.4
26,26,PHI,Landry Shamet,Wichita State,8,413,8703,3452,692,615,.414,.386,.830,21.1,8.4,1.7,1.5,14.0,.077,-1.9,0.1
27,27,BOS,Robert Williams,Texas A&M,8,249,4954,1767,1671,335,.721,.154,.668,19.9,7.1,6.7,1.3,24.7,.239,4.7,8.3
28,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-.047,-7.4,-0.8
