,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
29,29,BRK,Džanan Musa,,2,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4
30,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
31,31,PHO,Elie Okobo,,2,108,1677,523,188,242,.395,.315,.737,15.5,4.8,1.7,2.2,0.5,.014,-4.1,-0.9
32,32,MEM,Jevon Carter,West Virginia,8,423,6418,2208,700,664,.395,.381,.807,15.2,5.2,1.7,1.6,8.7,.065,-1.5,0.8
33,33,DAL,Jalen Brunson,Villanova,8,505,14864,9320,1608,2566,.488,.387,.825,29.4,18.5,3.2,5.1,47.5,.154,2.3,16.2
34,34,ATL,Devonte' Graham,Kansas,6,336,8359,3733,758,1448,.371,.354,.812,24.9,11.1,2.3,4.3,12.7,.073,-0.5,3.2
35,35,ORL,Melvin Frazier,Tulane,3,32,290,87,28,5,.340,.209,.533,9.1,2.7,0.9,0.2,-0.4,-.062,-10.0,-0.6
36,36,NYK,Mitchell Robinson,,8,350,8345,2681,2745,222,.698,,.514,23.8,7.7,7.8,0.6,36.0,.207,2.1,8.6
37,37,SAC,Gary Trent Jr.,Duke,8,437,12318,5919,1013,638,.422,.390,.821,28.2,13.5,2.3,1.5,19.3,.075,-1.3,2.2
38,38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,.388,.316,.750,10.5,4.1,1.0,0.9,0.5,.058,-2.7,-0.1
39,39,PHI,Isaac Bonga,,4,143,1871,439,320,118,.432,.300,.759,13.1,3.1,2.2,0.8,1.7,.044,-3.6,-0.7
40,40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,.444,.329,.739,16.1,6.0,3.1,0.9,2.3,.052,-2.8,-0.4
41,41,ORL,Jarred Vanderbilt,Kentucky,8,323,6432,1872,2004,457,.556,.288,.646,19.9,5.8,6.2,1.4,17.1,.128,0.0,3.2
42,42,DET,Bruce Brown,Miami (FL),8,477,11838,4172,2005,1158,.473,.334,.769,24.8,8.7,4.2,2.4,20.4,.083,-1.6,1.3
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo,Kentucky,6,265,4918,2272,1009,283,.495,.274,.623,18.6,8.6,3.8,1.1,6.2,.060,-2.1,-0.1
46,46,HOU,De'Anthony Melton,USC,7,356,8147,3231,1316,988,.410,.369,.779,22.9,9.1,3.7,2.8,14.3,.084,0.6,5.3
47,47,LAL,Svi Mykhailiuk,Kansas,8,351,5908,2357,642,506,.408,.361,.769,16.8,6.7,1.8,1.4,4.7,.038,-2.5,-0.7
48,48,MIN,Keita Bates-Diop,Ohio State,6,283,4566,1697,848,241,.474,.333,.751,16.1,6.0,3.0,0.9,7.4,.078,-1.6,0.5
49,49,SAS,Chimezie Metu,USC,6,260,3565,1522,908,197,.495,.298,.787,13.7,5.9,3.5,0.8,5.7,.076,-1.6,0.3
50,50,IND,Alize Johnson,Missouri State,5,76,568,189,228,32,.481,.227,.711,7.5,2.5,3.0,0.4,1.3,.108,-2.4,-0.1
51,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-.014,-6.4,0.0
53,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,.200,.235,.500,7.4,1.8,0.6,1.2,-0.2,-.116,-6.7,-0.1
54,54,DAL,Shake Milton,SMU,7,359,6698,2899,783,856,.451,.358,.824,18.7,8.1,2.2,2.4,11.7,.084,-2.0,-0.1
55,55,CHO,Arnoldas Kulboka,,1,2,5,0,0,0,.000,.000,,2.5,0.0,0.0,0.0,0.0,-.217,-21.8,0.0
56,56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,.529,.000,.286,10.4,3.6,3.3,0.3,0.1,.024,-6.2,-0.2
57,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,.259,.150,,5.2,1.7,1.2,0.5,-0.1,-.085,-5.1,0.0
58,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
59,59,PHO,George King,Colorado,2,5,25,1,6,0,.000,.000,.500,5.0,0.2,1.2,0.0,-0.1,-.225,-17.2,-0.1
60,60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,.375,,.474,4.0,1.0,1.0,0.1,-0.2,-.098,-9.9,-0.2
