,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,6,224,7023,5500,1471,960,.585,.317,.691,31.4,24.6,6.6,4.3,24.8,.169,4.8,12.0
2,2,MEM,Ja Morant,Murray State,7,319,10146,7157,1490,2358,.465,.310,.772,31.8,22.4,4.7,7.4,23.9,.113,2.5,11.5
3,3,NYK,RJ Barrett,Duke,7,404,13340,7622,2232,1340,.443,.347,.699,33.0,18.9,5.5,3.3,14.8,.053,-1.6,1.2
4,4,LAL,De'Andre Hunter,Virginia,7,345,10341,5147,1418,545,.452,.370,.820,30.0,14.9,4.1,1.6,13.1,.061,-2.5,-1.3
5,5,CLE,Darius Garland,Vanderbilt,7,389,12887,7307,1035,2606,.452,.388,.868,33.1,18.8,2.7,6.7,24.7,.092,0.2,7.2
6,6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,.401,.276,.509,17.2,6.5,2.8,1.2,-0.1,-.001,-4.5,-1.6
7,7,CHI,Coby White,UNC,7,427,12719,6526,1554,1649,.433,.369,.863,29.8,15.3,3.6,3.9,18.2,.069,-1.5,1.6
8,8,ATL,Jaxson Hayes,Texas,7,384,6317,2591,1510,279,.652,.267,.696,16.5,6.7,3.9,0.7,21.2,.161,-0.3,2.7
9,9,WAS,Rui Hachimura,Gonzaga,7,356,9973,4584,1707,456,.498,.387,.763,28.0,12.9,4.8,1.3,16.7,.080,-1.9,0.2
10,10,ATL,Cam Reddish,Duke,6,254,5876,2151,678,297,.398,.322,.821,23.1,8.5,2.7,1.2,3.3,.027,-3.1,-1.7
11,11,MIN,Cameron Johnson,UNC,7,359,9574,4607,1405,705,.454,.392,.850,26.7,12.8,3.9,2.0,23.9,.120,1.4,8.1
