,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,Kansas,12,784,26484,14484,3516,1807,.450,.357,.725,33.8,18.5,4.5,2.3,34.2,.062,-1.3,4.5
2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,.494,.326,.743,27.5,14.1,5.5,2.0,13.8,.078,-0.8,2.5
3,3,PHI,Joel Embiid,Kansas,10,459,14577,12659,5024,1680,.501,.338,.828,31.8,27.6,10.9,3.7,65.3,.215,6.8,32.4
4,4,ORL,Aaron Gordon,Arizona,12,733,21444,10001,4551,1956,.485,.334,.697,29.3,13.6,6.2,2.7,48.3,.108,0.4,12.8
5,5,UTA,Dante Exum,,8,320,6005,1991,623,728,.435,.343,.765,18.8,6.2,1.9,2.3,6.6,.053,-2.8,-1.2
6,6,BOS,Marcus Smart,Oklahoma State,12,649,19101,6865,2215,2936,.388,.322,.779,29.4,10.6,3.4,4.5,34.7,.087,-0.4,7.7
7,7,LAL,Julius Randle,Kentucky,12,731,23441,13993,6646,2836,.472,.335,.756,32.1,19.1,9.1,3.9,52.3,.107,1.1,18.2
8,8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,.389,.354,.812,19.5,6.7,2.0,1.5,3.9,.028,-3.0,-1.7
9,9,CHO,Noah Vonleh,Indiana,8,362,5854,1685,1790,264,.459,.307,.692,16.2,4.7,4.9,0.7,9.4,.077,-2.5,-0.7
10,10,PHI,Elfrid Payton,Louisiana,9,524,13894,5121,2086,3034,.444,.286,.623,26.5,9.8,4.0,5.8,15.1,.052,-1.1,3.1
11,11,DEN,Doug McDermott,Creighton,12,698,13580,6004,1456,664,.471,.411,.804,19.5,8.6,2.1,1.0,21.5,.076,-2.1,-0.4
12,12,ORL,Dario Šarić,,9,496,11107,5118,2631,942,.443,.360,.838,22.4,10.3,5.3,1.9,20.9,.090,-0.8,3.5
13,13,MIN,Zach LaVine,UCLA,12,673,22103,13984,2725,2641,.470,.390,.833,32.8,20.8,4.0,3.9,37.7,.082,0.6,14.4
14,14,PHO,T.J. Warren,NC State,9,385,10365,5497,1515,446,.505,.351,.780,26.9,14.3,3.9,1.2,20.9,.097,-0.4,4.1
15,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-.019,-5.9,-1.4
16,16,CHI,Jusuf Nurkić,,12,610,14838,7160,5408,1548,.500,.282,.664,24.3,11.7,8.9,2.5,33.5,.108,0.3,8.7
17,17,BOS,James Young,Kentucky,4,95,812,219,96,28,.367,.277,.563,8.5,2.3,1.0,0.3,0.8,.046,-3.4,-0.3
18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,.419,.317,.768,12.6,4.2,1.3,1.9,1.3,.026,-3.4,-0.8
19,19,CHI,Gary Harris,Michigan State,12,632,16844,6474,1433,1158,.446,.369,.810,26.7,10.2,2.3,1.8,27.1,.077,-1.4,2.7
20,20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,.403,.308,.836,12.3,4.2,2.6,0.7,1.5,.054,-2.7,-0.2
21,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-2.6,-0.1
22,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,1.7,0.2
23,23,UTA,Rodney Hood,Duke,8,448,10977,4656,1160,736,.420,.366,.841,24.5,10.4,2.6,1.6,17.4,.076,-1.2,2.2
24,24,CHO,Shabazz Napier,UConn,6,345,5986,2433,657,849,.397,.345,.815,17.4,7.1,1.9,2.5,8.1,.065,-0.7,2.0
25,25,HOU,Clint Capela,,12,681,17584,8014,7062,682,.616,.000,.546,25.8,11.8,10.4,1.0,70.4,.192,1.6,16.1
26,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,.343,.295,.810,18.0,6.0,2.4,0.5,0.9,.021,-3.9,-1.0
27,27,PHO,Bogdan Bogdanović,,9,512,14529,7256,1710,1646,.436,.382,.846,28.4,14.2,3.3,3.2,24.9,.082,0.1,7.8
28,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2
29,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4
30,30,SAS,Kyle Anderson,UCLA,12,720,15441,4921,3083,2001,.478,.340,.715,21.4,6.8,4.3,2.8,39.6,.123,1.7,14.6
31,31,MIL,Damien Inglis,,1,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-.024,-5.6,-0.1
32,32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,.412,.290,.776,14.1,5.3,2.2,0.6,1.3,.030,-2.8,-0.4
