,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
33,33,CLE,Joe Harris,Virginia,10,504,12298,5185,1521,790,.479,.436,.771,24.4,10.3,3.0,1.6,23.1,.090,-0.7,4.1
34,34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,.346,.263,.750,14.3,4.3,2.2,0.8,-0.6,-.039,-5.9,-0.8
35,35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,.581,,.531,5.4,2.4,1.4,0.3,0.6,.202,0.1,0.1
36,36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,.402,.360,.663,11.5,3.5,2.4,0.5,0.2,.006,-6.2,-1.8
37,37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,
38,38,DET,Spencer Dinwiddie,Colorado,11,621,17219,8078,1851,3153,.414,.333,.796,27.7,13.0,3.0,5.1,36.0,.100,-0.1,8.1
39,39,PHI,Jerami Grant,Syracuse,12,739,20638,9810,2896,1198,.449,.365,.757,27.9,13.3,3.9,1.6,38.2,.089,-0.4,8.2
40,40,MIN,Glenn Robinson III,Michigan,7,304,5299,1804,776,238,.457,.373,.779,17.4,5.9,2.6,0.8,7.9,.071,-1.7,0.4
41,41,DEN,Nikola Jokić,,11,765,24346,16789,8397,5604,.561,.363,.825,31.8,21.9,11.0,7.3,133.7,.264,10.5,76.7
42,42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-.020,-6.5,-0.3
43,43,ATL,Edy Tavares,,2,13,101,33,32,4,.625,,.273,7.8,2.5,2.5,0.3,0.2,.118,-0.4,0.0
44,44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,.380,.295,.781,15.9,5.2,2.1,1.2,1.1,.029,-2.9,-0.4
45,45,CHO,Dwight Powell,Stanford,12,722,12743,4794,3031,748,.604,.294,.737,17.6,6.6,4.2,1.0,48.6,.183,0.8,9.0
46,46,WAS,Jordan Clarkson,Missouri,12,773,21210,12233,2560,2244,.436,.336,.830,27.4,15.8,3.3,2.9,24.6,.056,-1.0,5.4
47,47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,.319,.188,.769,4.9,2.0,0.6,0.7,-0.2,-.068,-5.1,-0.1
48,48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,.326,.236,.720,10.9,2.3,1.4,1.1,0.1,.006,-5.7,-0.4
49,49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,.296,.200,.846,4.6,1.2,1.0,0.2,-0.1,-.021,-8.1,-0.3
50,50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,,,,
51,51,NYK,Thanasis Antetokounmpo,,7,205,1538,490,309,115,.511,.143,.540,7.5,2.4,1.5,0.6,2.0,.063,-4.1,-0.8
52,52,PHI,Vasilije Micić,,2,101,1961,691,177,390,.395,.315,.819,19.4,6.8,1.8,3.9,-0.6,-.015,-5.6,-1.8
53,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
54,54,PHI,Nemanja Dangubić,,,,,,,,,,,,,,,,,,
55,55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,.345,.190,.548,15.2,2.9,1.4,2.0,0.1,.006,-5.1,-0.8
56,56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,.304,.222,.375,10.4,2.2,1.6,0.7,-0.3,-.028,-5.5,-0.4
57,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
58,58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,.417,.355,.772,13.8,6.9,1.8,1.4,1.7,.048,-2.1,0.0
59,59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,
60,60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,.444,.125,.583,10.0,3.5,2.8,0.3,0.9,.071,-3.3,-0.2
