,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,5,226,7676,5096,1238,1697,.447,.336,.848,34.0,22.5,5.5,7.5,9.1,.057,1.3,6.4
2,2,HOU,Jalen Green,,5,309,10068,6204,1314,1034,.422,.342,.798,32.6,20.1,4.3,3.3,10.8,.052,-1.1,2.3
3,3,CLE,Evan Mobley,USC,5,290,9461,4808,2597,870,.544,.323,.685,32.6,16.6,9.0,3.0,30.2,.153,2.3,10.3
4,4,TOR,Scottie Barnes,Florida State,5,298,10262,5202,2239,1479,.470,.308,.768,34.4,17.5,7.5,5.0,22.0,.103,1.9,10.2
5,5,ORL,Jalen Suggs,Gonzaga,5,227,5970,2813,765,774,.422,.328,.790,26.3,12.4,3.4,3.4,6.6,.053,-0.8,1.8
6,6,OKC,Josh Giddey,,5,298,8808,4313,2279,1867,.465,.335,.760,29.6,14.5,7.6,6.3,15.5,.085,1.5,7.7
7,7,GSW,Jonathan Kuminga,,5,273,6066,3422,1131,496,.505,.332,.700,22.2,12.5,4.1,1.8,12.3,.097,-1.2,1.3
8,8,ORL,Franz Wagner,Michigan,5,312,10122,6033,1542,1145,.475,.323,.852,32.4,19.3,4.9,3.7,23.9,.113,0.9,7.4
9,9,SAC,Davion Mitchell,Baylor,5,322,7285,2488,593,1158,.447,.348,.688,22.6,7.7,1.8,3.6,7.9,.052,-2.8,-1.5
10,10,NOP,Ziaire Williams,Stanford,5,230,4877,1915,723,271,.418,.314,.816,21.2,8.3,3.1,1.2,4.7,.046,-3.5,-1.9
11,11,CHO,James Bouknight,UConn,3,79,900,383,133,73,.363,.335,.762,11.4,4.8,1.7,0.9,-0.3,-.017,-5.9,-0.9
12,12,SAS,Joshua Primo,Alabama,3,56,1068,318,127,99,.371,.300,.750,19.1,5.7,2.3,1.8,-0.2,-.011,-5.3,-0.9
13,13,IND,Chris Duarte,Oregon,4,177,3231,1348,467,231,.406,.349,.813,18.3,7.6,2.6,1.3,1.9,.028,-3.0,-0.8
14,14,GSW,Moses Moody,Arkansas,5,275,4739,2021,636,255,.443,.370,.784,17.2,7.3,2.3,0.9,9.3,.094,-1.2,0.9
15,15,WAS,Corey Kispert,Gonzaga,5,309,7901,3381,864,460,.476,.383,.800,25.6,10.9,2.8,1.5,9.8,.060,-2.3,-0.6
