,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
16,16,OKC,Alperen Şengün,,5,304,8753,4993,2609,1292,.516,.286,.703,28.8,16.4,8.6,4.3,25.2,.138,3.0,11.0
17,17,MEM,Trey Murphy III,Virginia,5,271,7572,3856,1108,527,.455,.383,.881,27.9,14.2,4.1,1.9,19.9,.126,1.3,6.3
18,18,OKC,Tre Mann,Florida,5,199,4226,1872,563,463,.406,.345,.796,21.2,9.4,2.8,2.3,1.4,.016,-3.6,-1.7
19,19,NYK,Kai Jones,Texas,3,107,1081,377,259,44,.671,.231,.682,10.1,3.5,2.4,0.4,2.8,.126,-1.2,0.2
20,20,ATL,Jalen Johnson,Duke,5,204,5032,2487,1355,615,.510,.336,.732,24.7,12.2,6.6,3.0,11.1,.106,1.6,4.6
21,21,NYK,Keon Johnson,Tennessee,4,161,3098,1326,429,313,.379,.324,.765,19.2,8.2,2.7,1.9,-0.3,-.005,-4.2,-1.7
22,22,LAL,Isaiah Jackson,Kentucky,5,184,2841,1343,816,136,.596,.206,.688,15.4,7.3,4.4,0.7,8.9,.150,-0.3,1.2
23,23,HOU,Usman Garuba,,3,105,1228,276,397,82,.467,.363,.625,11.7,2.6,3.8,0.8,2.3,.090,-1.4,0.2
24,24,HOU,Josh Christopher,Arizona State,3,152,2189,987,266,231,.451,.273,.737,14.4,6.5,1.8,1.5,0.2,.003,-3.9,-1.1
25,25,LAC,Quentin Grimes,Houston,5,262,6573,2848,819,570,.445,.375,.780,25.1,10.9,3.1,2.2,11.9,.087,-0.4,2.6
26,26,DEN,Bones Hyland,VCU,5,200,3293,1813,418,506,.401,.363,.846,16.5,9.1,2.1,2.5,4.5,.066,-0.9,0.9
27,27,BRK,Cam Thomas,LSU,5,223,5206,3426,564,463,.438,.346,.861,23.3,15.4,2.5,2.1,5.5,.051,-1.8,0.2
28,28,PHI,Jaden Springer,Tennessee,4,110,967,316,152,85,.409,.238,.773,8.8,2.9,1.4,0.8,1.4,.068,-2.7,-0.2
29,29,PHO,Day'Ron Sharpe,UNC,5,210,3078,1360,1180,263,.553,.295,.637,14.7,6.5,5.6,1.3,8.8,.137,-0.7,1.0
30,30,UTA,Santi Aldama,Loyola (MD),5,257,5892,2579,1368,512,.460,.344,.691,22.9,10.0,5.3,2.0,13.6,.111,0.9,4.3
31,31,MIL,Isaiah Todd,,2,18,135,29,24,8,.222,.192,.500,7.5,1.6,1.3,0.4,-0.3,-.124,-10.2,-0.3
32,32,NYK,Jeremiah Robinson-Earl,Villanova,5,213,3770,1268,931,213,.435,.337,.807,17.7,6.0,4.4,1.0,5.9,.075,-2.4,-0.4
33,33,ORL,Jason Preston,Ohio University,2,21,195,53,39,43,.400,.238,.000,9.3,2.5,1.9,2.0,0.1,.023,-2.6,0.0
34,34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,
35,35,NOP,Herbert Jones,Alabama,5,256,7739,2585,975,630,.471,.365,.820,30.2,10.1,3.8,2.5,15.5,.096,-0.7,2.6
36,36,OKC,Miles McBride,West Virginia,5,253,4515,1675,398,458,.408,.370,.777,17.8,6.6,1.6,1.8,8.9,.095,-0.7,1.5
37,37,DET,JT Thor,Auburn,4,185,2261,599,389,90,.419,.317,.651,12.2,3.2,2.1,0.5,1.2,.026,-4.5,-1.5
38,38,CHI,Ayo Dosunmu,Illinois,5,297,8307,3140,859,969,.504,.371,.782,28.0,10.6,2.9,3.3,13.8,.080,-1.6,0.8
39,39,SAC,Neemias Queta,Utah State University,5,129,1797,706,559,101,.635,.000,.685,13.9,5.5,4.3,0.8,7.2,.192,0.0,0.9
40,40,NOP,Jared Butler,Baylor,4,148,2047,990,217,417,.450,.341,.818,13.8,6.7,1.5,2.8,2.5,.059,-1.5,0.3
41,41,SAS,Joe Wieskamp,Iowa,2,38,255,70,18,12,.329,.309,.538,6.7,1.8,0.5,0.3,0.1,.013,-5.3,-0.2
42,42,DET,Isaiah Livers,Michigan,4,107,2209,613,276,92,.403,.353,.792,20.6,5.7,2.6,0.9,1.8,.039,-3.1,-0.6
43,43,NOP,Greg Brown III,Texas,3,70,773,268,163,42,.424,.296,.616,11.0,3.8,2.3,0.6,0.2,.015,-5.1,-0.6
44,44,BRK,Kessler Edwards,Pepperdine,4,178,2255,645,390,111,.428,.360,.786,12.7,3.6,2.2,0.6,2.7,.058,-2.9,-0.5
45,45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,
46,46,TOR,Dalano Banton,Nebraska,4,216,3142,1463,482,422,.402,.304,.728,14.5,6.8,2.2,2.0,2.1,.032,-1.5,0.4
47,47,TOR,David Johnson,Louisville,1,2,2,0,0,0,.000,.000,,1.0,0.0,0.0,0.0,0.0,-.495,-27.7,0.0
48,48,ATL,Sharife Cooper,Auburn,2,17,49,7,5,5,.200,.143,,2.9,0.4,0.3,0.3,-0.3,-.292,-17.1,-0.2
49,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,
50,50,PHI,Filip Petrušev,Gonzaga,1,3,10,3,1,0,.500,,.500,3.3,1.0,0.3,0.0,0.0,.029,-8.0,0.0
51,51,MEM,Brandon Boston Jr.,Kentucky,4,147,2346,1101,327,176,.412,.328,.781,16.0,7.5,2.2,1.2,1.0,.021,-3.7,-1.0
52,52,DET,Luka Garza,Iowa,5,141,1212,714,312,66,.500,.331,.706,8.6,5.1,2.2,0.5,4.0,.158,-1.4,0.2
53,53,PHI,Charles Bassey,Western Kentucky,5,115,1288,495,498,95,.625,.231,.637,11.2,4.3,4.3,0.8,3.9,.144,0.3,0.7
54,54,IND,Sandro Mamukelashvili,Seton Hall,5,212,2597,1203,690,217,.482,.354,.743,12.3,5.7,3.3,1.0,6.7,.123,0.2,1.5
55,55,OKC,Aaron Wiggins,Maryland,5,285,5768,2500,906,392,.501,.390,.792,20.2,8.8,3.2,1.4,13.7,.114,-0.8,1.7
56,56,CHO,Scottie Lewis,Florida,1,2,7,1,0,1,,,.500,3.5,0.5,0.0,0.5,0.0,.164,6.0,0.0
57,57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,
58,58,NYK,Jericho Sims,Texas,5,207,2765,490,799,115,.718,.000,.591,13.4,2.4,3.9,0.6,7.2,.125,-1.9,0.1
59,59,BRK,RaiQuan Gray,Florida State,2,4,74,39,16,13,.552,.417,1.000,18.5,9.8,4.0,3.3,0.2,.149,2.9,0.1
60,60,IND,Georgios Kalaitzakis,,1,13,213,86,21,12,.463,.385,.467,16.4,6.6,1.6,0.9,-0.1,-.024,-7.0,-0.3
