,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,SAS,Victor Wembanyama,,3,129,4049,2952,1416,490,.473,.339,.816,31.4,22.9,11.0,3.8,9.1,.108,5.8,8.0
2,2,CHO,Brandon Miller,Alabama,3,107,3457,1949,458,291,.426,.361,.838,32.3,18.2,4.3,2.7,1.3,.019,-1.8,0.2
3,3,POR,Scoot Henderson,,2,128,3524,1705,392,671,.401,.340,.793,27.5,13.3,3.1,5.2,0.1,.002,-4.0,-1.8
4,4,HOU,Amen Thompson,,3,149,4266,1869,1099,521,.535,.218,.699,28.6,12.5,7.4,3.5,14.0,.158,2.8,5.2
5,5,DET,Ausar Thompson,,3,139,3392,1348,808,301,.509,.209,.608,24.4,9.7,5.8,2.2,6.7,.095,-0.3,1.5
6,6,ORL,Anthony Black,Arkansas,3,168,3633,1334,437,390,.444,.343,.709,21.6,7.9,2.6,2.3,5.0,.066,-2.0,0.0
7,7,IND,Bilal Coulibaly,,3,134,3989,1365,598,345,.423,.307,.732,29.8,10.2,4.5,2.6,0.7,.008,-4.0,-2.0
8,8,WAS,Jarace Walker,Houston,3,129,2103,791,402,201,.421,.373,.735,16.3,6.1,3.1,1.6,1.6,.036,-1.9,0.1
9,9,UTA,Taylor Hendricks,Central Florida,3,54,1088,350,241,40,.424,.355,.767,20.1,6.5,4.5,0.7,1.3,.056,-2.2,0.0
10,10,DAL,Cason Wallace,Kentucky,3,171,4167,1306,480,345,.475,.384,.793,24.4,7.6,2.8,2.0,10.7,.124,0.5,2.7
11,11,ORL,Jett Howard,Michigan,3,93,925,380,94,61,.385,.310,.719,9.9,4.1,1.0,0.7,0.6,.031,-4.0,-0.5
12,12,OKC,Dereck Lively II,Duke,3,98,2242,827,685,158,.725,.000,.579,22.9,8.4,7.0,1.6,8.7,.187,1.5,2.0
13,13,TOR,Gradey Dick,Kansas,3,136,3213,1438,370,181,.416,.352,.855,23.6,10.6,2.7,1.3,2.3,.034,-4.0,-1.6
14,14,NOP,Jordan Hawkins,UConn,3,141,2761,1225,337,153,.373,.345,.819,19.6,8.7,2.4,1.1,0.4,.007,-4.6,-1.8
15,15,ATL,Kobe Bufkin,Michigan,2,27,320,134,54,44,.374,.220,.654,11.9,5.0,2.0,1.6,-0.1,-.012,-4.3,-0.2
16,16,UTA,Keyonte George,Baylor,3,162,4813,2555,543,847,.400,.337,.844,29.7,15.8,3.4,5.2,1.8,.018,-3.0,-1.2
17,17,LAL,Jalen Hood-Schifino,Indiana,2,36,424,140,40,45,.329,.262,.732,11.8,3.9,1.1,1.3,-0.6,-.068,-9.3,-0.8
18,18,MIA,Jaime Jaquez Jr.,UCLA,3,161,4067,1770,699,467,.485,.307,.783,25.3,11.0,4.3,2.9,7.8,.092,-1.1,0.9
19,19,GSW,Brandin Podziemski,Santa Clara,3,160,4307,1705,852,560,.448,.381,.713,26.9,10.7,5.3,3.5,9.6,.107,0.2,2.4
20,20,HOU,Cam Whitmore,Villanova,3,118,2043,1245,389,95,.453,.352,.712,17.3,10.6,3.3,0.8,3.4,.079,-0.4,0.8
21,21,BRK,Noah Clowney,Alabama,3,89,1960,801,332,93,.398,.337,.804,22.0,9.0,3.7,1.0,1.7,.042,-3.1,-0.5
22,22,BRK,Dariq Whitehead,Duke,2,22,270,117,33,15,.396,.429,.571,12.3,5.3,1.5,0.7,0.0,.007,-4.1,-0.1
23,23,POR,Kris Murray,Iowa,3,151,2882,781,481,170,.413,.256,.573,19.1,5.2,3.2,1.1,1.8,.031,-3.2,-0.9
24,24,SAC,Olivier-Maxence Prosper,Marquette,3,104,1039,373,234,68,.399,.248,.698,10.0,3.6,2.3,0.7,1.7,.077,-2.6,-0.2
25,25,MEM,Marcus Sasser,Houston,2,128,2162,961,194,369,.441,.378,.863,16.9,7.5,1.5,2.9,2.8,.062,-1.9,0.1
26,26,IND,Ben Sheppard,Belmont,3,141,2574,713,351,179,.391,.314,.871,18.3,5.1,2.5,1.3,2.9,.054,-3.1,-0.8
27,27,CHO,Nick Smith Jr.,Arkansas,3,118,2194,938,206,218,.393,.373,.906,18.6,7.9,1.7,1.8,-1.1,-.024,-5.7,-2.1
28,28,UTA,Brice Sensabaugh,Ohio State,3,122,2320,1184,361,186,.436,.383,.889,19.0,9.7,3.0,1.5,1.2,.026,-2.4,-0.3
