,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ORL,Paolo Banchero,Duke,4,210,7204,4692,1500,968,.446,.317,.733,34.3,22.3,7.1,4.6,12.2,.081,0.9,5.4
2,2,OKC,Chet Holmgren,Gonzaga,3,132,3822,2167,1049,295,.525,.371,.785,29.0,16.4,7.9,2.2,14.2,.179,3.1,4.9
3,3,HOU,Jabari Smith Jr.,Auburn,4,229,7155,3005,1694,313,.433,.343,.802,31.2,13.1,7.4,1.4,13.3,.089,-1.5,0.8
4,4,SAC,Keegan Murray,Iowa,4,239,7813,3200,1340,347,.451,.369,.813,32.7,13.4,5.6,1.5,14.4,.088,-1.0,2.0
5,5,DET,Jaden Ivey,Purdue,4,187,5500,2958,686,807,.428,.351,.747,29.4,15.8,3.7,4.3,1.6,.014,-2.7,-1.0
6,6,IND,Bennedict Mathurin,Arizona,4,219,6235,3525,990,394,.446,.346,.826,28.5,16.1,4.5,1.8,6.5,.050,-3.3,-2.1
7,7,POR,Shaedon Sharpe,Kentucky,4,201,5564,2991,799,421,.448,.322,.780,27.7,14.9,4.0,2.1,4.9,.042,-2.3,-0.4
8,8,NOP,Dyson Daniels,,4,218,5715,1880,1016,762,.474,.316,.606,26.2,8.6,4.7,3.5,10.5,.089,0.4,3.5
9,9,SAS,Jeremy Sochan,Baylor,4,198,5243,2180,1169,541,.470,.291,.727,26.5,11.0,5.9,2.7,4.8,.044,-2.9,-1.2
10,10,WAS,Johnny Davis,Wisconsin,3,112,1278,395,175,71,.397,.273,.561,11.4,3.5,1.6,0.6,-0.4,-.013,-6.2,-1.3
11,11,NYK,Ousmane Dieng,,4,123,1493,510,261,125,.419,.292,.746,12.1,4.1,2.1,1.0,1.9,.061,-2.7,-0.3
12,12,OKC,Jalen Williams,Santa Clara,4,218,6832,3950,1003,943,.511,.381,.806,31.3,18.1,4.6,4.3,20.9,.147,2.2,7.2
13,13,CHO,Jalen Duren,Memphis,4,224,6009,2724,2323,465,.654,.000,.704,26.8,12.2,10.4,2.1,21.2,.170,1.1,4.7
14,14,CLE,Ochai Agbaji,Kansas,4,217,4805,1637,609,260,.447,.345,.732,22.1,7.5,2.8,1.2,4.6,.046,-2.8,-1.0
15,15,CHO,Mark Williams,Duke,4,124,2964,1532,1097,168,.626,.000,.753,23.9,12.4,8.8,1.4,11.8,.192,1.8,2.9
16,16,ATL,AJ Griffin,Duke,2,92,1572,687,171,78,.447,.372,.898,17.1,7.5,1.9,0.8,1.8,.053,-1.7,0.1
17,17,HOU,Tari Eason,LSU,4,172,3922,1787,1068,216,.468,.364,.740,22.8,10.4,6.2,1.3,9.6,.117,0.9,2.8
18,18,CHI,Dalen Terry,Arizona,4,180,1971,614,287,215,.445,.297,.650,11.0,3.4,1.6,1.2,2.5,.061,-2.8,-0.4
19,19,MIN,Jake LaRavia,Wake Forest,4,156,3082,1122,528,277,.435,.366,.739,19.8,7.2,3.4,1.8,5.3,.082,-1.3,0.6
20,20,SAS,Malaki Branham,Ohio State,4,197,3636,1634,395,328,.440,.334,.835,18.5,8.3,2.0,1.7,-0.1,-.002,-5.0,-2.8
21,21,DEN,Christian Braun,Kansas,4,248,5836,2303,945,429,.526,.375,.755,23.5,9.3,3.8,1.7,14.1,.116,-1.0,1.5
22,22,MEM,Walker Kessler,Auburn,4,201,5090,1910,1862,241,.681,.266,.545,25.3,9.5,9.3,1.2,17.1,.161,2.0,5.1
23,23,PHI,David Roddy,Colorado State,3,168,2845,1044,488,174,.421,.302,.679,16.9,6.2,2.9,1.0,1.7,.029,-4.0,-1.4
24,24,MIL,MarJon Beauchamp,,3,135,1465,556,258,77,.430,.354,.718,10.9,4.1,1.9,0.6,1.2,.038,-4.0,-0.8
25,25,SAS,Blake Wesley,Notre Dame,4,162,2326,705,250,397,.409,.291,.632,14.4,4.4,1.5,2.5,-0.4,-.008,-5.5,-2.1
26,26,DAL,Wendell Moore Jr.,Duke,4,93,770,216,129,69,.461,.246,.815,8.3,2.3,1.4,0.7,0.9,.056,-2.6,-0.1
27,27,MIA,Nikola Jović,,4,123,2566,1053,466,275,.443,.361,.788,20.9,8.6,3.8,2.2,4.8,.090,-0.4,1.0
28,28,GSW,Patrick Baldwin Jr.,UW-Milwaukee,3,93,826,343,188,43,.405,.373,.658,8.9,3.7,2.0,0.5,0.6,.032,-3.1,-0.2
29,29,MEM,TyTy Washington Jr.,Kentucky,3,58,607,194,63,68,.347,.234,.542,10.5,3.3,1.1,1.2,-0.4,-.031,-6.8,-0.7
30,30,OKC,Peyton Watson,UCLA,4,191,3861,1365,625,227,.477,.336,.688,20.2,7.1,3.3,1.2,6.5,.081,-1.8,0.3
31,31,IND,Andrew Nembhard,Gonzaga,4,221,6054,2215,581,1027,.460,.336,.811,27.4,10.0,2.6,4.6,6.6,.053,-2.5,-0.8
32,32,ORL,Caleb Houstan,Michigan,4,175,2453,702,262,96,.392,.374,.844,14.0,4.0,1.5,0.5,4.0,.079,-2.7,-0.5
33,33,TOR,Christian Koloko,Arizona,3,97,1150,272,264,47,.519,.063,.644,11.9,2.8,2.7,0.5,2.7,.111,-3.3,-0.4
34,34,OKC,Jaylin Williams,Arkansas,4,186,2978,962,837,354,.421,.376,.745,16.0,5.2,4.5,1.9,8.5,.137,0.9,2.2
35,35,LAL,Max Christie,Michigan State,4,208,4228,1429,548,272,.435,.388,.835,20.3,6.9,2.6,1.3,5.2,.059,-2.6,-0.6
36,36,POR,Gabriele Procida,,,,,,,,,,,,,,,,,,
37,37,SAC,Jaden Hardy,,4,196,2787,1542,330,262,.422,.383,.766,14.2,7.9,1.7,1.3,0.7,.011,-3.9,-1.3
38,38,SAS,Kennedy Chandler,Tennessee,1,36,281,78,38,58,.422,.133,.462,7.8,2.2,1.1,1.6,0.3,.044,-2.7,0.0
39,39,CLE,Khalifa Diop,,,,,,,,,,,,,,,,,,
40,40,MIN,Bryce McGowens,Nebraska,4,130,1881,639,219,121,.422,.337,.760,14.5,4.9,1.7,0.9,0.9,.023,-5.2,-1.5
41,41,NOP,E.J. Liddell,Ohio State,3,27,108,39,23,4,.424,.217,.857,4.0,1.4,0.9,0.1,0.1,.051,-4.9,-0.1
42,42,NYK,Trevor Keels,Duke,1,3,8,3,2,0,.250,.250,,2.7,1.0,0.7,0.0,0.0,-.062,-13.0,0.0
43,43,LAC,Moussa Diabaté,Michigan,4,125,1980,686,680,89,.596,.125,.637,15.8,5.5,5.4,0.7,6.0,.146,-1.1,0.4
44,44,ATL,Ryan Rollins,Toledo,4,103,1672,806,221,252,.481,.409,.793,16.2,7.8,2.1,2.4,2.9,.084,-0.5,0.6
45,45,CHO,Josh Minott,Memphis,4,113,847,363,189,55,.493,.383,.869,7.5,3.2,1.7,0.5,2.9,.167,1.9,0.8
46,46,DET,Ismael Kamagate,,,,,,,,,,,,,,,,,,
47,47,MEM,Vince Williams Jr.,VCU,4,111,2427,871,484,331,.410,.319,.799,21.9,7.8,4.4,3.0,3.4,.066,-1.3,0.4
48,48,MIN,Kendall Brown,Baylor,2,21,103,30,11,8,.545,.000,.600,4.9,1.4,0.5,0.4,0.1,.055,-5.3,-0.1
49,49,CLE,Isaiah Mobley,USC,3,23,173,60,34,14,.407,.333,.714,7.5,2.6,1.5,0.6,0.3,.090,-3.0,0.0
50,50,MIN,Matteo Spagnolo,,,,,,,,,,,,,,,,,,
51,51,GSW,Tyrese Martin,UConn,3,96,1804,717,297,176,.405,.342,.780,18.8,7.5,3.1,1.8,1.1,.029,-2.6,-0.3
52,52,NOP,Karlo Matković,,2,54,928,384,242,56,.592,.333,.712,17.2,7.1,4.5,1.0,1.9,.100,-1.6,0.1
53,53,BOS,JD Davison,Alabama,4,44,254,88,33,42,.429,.333,.600,5.8,2.0,0.8,1.0,0.3,.065,-1.8,0.0
54,54,WAS,Yannick Nzosa,,,,,,,,,,,,,,,,,,
55,55,GSW,Gui Santos,,3,94,1064,346,244,99,.459,.331,.754,11.3,3.7,2.6,1.1,2.4,.107,-2.1,0.0
56,56,CLE,Luke Travers,,2,21,170,32,38,15,.208,.045,1.000,8.1,1.5,1.8,0.7,-0.1,-.030,-6.8,-0.2
57,57,POR,Jabari Walker,Colorado,4,207,3322,1239,917,154,.465,.315,.736,16.0,6.0,4.4,0.7,5.5,.079,-3.4,-1.2
58,58,IND,Hugo Besson,,,,,,,,,,,,,,,,,,
,,,,,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.
,,,,,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.
