Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
200,Khris Middleton,34,WAS,SF,10,10,248,38,80,.475,9,28,.321,29,52,.558,.531,14,19,.737,13,26,39,24,9,2,16,33,99,0,,middlkh01
201,Isaac Okoro,25,CHI,SG,12,12,310,35,79,.443,14,37,.378,21,42,.500,.532,15,17,.882,15,21,36,23,6,9,15,40,99,0,,okorois01
202,Gradey Dick,22,TOR,SG,13,0,215,31,74,.419,15,44,.341,16,30,.533,.520,21,26,.808,5,25,30,7,7,0,5,10,98,0,,dickgr01
203,Josh Minott,23,BOS,PF,13,9,263,35,76,.461,13,39,.333,22,37,.595,.546,14,17,.824,25,44,69,19,14,5,9,29,97,0,,minotjo01
204,Patrick Williams,24,CHI,PF,12,0,267,33,74,.446,19,45,.422,14,29,.483,.574,12,18,.667,8,27,35,18,14,5,14,20,97,0,,willipa01
205,Daniel Gafford,27,DAL,C,9,9,207,37,56,.661,0,0,,37,56,.661,.661,22,27,.815,20,33,53,10,8,15,10,25,96,0,,gaffoda01
206,Josh Hart,30,NYK,SF,11,0,272,37,80,.463,12,34,.353,25,46,.543,.538,10,13,.769,18,56,74,47,9,1,19,21,96,1,,hartjo01
207,Josh Okogie,27,HOU,SG,12,10,271,31,63,.492,16,35,.457,15,28,.536,.619,18,22,.818,11,16,27,15,19,2,7,25,96,0,,okogijo01
208,Luka Garza,27,BOS,C,13,0,185,35,61,.574,8,21,.381,27,40,.675,.639,17,22,.773,32,22,54,11,4,6,5,40,95,0,,garzalu01
209,Tyrese Martin,26,BRK,SG,13,2,275,36,97,.371,17,57,.298,19,40,.475,.459,6,9,.667,14,27,41,32,7,3,14,13,95,0,,martity01
210,Marvin Bagley III,26,WAS,PF,13,0,190,38,58,.655,3,6,.500,35,52,.673,.681,15,21,.714,24,31,55,16,6,7,12,27,94,0,,baglema01
211,Kris Dunn,31,LAC,PG,13,7,333,35,75,.467,11,31,.355,24,44,.545,.540,13,18,.722,11,22,33,29,20,4,19,33,94,0,,dunnkr01
212,Jusuf Nurkić,31,UTA,C,13,8,314,35,94,.372,4,24,.167,31,70,.443,.394,20,33,.606,29,95,124,47,23,6,35,36,94,0,,nurkiju01
213,Jose Alvarado,27,NOP,PG,12,0,235,31,72,.431,20,47,.426,11,25,.440,.569,11,13,.846,5,24,29,31,11,0,13,17,93,0,,alvarjo01
214,Javonte Green,32,DET,SG,13,3,294,29,80,.363,13,42,.310,16,38,.421,.444,22,31,.710,13,37,50,17,13,7,10,19,93,0,,greenja02
215,Sam Hauser,28,BOS,PF,14,2,301,30,96,.313,28,85,.329,2,11,.182,.458,3,4,.750,10,35,45,18,7,4,10,14,91,0,,hausesa01
216,Drew Eubanks,28,SAC,C,14,3,205,37,56,.661,0,1,.000,37,55,.673,.661,15,31,.484,9,30,39,4,7,14,13,18,89,0,,eubandr01
217,Collin Murray-Boyles,20,TOR,PF,10,3,204,33,65,.508,9,18,.500,24,47,.511,.577,14,19,.737,19,18,37,12,8,5,11,25,89,0,,murraco01
218,Trae Young,27,ATL,PG,5,5,139,26,70,.371,5,26,.192,21,44,.477,.407,32,39,.821,0,10,10,39,4,1,10,9,89,0,,youngtr01
219,Andre Drummond,32,PHI,C,11,3,236,35,59,.593,6,14,.429,29,45,.644,.644,12,20,.600,33,64,97,9,8,10,6,23,88,0,,drumman01
220,Mouhamed Gueye,23,ATL,PF,14,2,231,36,72,.500,10,34,.294,26,38,.684,.569,5,10,.500,15,38,53,20,6,8,12,27,87,0,,gueyemo02
221,Brook Lopez,37,LAC,C,13,0,199,31,73,.425,18,51,.353,13,22,.591,.548,7,10,.700,4,26,30,8,5,11,12,22,87,0,,lopezbr01
222,Caris LeVert,31,DET,SG,9,0,181,31,61,.508,12,27,.444,19,34,.559,.607,12,19,.632,1,11,12,27,6,4,14,12,86,0,,leverca01
223,Miles McBride,25,NYK,SG,10,2,228,30,76,.395,19,50,.380,11,26,.423,.520,6,9,.667,9,16,25,27,9,1,8,15,85,0,,mcbrimi01
224,Jamal Shead,23,TOR,PG,13,0,233,28,65,.431,16,37,.432,12,28,.429,.554,13,16,.813,5,17,22,66,9,0,15,28,85,0,,sheadja01
225,Ben Sheppard,24,IND,SG,13,5,326,31,98,.316,13,54,.241,18,44,.409,.383,10,13,.769,11,48,59,21,6,2,9,34,85,0,,sheppbe01
226,Egor Demin,19,BRK,PG,12,5,246,28,75,.373,20,56,.357,8,19,.421,.507,8,9,.889,6,30,36,40,10,2,18,21,84,0,,demineg01
227,Dylan Harper,19,SAS,SG,6,0,140,32,64,.500,5,14,.357,27,50,.540,.539,15,18,.833,5,19,24,23,4,0,11,18,84,0,,harpedy01
