Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
287,Moussa Cisse,23,DAL,C,10,0,108,18,24,.750,0,0,,18,24,.750,.750,8,18,.444,18,18,36,1,2,14,9,20,44,0,,cissemo01
288,Larry Nance Jr.,33,CLE,PF,12,1,181,18,53,.340,7,26,.269,11,27,.407,.406,1,3,.333,10,28,38,16,6,2,9,34,44,0,,nancela02
289,Pat Spencer,29,GSW,PG,9,0,99,14,40,.350,5,13,.385,9,27,.333,.413,11,12,.917,4,9,13,16,6,1,5,8,44,0,,spencpa01
290,Drake Powell,20,BRK,SG,7,0,124,18,34,.529,5,11,.455,13,23,.565,.603,2,2,1.000,3,13,16,14,6,1,9,12,43,0,,poweldr01
291,Nick Smith Jr.,21,LAL,SG,6,0,90,16,37,.432,8,18,.444,8,19,.421,.541,2,3,.667,0,6,6,13,3,1,10,4,42,0,,smithni01
292,Obi Toppin,27,IND,PF,3,0,82,15,36,.417,3,17,.176,12,19,.632,.458,9,9,1.000,3,17,20,5,3,0,6,7,42,0,,toppiob01
293,Precious Achiuwa,26,SAC,C,7,4,118,17,31,.548,0,8,.000,17,23,.739,.548,7,13,.538,10,19,29,5,5,3,3,7,41,0,,achiupr01
294,Jamison Battle,24,TOR,SF,10,0,73,15,21,.714,11,15,.733,4,6,.667,.976,0,0,,1,10,11,2,2,1,4,5,41,0,,battlja01
295,Clint Capela,31,HOU,C,11,0,108,16,25,.640,0,0,,16,25,.640,.640,8,10,.800,27,22,49,4,3,6,4,11,40,0,,capelca01
296,Taylor Hendricks,22,UTA,PF,9,3,148,15,40,.375,4,17,.235,11,23,.478,.425,6,8,.750,16,22,38,4,4,3,5,4,40,0,,hendrta01
297,Darius Garland,26,CLE,PG,3,3,73,12,36,.333,7,19,.368,5,17,.294,.431,8,8,1.000,3,6,9,15,3,0,5,6,39,0,,garlada01
298,Trayce Jackson-Davis,25,GSW,C,9,0,100,15,28,.536,0,0,,15,28,.536,.536,8,11,.727,10,11,21,11,3,4,7,17,38,0,,jackstr02
299,Duop Reath,29,POR,C,9,0,71,13,22,.591,12,20,.600,1,2,.500,.864,0,0,,1,5,6,4,0,1,1,7,38,0,,reathdu01
300,Jabari Walker,23,PHI,PF,12,5,154,16,37,.432,2,12,.167,14,25,.560,.459,4,5,.800,16,21,37,5,2,3,5,22,38,0,,walkeja01
301,Liam McNeeley,20,CHO,SF,9,0,112,9,29,.310,6,18,.333,3,11,.273,.414,13,15,.867,4,13,17,11,2,1,5,14,37,0,,mcneeli01
302,Olivier-Maxence Prosper,23,MEM,PF,9,0,76,10,20,.500,0,5,.000,10,15,.667,.500,16,16,1.000,6,12,18,5,1,1,4,4,36,0,,prospol01
303,Blake Wesley,22,POR,SG,6,0,98,14,34,.412,2,10,.200,12,24,.500,.441,6,10,.600,2,12,14,19,10,1,7,14,36,0,,weslebl01
304,Nae'Qwan Tomlin,25,CLE,PF,5,0,64,13,25,.520,0,7,.000,13,18,.722,.520,9,10,.900,11,7,18,3,6,4,1,14,35,0,,tomlina01
305,Jonathan Isaac,28,ORL,PF,13,0,126,11,29,.379,4,18,.222,7,11,.636,.448,8,12,.667,8,29,37,1,6,5,3,9,34,0,,isaacjo01
306,Kevin Love,37,UTA,PF,7,0,99,9,25,.360,6,21,.286,3,4,.750,.480,10,12,.833,5,25,30,18,0,2,7,8,34,0,,loveke01
307,KJ Simpson,23,CHO,PG,6,0,90,13,37,.351,5,14,.357,8,23,.348,.419,3,4,.750,3,11,14,18,4,0,10,8,34,0,,simpskj01
308,Javon Small,23,MEM,PG,8,0,99,10,28,.357,6,19,.316,4,9,.444,.464,8,10,.800,1,7,8,22,0,1,8,7,34,0,,smallja01
309,Pat Connaughton,33,CHO,SG,9,0,85,12,26,.462,6,16,.375,6,10,.600,.577,3,5,.600,3,15,18,6,4,1,3,4,33,0,,connapa01
310,Hugo González,19,BOS,SF,11,1,136,14,31,.452,5,10,.500,9,21,.429,.532,0,1,.000,8,14,22,7,9,2,6,20,33,0,,gonzahu01
311,Aaron Holiday,29,HOU,PG,7,0,58,10,18,.556,5,11,.455,5,7,.714,.694,8,9,.889,0,4,4,7,1,1,5,5,33,0,,holidaa01
312,Gary Payton II,33,GSW,SG,14,0,138,15,36,.417,3,16,.188,12,20,.600,.458,0,0,,12,25,37,15,9,4,8,16,33,0,,paytoga02
313,Julian Strawther,23,DEN,SG,9,0,71,11,30,.367,2,16,.125,9,14,.643,.400,9,13,.692,0,14,14,4,0,1,3,6,33,0,,strawju01
314,Robert Williams,28,POR,C,8,0,100,16,26,.615,1,3,.333,15,23,.652,.635,0,1,.000,15,16,31,6,5,5,2,8,33,0,,williro04
315,Justin Champagnie,24,WAS,SF,12,3,101,8,25,.320,2,10,.200,6,15,.400,.360,14,17,.824,17,17,34,4,4,0,2,12,32,0,,champju01
316,Ja'Kobe Walter,21,TOR,SG,10,0,119,10,31,.323,6,22,.273,4,9,.444,.419,6,7,.857,6,7,13,6,7,1,8,18,32,0,,walteja01
317,Jalen Green,23,PHO,SG,2,2,30,11,23,.478,6,14,.429,5,9,.556,.609,3,5,.600,2,2,4,4,2,0,2,2,31,0,,greenja05
318,John Konchar,29,MEM,SG,12,0,138,12,22,.545,6,14,.429,6,8,.750,.682,1,1,1.000,3,24,27,11,9,5,4,9,31,0,,konchjo01
319,Chaz Lanier,24,DET,SG,9,0,98,10,30,.333,8,26,.308,2,4,.500,.467,3,3,1.000,5,5,10,9,2,0,1,3,31,0,,laniech01
320,Guerschon Yabusele,30,NYK,C,11,0,106,10,31,.323,7,22,.318,3,9,.333,.435,3,6,.500,12,15,27,4,2,1,2,13,30,0,,yabusgu01
321,Ousmane Dieng,22,OKC,C,11,0,130,11,35,.314,3,16,.188,8,19,.421,.357,4,4,1.000,4,17,21,6,1,5,6,10,29,0,,diengou01
322,Brandon Miller,23,CHO,SF,2,2,40,10,25,.400,2,11,.182,8,14,.571,.440,7,10,.700,0,0,0,8,1,1,3,5,29,0,,millebr02
323,Baylor Scheierman,25,BOS,SG,10,0,100,10,18,.556,8,15,.533,2,3,.667,.778,1,1,1.000,5,16,21,4,3,1,2,8,29,0,,scheiba01
324,Tristan Vukcevic,22,WAS,C,10,0,59,10,22,.455,3,10,.300,7,12,.583,.523,6,10,.600,1,8,9,4,1,4,5,6,29,0,,vukcetr01
325,Jett Howard,22,ORL,SF,10,0,84,10,29,.345,8,22,.364,2,7,.286,.483,0,0,,1,5,6,7,1,3,1,5,28,0,,howarje01
326,Jordan McLaughlin,29,SAS,PG,8,0,74,10,24,.417,5,15,.333,5,9,.556,.521,3,3,1.000,3,3,6,10,7,0,2,7,28,0,,mclaujo01
327,Jordan Miller,26,LAC,SF,3,0,49,8,16,.500,5,9,.556,3,7,.429,.656,7,8,.875,3,5,8,3,1,0,3,2,28,0,,millejo02
328,Dwight Powell,34,DAL,C,11,0,98,6,12,.500,0,0,,6,12,.500,.500,15,17,.882,10,11,21,7,4,2,5,20,27,0,,poweldw01
329,Terrence Shannon Jr.,25,MIN,SG,7,0,115,9,28,.321,4,11,.364,5,17,.294,.393,5,7,.714,3,14,17,8,4,0,6,11,27,0,,shannte01
330,Coby White,25,CHI,SG,1,0,30,5,14,.357,3,8,.375,2,6,.333,.464,14,14,1.000,0,4,4,8,1,0,3,3,27,0,,whiteco01
331,Adem Bona,22,PHI,C,12,3,177,9,20,.450,0,1,.000,9,19,.474,.450,8,16,.500,15,26,41,3,5,20,7,18,26,0,,bonaad01
332,T.J. McConnell,33,IND,PG,3,0,43,12,31,.387,1,6,.167,11,25,.440,.403,1,1,1.000,1,2,3,7,2,0,0,3,26,0,,mccontj01
333,Maxime Raynaud,22,SAC,C,6,0,74,9,23,.391,0,3,.000,9,20,.450,.391,8,9,.889,7,15,22,4,2,2,6,6,26,0,,raynama01
334,Dominick Barlow,22,PHI,PF,3,2,79,9,18,.500,2,7,.286,7,11,.636,.556,5,6,.833,11,9,20,8,0,3,5,6,25,0,,barlodo01
335,Branden Carlson,26,OKC,C,9,0,76,11,25,.440,3,12,.250,8,13,.615,.500,0,0,,3,14,17,3,2,4,3,10,25,0,,carlsbr01
336,Kobe Sanders,23,LAC,SG,5,0,69,9,23,.391,5,14,.357,4,9,.444,.500,2,3,.667,5,4,9,7,3,0,5,10,25,0,,sandeko01
337,Ochai Agbaji,25,TOR,SG,9,1,125,9,25,.360,1,12,.083,8,13,.615,.380,5,8,.625,2,17,19,6,5,1,3,16,24,0,,agbajoc01
338,Gui Santos,23,GSW,PF,12,0,77,9,21,.429,5,16,.313,4,5,.800,.548,1,2,.500,8,8,16,2,4,0,5,15,24,0,,santogu01
339,Tyler Kolek,24,NYK,PG,10,0,67,10,24,.417,3,13,.231,7,11,.636,.479,0,0,,2,3,5,13,1,0,6,9,23,0,,kolekty01
340,Ben Saraf,19,BRK,SG,7,5,97,7,27,.259,3,13,.231,4,14,.286,.315,6,8,.750,3,10,13,17,2,0,9,13,23,0,,sarafbe01
341,Dereck Lively II,21,DAL,C,5,3,80,9,14,.643,0,0,,9,14,.643,.643,4,6,.667,6,17,23,10,3,7,8,15,22,0,,livelde01
342,Isaiah Livers,27,PHO,PF,8,0,92,7,16,.438,5,14,.357,2,2,1.000,.594,3,3,1.000,4,10,14,4,2,3,1,6,22,0,,liveris01
343,Mitchell Robinson,27,NYK,C,6,6,97,11,19,.579,0,0,,11,19,.579,.579,0,1,.000,35,17,52,6,3,7,4,17,22,0,,robinmi01
344,Tidjane Salaün,20,CHO,PF,7,0,83,7,19,.368,4,12,.333,3,7,.429,.474,4,6,.667,5,20,25,5,2,1,3,8,22,0,,salauti01
345,Kyle Anderson,32,UTA,SF,3,0,49,8,17,.471,0,0,,8,17,.471,.471,5,7,.714,3,4,7,9,1,0,3,6,21,0,,anderky01
346,Amir Coffey,28,MIL,SG,13,0,128,8,19,.421,2,8,.250,6,11,.545,.474,3,3,1.000,4,10,14,7,0,1,1,6,21,0,,coffeam01
347,Cody Williams,21,UTA,SG,8,0,97,9,25,.360,2,11,.182,7,14,.500,.400,1,3,.333,2,6,8,4,2,1,3,13,21,0,,willico04
348,Thomas Bryant,28,CLE,C,8,0,54,10,22,.455,0,10,.000,10,12,.833,.455,0,3,.000,5,10,15,1,3,3,1,6,20,0,,bryanth01
349,Tyus Jones,29,ORL,PG,14,1,178,9,35,.257,2,19,.105,7,16,.438,.286,0,0,,3,10,13,20,10,2,5,9,20,0,,jonesty01
350,Kevon Looney,29,NOP,C,7,6,99,8,23,.348,1,6,.167,7,17,.412,.370,3,6,.500,13,14,27,11,2,4,5,14,20,0,,looneke01
351,Taelon Peter,23,IND,SG,9,0,87,6,24,.250,5,22,.227,1,2,.500,.354,3,3,1.000,4,10,14,12,2,2,8,5,20,0,,peterta01
352,Will Riley,19,WAS,SF,9,0,64,8,18,.444,1,4,.250,7,14,.500,.472,3,6,.500,3,11,14,7,2,0,2,2,20,0,,rileywi01
353,Matisse Thybulle,28,POR,SG,4,0,49,6,10,.600,4,6,.667,2,4,.500,.800,4,4,1.000,0,4,4,3,10,0,1,7,20,0,,thybuma01
354,Xavier Tillman Sr.,27,BOS,C,7,0,61,9,18,.500,2,8,.250,7,10,.700,.556,0,0,,7,10,17,4,3,1,1,7,20,0,,tillmxa01
355,Malaki Branham,22,WAS,SG,5,0,34,6,11,.545,1,5,.200,5,6,.833,.591,6,8,.750,3,5,8,3,0,0,1,2,19,0,,branhma01
356,Sidy Cissoko,21,POR,SF,8,0,89,7,15,.467,1,5,.200,6,10,.600,.500,4,7,.571,6,7,13,6,2,0,2,16,19,0,,cissosi01
357,Nigel Hayes-Davis,31,PHO,SF,11,0,93,9,21,.429,1,8,.125,8,13,.615,.452,0,0,,5,8,13,5,5,0,5,9,19,0,,hayesni01
358,Yanic Konan Niederhauser,22,LAC,C,5,0,22,7,8,.875,0,0,,7,8,.875,.875,5,8,.625,3,3,6,2,0,1,1,2,19,0,,konanya01
359,Mac McClung,27,IND,SG,3,0,34,7,18,.389,2,10,.200,5,8,.625,.444,3,4,.750,0,4,4,1,5,1,2,6,19,0,,mccluma01
360,Julian Phillips,22,CHI,SF,11,0,73,8,20,.400,3,10,.300,5,10,.500,.475,0,0,,5,3,8,1,4,2,1,7,19,0,,phillju01
361,Mark Sears,23,MIL,PG,5,0,21,5,9,.556,3,5,.600,2,4,.500,.722,6,8,.750,1,0,1,1,0,0,4,3,19,0,,searsma01
362,Gary Harris,31,MIL,SG,7,0,70,7,14,.500,4,8,.500,3,6,.500,.643,0,0,,1,3,4,4,5,2,2,5,18,0,,harriga01
363,Bronny James,21,LAL,SG,9,1,107,7,26,.269,2,10,.200,5,16,.313,.308,2,2,1.000,4,5,9,16,8,1,5,11,18,0,,jamesbr02
364,Chris Paul,40,LAC,PG,8,0,103,6,25,.240,5,19,.263,1,6,.167,.340,1,1,1.000,5,9,14,29,9,0,7,13,18,0,,paulch01
365,Chris Boucher,33,BOS,PF,7,0,76,7,22,.318,1,12,.083,6,10,.600,.341,2,2,1.000,2,15,17,2,4,5,1,15,17,0,,bouchch01
366,Carter Bryant,20,SAS,PF,8,0,54,6,21,.286,2,11,.182,4,10,.400,.333,3,3,1.000,0,8,8,0,2,1,4,5,17,0,,bryanca01
367,Devin Carter,23,SAC,PG,8,0,65,5,21,.238,2,11,.182,3,10,.300,.286,5,5,1.000,3,9,12,9,6,1,6,8,17,0,,cartede02
368,Jevon Carter,30,CHI,PG,3,0,38,5,8,.625,5,7,.714,0,1,.000,.938,2,2,1.000,1,2,3,6,2,0,1,1,17,0,,carteje01
369,Bobi Klintman,22,DET,SF,6,0,53,7,21,.333,3,11,.273,4,10,.400,.405,0,3,.000,5,11,16,4,2,0,5,9,17,0,,klintbo01
370,Caleb Love,24,POR,SG,5,0,45,7,25,.280,3,15,.200,4,10,.400,.340,0,0,,1,9,10,8,1,0,1,2,17,0,,loveca01
371,Noah Penda,21,ORL,SF,7,0,47,6,11,.545,2,2,1.000,4,9,.444,.636,3,4,.750,6,7,13,6,1,2,3,6,17,0,,pendano01
372,Tolu Smith,25,DET,PF,2,0,22,6,8,.750,0,0,,6,8,.750,.750,5,7,.714,4,7,11,2,1,1,1,2,17,0,,smithto05
373,Caleb Martin,30,DAL,SF,12,0,112,5,18,.278,1,6,.167,4,12,.333,.306,5,6,.833,9,10,19,13,4,1,5,23,16,0,,martica02
374,Monte Morris,30,IND,PG,5,0,62,6,19,.316,2,8,.250,4,11,.364,.368,2,4,.500,1,6,7,9,1,1,1,3,16,0,,morrimo01
375,Ryan Nembhard,22,DAL,PG,5,0,45,7,15,.467,0,4,.000,7,11,.636,.467,2,3,.667,1,0,1,9,0,0,6,3,16,0,,nembhry01
376,Kobe Brown,26,LAC,PF,7,0,60,5,11,.455,1,6,.167,4,5,.800,.500,4,4,1.000,4,11,15,7,0,0,3,2,15,0,,brownko01
377,Spencer Jones,24,DEN,SF,8,0,72,5,9,.556,2,5,.400,3,4,.750,.667,3,4,.750,2,0,2,4,6,1,5,12,15,0,,jonessp01
378,Leonard Miller,22,MIN,SF,7,0,27,6,10,.600,0,3,.000,6,7,.857,.600,3,5,.600,1,7,8,1,1,0,3,3,15,0,,millele01
379,Jalen Pickett,26,DEN,SG,6,1,42,6,12,.500,2,6,.333,4,6,.667,.583,1,1,1.000,1,5,6,7,0,0,4,4,15,0,,pickeja02
380,Lindy Waters III,28,SAS,SG,5,0,41,5,10,.500,5,10,.500,0,0,,.750,0,0,,0,4,4,3,0,0,0,4,15,0,,waterli01
381,Chris Youngblood,23,OKC,SG,12,0,63,3,14,.214,3,13,.231,0,1,.000,.321,6,6,1.000,2,4,6,2,1,0,0,10,15,0,,youngch01
382,Brooks Barnhizer,23,OKC,SG,12,0,96,6,13,.462,0,1,.000,6,12,.500,.462,2,4,.500,5,20,25,3,2,2,1,9,14,0,,barnhbr01
383,Caleb Houstan,23,ATL,SF,5,0,32,4,8,.500,3,6,.500,1,2,.500,.688,3,3,1.000,3,0,3,2,1,1,3,4,14,0,,houstca01
384,Bryce McGowens,23,NOP,SG,5,0,30,4,10,.400,0,2,.000,4,8,.500,.400,6,8,.750,0,1,1,3,2,0,1,1,14,0,,mcgowbr01
385,Micah Peavy,24,NOP,SG,9,0,94,6,23,.261,1,9,.111,5,14,.357,.283,1,2,.500,9,10,19,6,1,1,2,13,14,0,,peavymi01
386,Zach Edey,23,MEM,C,1,1,25,3,7,.429,0,1,.000,3,6,.500,.429,7,9,.778,2,5,7,0,2,2,1,4,13,0,,edeyza01
387,PJ Hall,23,MEM,C,7,0,27,5,9,.556,1,3,.333,4,6,.667,.611,2,3,.667,3,6,9,2,0,2,1,3,13,0,,hallpj01
388,Elijah Harkless,25,UTA,SG,6,0,63,4,11,.364,2,7,.286,2,4,.500,.455,3,5,.600,2,4,6,4,3,0,3,10,13,0,,harklej01
389,Khaman Maluach,19,PHO,C,7,0,35,3,7,.429,0,3,.000,3,4,.750,.429,7,8,.875,1,5,6,1,0,4,5,8,13,0,,maluakh01
390,Joan Beringer,19,MIN,PF,8,0,30,6,7,.857,0,0,,6,7,.857,.857,0,1,.000,1,7,8,0,1,1,2,7,12,0,,berinjo01
391,Rasheer Fleming,21,PHO,PF,7,0,36,5,15,.333,2,9,.222,3,6,.500,.400,0,0,,4,2,6,2,1,1,1,5,12,0,,flemira01
392,Jeff Green,39,HOU,PF,5,0,21,4,6,.667,4,6,.667,0,0,,1.000,0,0,,1,1,2,0,0,1,0,2,12,0,,greenje02
393,GG Jackson II,21,MEM,PF,6,0,28,4,14,.286,0,6,.000,4,8,.500,.286,4,7,.571,1,2,3,1,3,0,0,3,12,0,,jacksgg01
394,E.J. Liddell,25,BRK,PF,5,0,25,4,11,.364,2,8,.250,2,3,.667,.455,2,3,.667,1,6,7,0,0,0,0,4,12,0,,liddeej01
395,Dalen Terry,23,CHI,SG,7,0,41,4,9,.444,1,2,.500,3,7,.429,.500,3,6,.500,0,3,3,4,1,2,1,4,12,0,,terryda01
396,JD Davison,23,HOU,PG,5,0,24,4,8,.500,3,6,.500,1,2,.500,.688,0,2,.000,0,0,0,2,1,1,0,2,11,0,,davisjd01
397,Zeke Nnaji,25,DEN,PF,6,0,21,4,7,.571,1,4,.250,3,3,1.000,.643,2,3,.667,1,1,2,2,0,0,2,7,11,0,,nnajize01
398,Kelly Olynyk,34,SAS,C,4,0,37,5,8,.625,1,1,1.000,4,7,.571,.688,0,0,,5,6,11,13,0,0,3,5,11,0,,olynyke01
399,Gabe Vincent,29,LAL,PG,3,3,72,3,13,.231,2,10,.200,1,3,.333,.308,3,3,1.000,1,2,3,7,3,0,2,7,11,0,,vincega01
400,Pete Nance,25,MIL,PF,1,0,4,4,5,.800,2,3,.667,2,2,1.000,1.000,0,0,,0,1,1,0,0,0,0,0,10,0,,nancepe01
401,Kevin Porter Jr.,25,MIL,PG,1,1,9,3,5,.600,2,3,.667,1,2,.500,.800,2,2,1.000,0,0,0,2,1,0,0,0,10,0,,porteke02
402,Luke Travers,24,CLE,SG,6,0,47,2,16,.125,0,6,.000,2,10,.200,.125,6,6,1.000,4,7,11,4,3,4,1,2,10,0,,travelu01
403,Anthony Gill,33,WAS,PF,5,0,13,3,4,.750,1,1,1.000,2,3,.667,.875,2,2,1.000,1,3,4,0,0,0,2,1,9,0,,gillan01
404,Yang Hansen,20,POR,C,5,0,29,2,9,.222,0,3,.000,2,6,.333,.222,5,6,.833,3,1,4,0,0,2,3,4,9,0,,yangha01
405,David Jones García,24,SAS,SF,3,0,11,4,7,.571,0,0,,4,7,.571,.571,1,3,.333,2,1,3,4,0,0,0,2,9,0,,jonesda06
406,DeAndre Jordan,37,NOP,C,2,1,23,4,5,.800,0,0,,4,5,.800,.800,1,2,.500,4,6,10,0,0,0,1,1,9,0,,jordade01
407,Riley Minix,25,SAS,SF,3,0,8,4,6,.667,1,3,.333,3,3,1.000,.750,0,0,,1,1,2,1,1,0,0,1,9,0,,minixri01
408,Antonio Reeves,25,CHO,SG,2,0,21,3,6,.500,3,5,.600,0,1,.000,.750,0,0,,1,1,2,0,0,0,0,1,9,0,,reevean01
409,Jericho Sims,27,MIL,C,9,0,61,3,4,.750,0,0,,3,4,.750,.750,3,4,.750,7,9,16,3,1,2,4,6,9,0,,simsje01
410,Johnny Furphy,21,IND,SG,3,0,37,3,6,.500,2,3,.667,1,3,.333,.667,0,0,,1,5,6,0,2,0,3,4,8,0,,furphjo01
411,Eric Gordon,37,PHI,SG,3,0,21,3,5,.600,2,4,.500,1,1,1.000,.800,0,0,,0,0,0,1,1,0,2,2,8,0,,gordoer01
412,Ron Harper Jr.,25,BOS,SF,3,0,15,3,7,.429,2,6,.333,1,1,1.000,.571,0,0,,1,2,3,3,0,1,0,2,8,0,,harpero02
413,Ariel Hukporti,23,NYK,C,8,2,56,4,8,.500,0,0,,4,8,.500,.500,0,0,,7,10,17,5,1,2,5,9,8,0,,hukpoar01
414,Jae'Sean Tate,30,HOU,SF,7,0,39,4,11,.364,0,3,.000,4,8,.500,.364,0,0,,1,5,6,1,1,0,1,6,8,0,,tateja01
415,Charles Bassey,25,MEM,C,2,0,31,3,8,.375,0,0,,3,8,.375,.375,1,3,.333,7,8,15,2,1,1,1,5,7,0,,bassech01
416,Mohamed Diawara,20,NYK,SF,6,0,15,3,4,.750,1,1,1.000,2,3,.667,.875,0,2,.000,0,1,1,1,0,0,1,2,7,0,,diawamo01
417,AJ Johnson,21,WAS,SG,8,0,38,2,11,.182,0,2,.000,2,9,.222,.182,3,4,.750,2,3,5,4,0,0,1,3,7,0,,johnsaj01
418,Keshad Johnson,24,MIA,SF,4,0,22,3,12,.250,1,6,.167,2,6,.333,.292,0,0,,1,5,6,0,2,0,1,2,7,0,,johnske10
419,Maxi Kleber,34,LAL,PF,3,0,48,2,4,.500,2,3,.667,0,1,.000,.750,1,2,.500,2,5,7,4,1,2,0,6,7,0,,klebima01
420,Cody Martin,30,IND,SF,4,0,55,2,10,.200,0,5,.000,2,5,.400,.200,3,6,.500,1,13,14,2,4,2,4,5,7,0,,martico01
421,Nolan Traoré,19,BRK,PG,3,0,33,2,9,.222,2,6,.333,0,3,.000,.333,1,2,.500,0,1,1,4,2,0,2,5,7,0,,traorno01
422,Tyson Etienne,26,BRK,PG,5,0,25,2,11,.182,2,10,.200,0,1,.000,.273,0,0,,0,0,0,0,0,0,0,3,6,0,,etienty01
423,Johnny Juzang,24,MIN,SG,6,0,18,2,7,.286,1,5,.200,1,2,.500,.357,1,2,.500,1,2,3,1,0,0,1,2,6,0,,juzanjo01
424,Doug McDermott,34,SAC,SF,1,0,8,2,3,.667,2,3,.667,0,0,,1.000,0,0,,0,0,0,0,0,0,1,1,6,0,,mcderdo01
425,Jonathan Mogbo,24,TOR,PF,7,0,35,3,6,.500,0,0,,3,6,.500,.500,0,0,,3,6,9,4,1,2,1,4,6,0,,mogbojo01
426,Wendell Moore Jr.,24,DET,SG,2,0,28,3,4,.750,0,1,.000,3,3,1.000,.750,0,0,,1,1,2,3,1,1,0,1,6,0,,moorewe01
427,Mason Plumlee,35,CHO,C,6,0,30,2,2,1.000,0,0,,2,2,1.000,1.000,2,4,.500,1,4,5,2,0,0,2,1,6,0,,plumlma01
428,Rayan Rupert,21,POR,SG,7,0,40,2,9,.222,1,6,.167,1,3,.333,.278,1,2,.500,1,7,8,2,2,0,1,7,6,0,,ruperra01
429,Jacob Toppin,25,ATL,SF,3,0,9,3,4,.750,0,0,,3,4,.750,.750,0,0,,0,1,1,0,0,0,0,1,6,0,,toppija01
430,Jamir Watkins,24,WAS,SG,3,0,21,3,4,.750,0,1,.000,3,3,1.000,.750,0,0,,1,5,6,0,0,1,1,4,6,0,,watkija01
431,Dylan Cardwell,24,SAC,C,3,1,33,2,6,.333,0,1,.000,2,5,.400,.333,1,2,.500,2,3,5,0,2,3,2,10,5,0,,cardwdy01
432,Harrison Ingram,23,SAS,SF,3,0,11,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,3,0,3,0,0,0,0,2,5,0,,ingraha01
433,Dario Šarić,31,SAC,C,3,0,28,1,5,.200,1,2,.500,0,3,.000,.300,2,2,1.000,1,4,5,2,0,0,1,0,5,0,,saricda01
434,Koby Brea,23,PHO,SG,1,0,4,1,2,.500,0,1,.000,1,1,1.000,.500,2,2,1.000,0,0,0,1,0,0,0,0,4,0,,breako01
435,Johni Broome,23,PHI,PF,2,0,6,2,5,.400,0,1,.000,2,4,.500,.400,0,0,,2,0,2,1,0,0,0,0,4,0,,broomjo01
436,Pacome Dadiet,20,NYK,SG,5,0,14,1,4,.250,0,1,.000,1,3,.333,.250,2,2,1.000,0,3,3,2,0,0,0,1,4,0,,dadiepa01
437,Adou Thiero,21,LAL,SF,1,0,5,1,1,1.000,0,0,,1,1,1.000,1.000,2,2,1.000,1,0,1,0,0,0,0,0,4,0,,thierad01
438,James Wiseman,24,IND,C,1,1,20,2,3,.667,0,0,,2,3,.667,.667,0,0,,4,0,4,0,0,1,3,2,4,0,,wisemja01
439,N'Faly Dante,24,ATL,C,4,0,15,1,4,.250,0,0,,1,4,.250,.250,1,1,1.000,3,4,7,0,2,0,1,1,3,0,,nfalyda01
440,Myron Gardner,24,MIA,SF,1,0,3,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,1,1,1,0,0,0,2,3,0,,gardnmy01
441,DaRon Holmes,23,DEN,PF,2,0,4,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,1,3,0,,holmeda01
442,Isaac Jones,25,SAC,PF,3,1,17,1,2,.500,0,1,.000,1,1,1.000,.500,1,2,.500,2,0,2,1,0,0,0,4,3,0,,jonesis01
443,Kyle Lowry,39,PHI,PG,1,0,3,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,1,1,0,0,0,3,0,,lowryky01
444,Jase Richardson,20,ORL,SG,7,0,30,1,5,.200,0,3,.000,1,2,.500,.200,1,2,.500,0,1,1,6,0,0,3,1,3,0,,richaja02
445,Thanasis Antetokounmpo,33,MIL,SF,4,0,9,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,1,2,0,1,2,0,,antetth01
446,Bismack Biyombo,33,SAS,C,6,0,46,1,2,.500,0,0,,1,2,.500,.500,0,0,,2,4,6,2,3,1,2,9,2,0,,biyombi01
447,Hunter Dickinson,25,NOP,C,1,0,5,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,0,0,1,2,2,2,0,,dickihu01
448,Colby Jones,23,DET,SG,1,0,7,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,4,4,2,0,0,0,1,2,0,,jonesco02
449,Daeqwon Plowden,27,SAC,SG,1,0,14,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,2,0,2,0,0,0,0,0,2,0,,plowdda01
450,Hunter Sallis,22,PHI,SG,3,0,7,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,1,0,0,2,1,2,0,,sallihu01
451,Amari Williams,24,BOS,PF,2,0,7,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,1,2,1,1,0,0,1,2,0,,william01
452,Danny Wolf,21,BRK,PF,2,0,6,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,2,2,2,0,0,0,0,2,0,,wolfda01
453,Jahmir Young,25,MIA,PG,2,0,10,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,1,1,2,0,0,1,2,2,0,,youngja05
454,Jahmyl Telfort,24,LAC,PF,3,0,16,0,2,.000,0,2,.000,0,0,,.000,1,4,.250,0,2,2,1,0,0,1,2,1,0,,telfoja01
