Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Dist.,0-3,0-3,3-10,3-10,10-16,10-16,16-3P,16-3P,0-3,0-3,3-10,3-10,10-16,10-16,16-3P,16-3P,%FGA,#,%3PA,Att.,Md.,-9999,Trp-Dbl,Season
36.0,Dillon Brooks,29.0,HOU,SF,75.0,75.0,2388.0,11.0,0.555,0.524,0.135,3.3,9.1,6.1,7.4,1.2,0.6,7.4,17.7,2.7,2.5,5.1,0.103,-1.4,0.0,-1.4,0.4,,brookdi01,5.1,11.9,0.429,2.5,6.3,0.397,2.6,5.7,0.465,0.533,1.3,1.6,0.818,1.0,2.7,3.7,1.7,0.8,0.2,1.0,3.2,14.0,17.3,.127,.544,.155,.475,.135,.372,.058,.481,.127,.544,.155,.475,.135,.372,.058,.481,.019,15,.230,1,0,brookdi01,0.0,2024-25
37.0,Rudy Gobert,32.0,MIN,C,72.0,72.0,2388.0,18.3,0.687,0.0,0.535,12.5,23.8,18.2,7.5,1.2,4.1,12.4,13.0,6.1,4.0,10.1,0.204,0.6,1.3,1.9,2.4,DPOY-13DEF2,goberru01,4.7,7.1,0.669,0.0,0.0,,4.7,7.1,0.669,0.669,2.6,3.8,0.674,3.7,7.2,10.9,1.8,0.8,1.4,1.2,2.5,12.0,2.4,.757,.790,.218,.324,.022,.000,.004,.000,.757,.790,.218,.324,.022,.000,.004,.000,.494,225,,0,0,goberru01,0.0,2024-25
38.0,Tobias Harris,32.0,DET,PF,73.0,73.0,2305.0,13.9,0.571,0.328,0.206,3.1,17.5,10.4,9.8,1.5,2.4,8.8,17.6,2.3,2.9,5.2,0.108,-0.5,0.6,0.1,1.2,,harrito02,5.3,11.0,0.477,1.2,3.6,0.345,4.0,7.4,0.542,0.534,2.0,2.3,0.861,0.9,5.0,5.9,2.2,1.0,0.8,1.2,1.9,13.7,13.1,.168,.770,.293,.475,.168,.489,.043,.314,.168,.770,.293,.475,.168,.489,.043,.314,.075,56,.447,0,0,harrito02,0.0,2024-25
39.0,Darius Garland,25.0,CLE,PG,75.0,75.0,2301.0,19.9,0.6,0.451,0.217,2.3,7.6,5.0,32.2,1.9,0.4,12.8,27.2,5.8,2.3,8.1,0.169,3.9,-0.8,3.1,3.0,CPOY-6AS,garlada01,7.4,15.7,0.472,2.8,7.1,0.401,4.6,8.6,0.53,0.562,3.0,3.4,0.878,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,20.6,16.3,.148,.649,.193,.485,.147,.549,.060,.338,.148,.649,.193,.485,.147,.549,.060,.338,.002,1,.151,1,0,garlada01,0.0,2024-25
40.0,Jalen Brunson,28.0,NYK,PG,65.0,65.0,2301.0,21.6,0.605,0.331,0.373,1.4,7.9,4.7,32.3,1.3,0.3,10.5,29.5,6.8,1.4,8.3,0.172,4.7,-1.3,3.3,3.1,MVP-10CPOY-1ASNBA2,brunsja01,9.0,18.5,0.488,2.3,6.1,0.383,6.7,12.4,0.539,0.551,5.7,6.9,0.821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0,14.2,.149,.676,.255,.497,.181,.525,.084,.455,.149,.676,.255,.497,.181,.525,.084,.455,.000,0,.144,0,0,brunsja01,0.0,2024-25
41.0,Jarrett Allen,26.0,CLE,C,82.0,82.0,2296.0,22.1,0.724,0.008,0.433,10.5,26.7,18.8,9.5,1.6,2.9,11.3,15.9,7.6,4.0,11.6,0.243,3.0,1.2,4.2,3.6,,allenja01,5.5,7.8,0.706,0.0,0.1,0.0,5.5,7.7,0.712,0.706,2.4,3.4,0.718,2.6,7.1,9.7,1.9,0.9,0.9,1.2,1.5,13.5,3.6,.594,.813,.342,.584,.050,.469,.006,.000,.594,.813,.342,.584,.050,.469,.006,.000,.272,159,.400,0,0,allenja01,0.0,2024-25
42.0,Chris Paul,39.0,SAS,PG,82.0,82.0,2292.0,14.7,0.58,0.636,0.158,1.5,12.3,6.9,34.8,2.2,0.9,17.1,14.0,4.2,1.6,5.7,0.12,0.3,0.5,0.8,1.6,,paulch01,3.0,7.1,0.427,1.7,4.5,0.377,1.3,2.6,0.514,0.547,1.0,1.1,0.924,0.4,3.2,3.6,7.4,1.3,0.3,1.6,1.8,8.8,21.2,.026,.800,.048,.536,.189,.518,.101,.424,.026,.800,.048,.536,.189,.518,.101,.424,.000,0,.127,2,0,paulch01,0.0,2024-25
43.0,Anfernee Simons,25.0,POR,SG,70.0,70.0,2292.0,14.9,0.557,0.527,0.172,1.2,8.0,4.5,23.3,1.3,0.2,10.6,24.6,2.9,1.2,4.2,0.087,1.5,-1.5,-0.1,1.1,,simonan01,6.8,16.1,0.426,3.1,8.5,0.363,3.8,7.6,0.496,0.521,2.5,2.8,0.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3,17.9,.124,.636,.181,.446,.108,.369,.059,.591,.124,.636,.181,.446,.108,.369,.059,.591,.014,15,.093,5,0,simonan01,0.0,2024-25
44.0,Giannis Antetokounmpo,30.0,MIL,PF,67.0,67.0,2289.0,30.5,0.625,0.048,0.536,7.3,29.7,19.0,36.0,1.2,3.2,11.2,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,MVP-3DPOY-8ASNBA1,antetgi01,11.8,19.7,0.601,0.2,0.9,0.222,11.6,18.7,0.62,0.607,6.5,10.6,0.617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,7.0,.511,.773,.195,.428,.096,.480,.150,.439,.511,.773,.195,.428,.096,.480,.150,.439,.205,243,.048,1,0,antetgi01,11.0,2024-25
45.0,Malik Beasley,28.0,DET,SG,82.0,18.0,2283.0,14.4,0.59,0.715,0.131,2.3,8.0,5.2,8.9,1.5,0.2,6.8,22.5,2.9,1.8,4.7,0.1,2.0,-1.2,0.8,1.6,6MOY-2,beaslma01,5.6,13.1,0.43,3.9,9.3,0.416,1.7,3.7,0.466,0.579,1.2,1.7,0.679,0.6,2.0,2.6,1.7,0.9,0.1,1.0,1.5,16.3,20.8,.057,.656,.132,.447,.055,.356,.041,.409,.057,.656,.132,.447,.055,.356,.041,.409,.022,20,.209,2,0,beaslma01,0.0,2024-25
46.0,Kentavious Caldwell-Pope,31.0,ORL,SG,77.0,77.0,2279.0,9.9,0.574,0.607,0.175,1.6,7.2,4.3,8.7,2.2,1.4,9.6,12.4,1.5,3.1,4.6,0.096,-3.0,1.6,-1.4,0.3,,caldwke01,3.1,7.1,0.439,1.5,4.3,0.342,1.6,2.8,0.589,0.543,1.1,1.2,0.863,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7,19.3,.123,.761,.063,.412,.064,.543,.143,.538,.123,.761,.063,.412,.064,.543,.143,.538,.029,16,.348,0,0,caldwke01,0.0,2024-25
47.0,Nikola Vučević,34.0,CHI,C,73.0,72.0,2278.0,20.3,0.611,0.309,0.144,8.3,25.2,16.9,17.1,1.2,2.0,9.7,22.4,4.7,2.6,7.3,0.153,2.5,0.1,2.6,2.7,,vucevni01,7.5,14.2,0.53,1.8,4.4,0.402,5.8,9.8,0.587,0.592,1.6,2.0,0.805,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,18.5,12.5,.214,.689,.319,.565,.118,.508,.040,.452,.214,.689,.319,.565,.118,.508,.040,.452,.012,10,.084,1,0,vucevni01,1.0,2024-25
48.0,Payton Pritchard,27.0,BOS,PG,80.0,3.0,2271.0,17.6,0.633,0.723,0.097,4.9,9.8,7.3,18.1,1.5,0.6,8.4,19.0,6.1,2.5,8.6,0.183,3.4,0.2,3.5,3.2,6MOY-1,pritcpa01,5.1,10.8,0.472,3.2,7.8,0.407,1.9,3.0,0.642,0.62,0.9,1.1,0.845,1.3,2.6,3.8,3.5,0.9,0.2,1.0,1.5,14.3,21.3,.112,.794,.090,.615,.044,.447,.031,.444,.112,.794,.090,.615,.044,.447,.031,.444,.000,0,.157,8,0,pritcpa01,0.0,2024-25
49.0,Kevin Durant,36.0,PHO,PF,62.0,62.0,2265.0,21.2,0.642,0.331,0.321,1.2,16.9,9.2,19.6,1.1,3.2,12.9,28.7,4.0,1.2,5.2,0.111,3.9,-0.7,3.2,3.0,AS,duranke01,9.5,18.1,0.527,2.6,6.0,0.43,7.0,12.1,0.574,0.598,4.9,5.8,0.839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6,15.5,.091,.824,.176,.561,.312,.524,.090,.525,.091,.824,.176,.561,.312,.524,.090,.525,.041,44,.223,0,0,duranke01,0.0,2024-25
50.0,Shaedon Sharpe,21.0,POR,SG,72.0,52.0,2252.0,14.5,0.551,0.428,0.219,3.2,12.7,7.8,14.2,1.3,0.6,11.0,25.1,1.3,1.7,3.0,0.064,0.0,-1.3,-1.3,0.4,,sharpsh01,6.9,15.3,0.452,2.0,6.6,0.311,4.9,8.8,0.557,0.519,2.6,3.4,0.785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5,15.7,.226,.755,.140,.419,.106,.470,.101,.396,.226,.755,.140,.419,.106,.470,.101,.396,.070,65,.165,4,0,sharpsh01,0.0,2024-25
51.0,Stephen Curry,36.0,GSW,PG,70.0,70.0,2252.0,21.5,0.618,0.623,0.238,1.9,13.3,7.4,31.3,1.7,1.3,12.6,29.8,5.2,2.7,7.9,0.168,6.4,0.0,6.3,4.8,MVP-9CPOY-5ASNBA2,curryst01,8.1,18.0,0.448,4.4,11.2,0.397,3.6,6.8,0.534,0.572,4.0,4.3,0.933,0.6,3.9,4.4,6.0,1.1,0.4,2.9,1.4,24.5,20.0,.083,.673,.171,.488,.070,.455,.053,.567,.083,.673,.171,.488,.070,.455,.053,.567,.001,1,.101,6,1,curryst01,0.0,2024-25
53.0,Jalen Williams,23.0,OKC,SG,69.0,69.0,2237.0,20.3,0.573,0.291,0.256,2.9,14.6,8.8,23.4,2.4,2.1,10.3,27.5,3.7,4.1,7.8,0.168,2.7,1.4,4.0,3.4,ASNBA3DEF2,willija06,8.2,16.9,0.484,1.8,4.9,0.365,6.4,12.0,0.533,0.537,3.4,4.3,0.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6,13.3,.201,.723,.237,.430,.187,.523,.084,.388,.201,.723,.237,.430,.187,.523,.084,.388,.069,70,.094,0,0,willija06,0.0,2024-25
54.0,Donovan Mitchell,28.0,CLE,SG,71.0,71.0,2232.0,20.9,0.575,0.48,0.274,2.8,12.5,7.8,23.9,2.0,0.7,9.2,30.9,4.8,2.8,7.6,0.163,3.8,-0.2,3.7,3.2,MVP-5CPOY-9ASNBA1,mitchdo01,8.2,18.6,0.443,3.3,8.9,0.368,5.0,9.7,0.512,0.531,4.2,5.1,0.823,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0,17.0,.156,.607,.183,.531,.084,.441,.098,.388,.156,.607,.183,.531,.084,.441,.098,.388,.014,16,.096,3,0,mitchdo01,0.0,2024-25
55.0,Harrison Barnes,32.0,SAS,PF,82.0,82.0,2230.0,14.9,0.656,0.527,0.291,4.7,10.3,7.4,8.6,0.8,0.6,6.1,15.7,5.0,0.5,5.6,0.12,1.7,-1.7,0.0,1.2,,barneha02,4.2,8.3,0.508,1.9,4.4,0.433,2.3,3.9,0.591,0.622,2.0,2.4,0.809,1.2,2.6,3.8,1.7,0.5,0.2,0.6,0.9,12.3,14.8,.250,.690,.184,.468,.038,.538,.000,,.250,.690,.184,.468,.038,.538,.000,,.042,29,.547,2,0,barneha02,0.0,2024-25
56.0,Julius Randle,30.0,MIN,PF,69.0,69.0,2226.0,17.5,0.593,0.334,0.357,7.3,16.8,12.1,22.5,1.0,0.7,15.3,25.0,3.6,2.6,6.2,0.134,1.5,-0.2,1.3,1.8,,randlju01,6.6,13.6,0.485,1.6,4.6,0.344,5.0,9.1,0.555,0.542,3.9,4.9,0.806,2.1,5.0,7.1,4.7,0.7,0.2,2.8,2.5,18.7,12.4,.252,.751,.262,.423,.121,.465,.030,.429,.252,.751,.262,.423,.121,.465,.030,.429,.052,46,.210,1,0,randlju01,0.0,2024-25
57.0,Amen Thompson,22.0,HOU,SF,69.0,42.0,2225.0,18.7,0.602,0.131,0.354,9.0,18.2,13.5,16.9,2.1,3.6,14.6,17.5,4.1,3.9,8.0,0.172,1.4,2.6,4.1,3.4,DPOY-5DEF1,thompam01,5.6,10.1,0.557,0.4,1.3,0.275,5.3,8.8,0.599,0.575,2.4,3.6,0.684,2.8,5.4,8.2,3.8,1.4,1.3,2.0,2.4,14.1,7.8,.420,.758,.298,.471,.096,.493,.055,.263,.420,.758,.298,.471,.096,.493,.055,.263,.212,138,.582,2,0,thompam01,3.0,2024-25
58.0,Jaren Jackson Jr.,25.0,MEM,C,74.0,74.0,2207.0,19.6,0.591,0.321,0.328,4.4,15.5,10.0,10.1,1.9,4.7,9.9,28.1,3.2,3.2,6.4,0.139,1.6,0.8,2.3,2.4,DPOY-7ASDEF2,jacksja02,8.0,16.4,0.488,2.0,5.3,0.375,6.0,11.1,0.541,0.548,4.2,5.4,0.781,1.2,4.4,5.6,2.0,1.2,1.5,2.1,3.5,22.2,13.1,.119,.667,.415,.518,.134,.509,.011,.462,.119,.667,.415,.518,.134,.509,.011,.462,.029,31,.206,5,0,jacksja02,0.0,2024-25
59.0,Desmond Bane,26.0,MEM,SG,69.0,68.0,2205.0,17.9,0.6,0.411,0.194,3.0,16.9,10.0,23.6,1.7,1.2,13.3,23.3,4.0,2.6,6.5,0.142,2.6,0.6,3.2,2.9,,banede01,7.1,14.8,0.484,2.4,6.1,0.392,4.8,8.7,0.548,0.565,2.6,2.9,0.894,0.9,5.2,6.1,5.3,1.2,0.4,2.4,2.4,19.2,14.7,.188,.712,.246,.492,.093,.400,.063,.500,.188,.712,.246,.492,.093,.400,.063,.500,.005,5,.187,0,0,banede01,1.0,2024-25
60.0,Naz Reid,25.0,MIN,C,80.0,17.0,2200.0,15.8,0.577,0.501,0.155,4.7,19.3,12.1,12.6,1.3,3.0,9.9,21.5,2.4,3.3,5.7,0.125,0.8,0.8,1.6,2.0,6MOY-5,reidna01,5.3,11.5,0.462,2.2,5.8,0.379,3.1,5.8,0.544,0.556,1.4,1.8,0.776,1.2,4.9,6.0,2.3,0.7,0.9,1.4,2.4,14.2,15.4,.200,.681,.255,.468,.044,.366,.000,,.200,.681,.255,.468,.044,.366,.000,,.034,25,.227,2,0,reidna01,0.0,2024-25
61.0,Tyus Jones,28.0,PHO,PG,81.0,58.0,2174.0,14.5,0.585,0.587,0.083,2.1,7.8,5.0,27.7,1.6,0.3,11.4,16.2,4.0,0.3,4.4,0.096,1.4,-1.3,0.1,1.1,,jonesty01,3.8,8.4,0.448,2.0,5.0,0.414,1.7,3.5,0.496,0.57,0.6,0.7,0.895,0.5,1.9,2.4,5.3,0.9,0.1,1.1,0.8,10.2,18.3,.060,.780,.174,.479,.160,.422,.019,.385,.060,.780,.174,.479,.160,.422,.019,.385,.000,0,.344,0,0,jonesty01,0.0,2024-25
62.0,Myles Turner,28.0,IND,C,72.0,72.0,2174.0,16.1,0.612,0.486,0.293,4.7,19.4,12.1,7.1,1.2,6.0,11.8,20.7,1.8,2.9,4.7,0.104,0.0,0.4,0.4,1.3,,turnemy01,5.4,11.3,0.481,2.2,5.5,0.396,3.3,5.8,0.561,0.577,2.6,3.3,0.773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6,16.2,.175,.746,.206,.425,.073,.559,.060,.490,.175,.746,.206,.425,.073,.559,.060,.490,.090,59,.140,0,0,turnemy01,0.0,2024-25
63.0,Evan Mobley,23.0,CLE,PF,71.0,71.0,2167.0,22.3,0.633,0.254,0.337,8.4,24.0,16.5,15.1,1.4,4.7,12.2,23.2,5.3,3.8,9.0,0.2,3.1,1.5,4.6,3.6,MVP-10DPOY-1ASNBA2DEF1,mobleev01,7.1,12.8,0.557,1.2,3.2,0.37,5.9,9.5,0.621,0.604,3.1,4.3,0.725,2.3,7.0,9.3,3.2,0.9,1.6,2.0,2.0,18.5,9.4,.421,.787,.270,.429,.038,.353,.018,.188,.421,.787,.270,.429,.038,.353,.018,.188,.220,192,.200,1,0,mobleev01,0.0,2024-25
64.0,Taurean Prince,30.0,MIL,SF,80.0,73.0,2166.0,9.8,0.613,0.652,0.093,1.8,12.2,7.2,9.4,1.7,0.6,13.3,12.5,1.3,2.2,3.5,0.077,-2.0,0.3,-1.7,0.1,,princta02,2.9,6.4,0.457,1.8,4.2,0.439,1.1,2.2,0.492,0.6,0.5,0.6,0.813,0.4,3.2,3.6,1.9,1.0,0.2,1.0,2.1,8.2,18.0,.160,.646,.119,.361,.058,.333,.012,.500,.160,.646,.119,.361,.058,.333,.012,.500,.018,8,.507,2,0,princta02,0.0,2024-25
65.0,Stephon Castle,20.0,SAS,SG,81.0,47.0,2162.0,13.7,0.522,0.337,0.348,4.4,10.3,7.4,22.8,1.7,0.9,13.4,26.0,0.1,1.0,1.1,0.025,-1.5,-1.7,-3.2,-0.6,ROY-1,castlst01,5.2,12.2,0.428,1.2,4.1,0.285,4.0,8.1,0.501,0.476,3.1,4.2,0.724,1.1,2.6,3.7,4.1,0.9,0.3,2.2,2.0,14.7,12.6,.311,.655,.217,.369,.084,.373,.052,.333,.311,.655,.217,.369,.084,.373,.052,.333,.078,69,.147,4,0,castlst01,0.0,2024-25
66.0,Deni Avdija,24.0,POR,SF,72.0,54.0,2161.0,17.7,0.605,0.405,0.441,5.4,21.2,13.1,19.9,1.6,1.5,16.3,23.2,3.1,2.5,5.6,0.124,1.5,0.6,2.1,2.2,,avdijde01,5.6,11.7,0.476,1.7,4.8,0.365,3.8,7.0,0.552,0.55,4.0,5.2,0.78,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,16.9,12.9,.322,.665,.219,.416,.026,.364,.027,.478,.322,.665,.219,.416,.026,.364,.027,.478,.027,20,.181,1,0,avdijde01,2.0,2024-25
67.0,Jaylen Brown,28.0,BOS,SF,63.0,63.0,2158.0,17.8,0.555,0.32,0.288,4.1,14.4,9.3,21.4,1.7,0.8,11.4,28.9,2.3,2.9,5.2,0.115,0.4,-0.4,0.0,1.1,AS,brownja02,8.2,17.7,0.463,1.8,5.7,0.324,6.4,12.1,0.529,0.515,3.9,5.1,0.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,13.4,.197,.750,.265,.456,.145,.407,.073,.439,.197,.750,.265,.456,.145,.407,.073,.439,.045,43,.184,0,0,brownja02,0.0,2024-25
68.0,Tim Hardaway Jr.,32.0,DET,SG,77.0,77.0,2153.0,9.8,0.567,0.672,0.213,0.9,8.4,4.7,7.6,0.8,0.3,6.1,15.5,2.1,1.4,3.5,0.077,-1.1,-0.9,-2.1,0.0,,hardati02,3.6,8.8,0.406,2.2,5.9,0.368,1.4,2.9,0.484,0.529,1.6,1.9,0.855,0.2,2.1,2.4,1.6,0.5,0.1,0.6,1.2,11.0,20.2,.082,.679,.100,.485,.072,.469,.074,.280,.082,.679,.100,.485,.072,.469,.074,.280,.016,8,.241,0,0,hardati02,0.0,2024-25
69.0,Bennedict Mathurin,22.0,IND,SF,72.0,49.0,2149.0,13.6,0.579,0.338,0.389,4.6,15.2,9.9,8.8,1.1,1.0,11.9,22.8,1.3,1.8,3.0,0.068,-1.3,-1.5,-2.9,-0.5,,mathube01,5.4,11.8,0.458,1.4,4.0,0.34,4.1,7.8,0.519,0.516,3.8,4.6,0.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1,13.2,.273,.635,.237,.485,.066,.393,.087,.338,.273,.635,.237,.485,.066,.393,.087,.338,.049,39,.139,3,0,mathube01,0.0,2024-25
70.0,Spencer Dinwiddie,31.0,DAL,PG,79.0,30.0,2136.0,13.0,0.553,0.478,0.356,0.9,9.5,5.3,22.1,1.6,0.7,11.4,17.9,2.4,1.2,3.7,0.082,-0.9,-0.7,-1.6,0.2,,dinwisp01,3.6,8.6,0.416,1.4,4.1,0.334,2.2,4.5,0.492,0.496,2.5,3.1,0.802,0.2,2.4,2.6,4.4,0.9,0.2,1.3,1.5,11.0,15.9,.136,.645,.252,.419,.106,.458,.028,.526,.136,.645,.252,.419,.106,.458,.028,.526,.012,4,.184,0,0,dinwisp01,0.0,2024-25
71.0,Scottie Barnes,23.0,TOR,PF,65.0,65.0,2134.0,17.8,0.523,0.263,0.284,5.3,20.2,12.6,27.7,2.1,2.8,13.4,27.0,0.6,2.9,3.5,0.078,1.5,0.9,2.4,2.3,,barnesc01,7.3,16.4,0.446,1.2,4.3,0.271,6.1,12.0,0.508,0.482,3.5,4.6,0.755,1.7,6.0,7.7,5.8,1.4,1.0,2.8,1.7,19.3,12.6,.219,.687,.260,.428,.176,.476,.082,.356,.219,.687,.260,.428,.176,.476,.082,.356,.066,60,.132,5,0,barnesc01,1.0,2024-25
73.0,Josh Giddey,22.0,CHI,PG,70.0,69.0,2117.0,18.1,0.57,0.348,0.281,6.4,21.4,14.0,32.9,1.9,1.8,18.4,21.7,2.8,2.5,5.3,0.121,1.9,1.1,3.0,2.7,,giddejo01,5.3,11.4,0.465,1.5,4.0,0.378,3.8,7.4,0.512,0.531,2.5,3.2,0.781,1.8,6.3,8.1,7.2,1.2,0.6,2.9,1.7,14.6,12.3,.277,.584,.276,.500,.076,.377,.023,.222,.277,.584,.276,.500,.076,.377,.023,.222,.013,9,.277,1,1,giddejo01,7.0,2024-25
74.0,Fred VanVleet,30.0,HOU,PG,60.0,60.0,2111.0,12.8,0.515,0.607,0.181,1.6,9.7,5.6,21.2,2.2,1.1,9.6,17.7,2.4,2.8,5.2,0.119,-0.4,1.3,0.9,1.5,,vanvlfr01,4.8,12.7,0.378,2.7,7.7,0.345,2.1,5.0,0.43,0.483,1.9,2.3,0.81,0.5,3.2,3.7,5.6,1.6,0.4,1.5,2.3,14.1,20.2,.095,.528,.111,.393,.070,.434,.117,.382,.095,.528,.111,.393,.070,.434,.117,.382,.000,0,.093,8,0,vanvlfr01,0.0,2024-25
75.0,Keyonte George,21.0,UTA,PG,67.0,35.0,2109.0,12.9,0.539,0.552,0.31,1.3,11.5,6.5,26.9,1.0,0.4,14.9,24.3,0.9,0.1,1.1,0.024,-0.2,-2.5,-2.7,-0.3,,georgke01,5.4,13.7,0.391,2.6,7.6,0.343,2.8,6.1,0.449,0.485,3.5,4.3,0.818,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.8,17.6,.073,.627,.242,.428,.098,.400,.036,.364,.073,.627,.242,.428,.098,.400,.036,.364,.015,11,.136,0,0,georgke01,0.0,2024-25
77.0,Damian Lillard,34.0,MIL,PG,58.0,58.0,2093.0,21.3,0.621,0.528,0.396,1.6,12.1,7.1,29.7,1.6,0.4,12.2,27.8,5.6,2.0,7.6,0.175,4.7,-0.6,4.0,3.2,AS,lillada01,7.7,17.1,0.448,3.4,9.0,0.376,4.3,8.1,0.528,0.547,6.2,6.8,0.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,18.5,.169,.655,.113,.393,.071,.486,.119,.500,.169,.655,.113,.393,.071,.486,.119,.500,.005,5,.078,4,0,lillada01,2.0,2024-25
78.0,Russell Westbrook,36.0,DEN,PG,75.0,36.0,2092.0,14.3,0.532,0.35,0.28,5.6,13.4,9.7,28.8,2.4,1.6,20.6,23.8,-0.1,2.1,1.9,0.045,-0.9,-0.2,-1.1,0.5,6MOY-7,westbru01,5.0,11.1,0.449,1.3,3.9,0.323,3.7,7.2,0.517,0.505,2.1,3.1,0.661,1.4,3.6,4.9,6.1,1.4,0.5,3.2,2.5,13.3,12.3,.314,.682,.213,.424,.063,.212,.060,.300,.314,.682,.213,.424,.063,.212,.060,.300,.032,23,.337,1,0,westbru01,4.0,2024-25
79.0,Kelly Oubre Jr.,29.0,PHI,SF,60.0,57.0,2078.0,13.5,0.551,0.327,0.25,5.1,15.4,10.0,7.9,2.2,1.4,8.9,18.9,1.2,1.4,2.6,0.061,-1.7,-0.6,-2.3,-0.1,,oubreke01,5.8,12.4,0.47,1.2,4.0,0.293,4.6,8.3,0.555,0.518,2.3,3.1,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,11.3,.328,.704,.266,.452,.067,.260,.012,.444,.328,.704,.266,.452,.067,.260,.012,.444,.097,63,.318,0,0,oubreke01,0.0,2024-25
80.0,Nickeil Alexander-Walker,26.0,MIN,SG,82.0,10.0,2073.0,11.6,0.579,0.601,0.192,2.9,11.1,7.1,15.0,1.2,1.5,12.9,16.0,2.0,2.3,4.3,0.099,-0.8,0.4,-0.4,0.8,6MOY-6,alexani01,3.3,7.5,0.438,1.7,4.5,0.381,1.6,3.0,0.524,0.553,1.1,1.4,0.78,0.7,2.6,3.2,2.7,0.6,0.4,1.2,1.7,9.4,17.5,.166,.667,.140,.430,.063,.359,.031,.526,.166,.667,.140,.430,.063,.359,.031,.526,.019,8,.335,4,0,alexani01,0.0,2024-25
81.0,Luguentz Dort,25.0,OKC,SF,71.0,71.0,2073.0,11.3,0.586,0.696,0.078,4.7,10.3,7.6,6.9,1.8,1.9,7.7,13.6,2.4,3.2,5.6,0.129,-0.6,0.8,0.2,1.2,DPOY-4DEF1,dortlu01,3.6,8.4,0.435,2.4,5.8,0.412,1.2,2.5,0.489,0.578,0.5,0.6,0.717,1.3,2.9,4.1,1.6,1.1,0.5,0.7,2.9,10.1,19.5,.123,.589,.094,.375,.059,.429,.027,.563,.123,.589,.094,.375,.059,.429,.027,.563,.032,14,.259,0,0,dortlu01,0.0,2024-25
82.0,Onyeka Okongwu,24.0,ATL,C,74.0,40.0,2064.0,19.0,0.634,0.216,0.316,11.4,24.0,17.5,11.4,1.6,3.0,10.4,17.3,4.9,2.3,7.2,0.168,1.2,0.2,1.3,1.7,,okongon01,5.2,9.2,0.567,0.6,2.0,0.324,4.6,7.2,0.634,0.602,2.2,2.9,0.759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,7.9,.480,.738,.263,.472,.038,.500,.003,.000,.480,.738,.263,.472,.038,.500,.003,.000,.145,91,.534,1,0,okongon01,0.0,2024-25
83.0,Malik Monk,26.0,SAC,SG,65.0,45.0,2054.0,15.0,0.549,0.456,0.19,1.6,11.7,6.7,25.7,1.5,1.8,13.5,24.6,1.3,1.4,2.8,0.065,0.3,-1.1,-0.8,0.6,,monkma01,6.3,14.4,0.439,2.1,6.6,0.325,4.2,7.9,0.534,0.513,2.4,2.7,0.865,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,17.2,16.0,.145,.632,.242,.524,.106,.470,.051,.438,.145,.632,.242,.524,.106,.470,.051,.438,.036,29,.121,2,0,monkma01,0.0,2024-25
84.0,Jaylen Wells,21.0,MEM,SG,79.0,74.0,2043.0,10.5,0.56,0.58,0.2,4.6,9.3,6.9,8.4,1.0,0.4,8.6,15.9,2.1,1.4,3.5,0.083,-1.2,-1.0,-2.2,-0.1,ROY-3,wellsja01,3.6,8.6,0.425,1.7,5.0,0.352,1.9,3.6,0.525,0.527,1.4,1.7,0.822,1.1,2.3,3.4,1.7,0.6,0.1,0.9,1.8,10.4,17.4,.142,.729,.163,.382,.059,.625,.056,.316,.142,.729,.163,.382,.059,.625,.056,.316,.036,20,.380,0,0,wellsja01,0.0,2024-25
